http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Cass High School (Georgia),1465
Beaumont College,284
Newburyport High School,802
Ashton Park School,1124
Crawford Central School District,3759
Valenzuela City School of Mathematics and Science,752
National Wen-Hua Senior High School,2451
Donaldson's School,30
Monterey Bay Academy,190
Annandale High School,2120
Södra Vätterbygdens folkhögskola,289
Rosebery School for Girls,1402
Newport High School (Arkansas),426
Battlefield High School,3442
Universidad de La Serena,7850
Palo Alto University,1099
"Jack M. Barrack Hebrew Academy (Bryn Mawr, Pennsylvania)",333
Libera Università degli Studi Per l'Innovazione e le Organizzazioni,1891
Fort Hays State University,13991
Purnell School,71
La Jolla Country Day School,1168
Bourne End Academy,767
Meoncross School,329
Университет национального и мирового хозяйства,22416
Black Mountain College,1298
Orr Academy High School,532
St Nicholas Catholic High School,1362
Université Paris-Ouest-Nanterre-la-Défense,34121
College of the Holy Cross,2605
Beijing Sport University,14594
KAIST,10140
Grinnell College,1902
جامعة بيردو,41310
Beverly Hills High School,1766
Buckhannon-Upshur High School,1295
Université d'État de l'Arizona,10483
Ontario High School (Oregon),726
St. Paul High School (Virginia),184
Hochschule Ålesund,2340
Päpstliche Katholische Universität von Santo Domingo,5265
屯門官立中學,1334
Sulphur High School (Oklahoma),364
Hong Kong International School,2806
Tech College Aalborg,4724
Harvard Graduate School of Design,932
Halfway High School,133
Universität des Nahen Ostens,24442
French National School for the Judiciary,551
忠北大学,16912
Universidad de Dar es-Salam,18114
