http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
WA Tlemcen,16894
Real Estelí Fútbol Club,3909
Kossa FC,23086
HSV Hoek,3525
ナディFC,20413
Villa Sports Club,4667
Club Deportivo Colonia Moscardó,13558
Forest City London,978
バンコク・ユナイテッドFC,26848
SC Young Fellows Juventus,2583
Al-Ahly SC (Tripoli),79710
Union Böckingen,10047
Paradou AC,14813
Santa Pola Club de Fútbol,3111
Trujillanos FC,24894
Clube Desportivo Travadores,8539
第聶伯斯摩棱斯克足球會,12442
聖馬田大學體育會,20715
Lupo Martini Wolfsburg,1563
AD San Juan,1489
London Gryphons,2892
メルボルン・ビクトリーFC,29983
CD Aves,5541
UE Llagostera,3717
Club Real Potosí,29423
Sapekhburto K'lubi Samt'redia,3201
ハートリプール・ユナイテッドFC,7873
UE Llagostera,3130
Siderurgistul Galați,5770
莫雷洛斯美洲獅,15900
FC Zimbru Chișinău,10462
Clube Nacional de Benguela,11264
الرابطة كوستي,3130
Corporación Social Deportiva y Cultural de Pereira,29578
Bogotá Fútbol Club,8127
FC Callatis Mangalia,4812
Olympiacos Volou 1937 F.C.,9911
Sint-Truidense VV (vrouwen),563
Montedio Yamagata,20389
アル・カルフSC,6190
Centro Deportivo Bezana,2694
نادي الاتفاق (السعودية),30284
马拉巴老鹰足球俱乐部,4126
نادي فاقوس,9371
Sport Lisboa e Benfica B,2114
Булонь (футбольный клуб),17221
Futbol'nyj Klub Tekstil'ščik Kamyšin,9713
Gaborone United SC,22604
California Victory,9546
Football Club Niutao,1267
FK Wizebsk,8525
Persela Lamongan,14352
Prone Lugo AD,2501
رامبلا جونيورز,6319
Hertha Berliner Sport Club,82619
إيرغوتيليس,25699
"Ривер Плейт (футбольный клуб, Кармополис)",2336
Ferroviário Esporte Clube (Serra Talhada),4500
Club Deportivo Irapuato,30926
KS Delvina,2889
Ethnikós Le Pirée,3
Краснодар-2 (футбольный клуб),3565
Associação Atlética Coruripe,2073
IFK Hässleholm,6609
Union sportive Créteil-Lusitanos,12921
Al-Sailiya,24584
Sportverein Höngg,877
Кайруан (футбольный клуб),28484
Turan İK,7964
Mogas 90 FC,14654
Football Club Progrès Niederkorn,4618
FCウラル・スヴェルドロフスク・オブラスト,9956
FC Tyumen,12724
Bathgate Thistle F.C.,1724
Titanes de Tulancingo,2463
FK Mažeikiai,2542
FCミルサミ・オルヘイ,2017
Associação Olímpica de Itabaiana,14001
VfL Oldenburg,3798
フェイエノールト,45454
Tarbes Pyrénées Football,2608
SV Höngg,1089
Конинклейке ХФК,915
CSD Comunicaciones,18458
Grupo Desportivo Cruz Vermelha,7460
Football Club Déifferdeng 03,2397
Al-Hala,10064
Córdoba CF B,2590
FK Jezero Plav,4903
Tacuarembó F.C.,11268
Unión Club Ceares,1293
Red Bull Brasil,19105
مونتيديو ياماغاتا,19600
FC Blauw-Wit Amsterdam,1880
RB Leipzig,40167
Kabuscorp SC,10774
Камза (футбольный клуб),5139
FC Fastav Zlín,5578
El Gawafel Sportives de Gafsa,10277
アルトナ93,9
نادي جيرونا,9550
Grêmio Atlético Sampaio,6281
Società Sportiva Acqui Calcio 1911,1603
Dinamo Batoum,5749
FC Blau-Weiß Linz,2398
Chimia Râmnicu Vâlcea,9455
Llanidloes Town F.C.,4111
Flota Świnoujście,3418
Indios de Ciudad Juárez,18803
Ethnikos Piraeus F.C.,3
SC Opel Rüsselsheim,8357
FC Penzberg,950
União Desportiva Oliveirense,3597
Gloria Buzău,18593
Luparense F.C.,728
JK Trans Narva,1951
Piteå IF,3819
La Roda CF,2652
Amsterdamsche Football Club,7175
Kilwinning Rangers F.C.,2637
Deportes Quindío,19647
Freetown City,29973
Kristianstads FF,6601
Cabinteely Football Club,1712
卡迪夫城足球俱乐部,37915
FKクルオヤ・パクルオイス,2444
Кастриоти (футбольный клуб),9770
CD Palestino,9538
Futbol'nyj Klub Žemčužina-Soči,11703
Mohammedan SC Dhaka,37201
AD Torrejón CF,1201
FC Stade Nyonnais,8407
"Неман (футбольный клуб, Мосты)",2230
Brisbane Roar,51376
Gazovik Orenburg,6193
Asociación Deportiva Ceuta,5292
"Олимпик (футбольный клуб, Сафи)",13728
ローイエット・ユナイテッドFC,2027
Salahaddin FC,10159
"Локомотив (футбольный клуб, Мездра)",5412
Clubul Sportiv Pandurii Lignitul Târgu Jiu,18951
Football Club de Gueugnon,13181
ASV Cham,9113
Esporte Clube Itaúna,6
FC VSS Košice,9461
PFCナフバホール・ナマンガン,21037
Club Deportivo Educación de Abancay,8656
IF Älgarna,2210
Associação Desportiva Perilima,31720
Juventud Escuintleca,2932
Futbol'nyj Klub Dinamo Vologda,8734
Спортинг Вильянуэва Промесас,2950
Stal Sanok,2
Club Deportivo Iruña,2074
Universidad San Martín de Porres,16257
St Andrews F.C.,945
Football Inter Club Association,6592
Segesta Sisak,7448
نادي أشانتي جولد,32936
Hardenberg Heemse Combinatie,3872
UD Lanzarote,6490
FK Inter Bakoe,8172
FCシオニ・ボルニシ,2667
Al-Ahly Trypolis,64408
戴納瓦足球俱樂部,3842
كاليدونيا إي آي إي,21007
Yaracuyanos FC,12170
FC Narva Trans,2398
CD Guijuelo,1659
Maritzburg United Football Club,13076
Carrick Rangers,5777
FK Belasica Strumica,7361
Club Deportivo Getxo,4012
Брайтенрайн,1530
Stade Tunisien,17487
Club athlétique bizertin (football),21997
FC Vysočina Jihlava,4059
نادي ملبورن فيكتوري,42757
Forfar Athletic F.C.,652
Playford City Patriots SC,4682
Racing Club Vichy football,4550
FC Rattana Bundit,931
Glenrothes F.C.,4664
FC Spartak Plovdiv,3678
Army United Football Club,20233
KS Shkumbini Peqin,5378
Associação Olímpica de Itabaiana,12097
TSG Backnang 1919,4911
FK BSK Borča,4162
Алванд Хамедан,8336
Águia de Marabá Futebol Clube,4049
SD Leioa,3333
Selangor FA,71970
نادي فان,10362
Ashanti Gold SC,25192
Associazione Sportiva Cesenatico Chimicart Associazione Dilettantistica,8944
Стад Тунизьен,21507
União São João Esporte Clube,24311
A.C.D. Guidonia Montecelio,1834
نادي البحر الأحمر الإرتري,19587
Pego Club de Futbol,1083
Hertha BSC,83288
Maccabi Ironi Jatt F.C.,11569
SpVgg Landshut,10120
FC Neman Mosty,2307
FC Samtredia,2910
Győri Egyetértés Torna Osztály Football Club,15728
Southern Myanmar United Football Club,14095
Al-Arabi Sports Club,12881
FC Tofaga,1365
FB Gulbene,1515
Club Atlético Bucaramanga Corporación Deportiva,31962
FK Makedonija Gjorče Petrov,2797
Batuque FC,5380
FK Neman Grodno,10117
Football club bassin d'Arcachon,1020
博亞卡捷高足球會,15571
FK Mladost Podgorica,1917
Gloria Buzău,21203
Atlabara FC,9807
Newcastle United F.C.,53194
Unión Deportiva San Sebastián de los Reyes,3496
Deportivo Pereira,27158
FKスティエスカ・ニクシッチ,5251
SC Binningen,1247
Unión Huayllaspanca,25050
AS Tempête Mocaf,23575
Football Club Avenir Beggen,4944
Orihuela CF,6105
Perseru Serui,11006
Joensuun Iloiset Peli-Pojat,2300
Coton Sport Football Club de Garoua,21732
FK Shoʻrtan Guzar,7328
"Динамо (футбольный клуб, Тирана)",8904
Пудун Зобон,15043
Fudbalski Klub Jezero Plav,5366
FC La Chaux-de-Fonds,11934
Al-Arabi Kuwait,31983
Associação Atlética Coruripe,1990
CD Puerta Bonita,3843
VfL Oldenburg,3759
Hereford United F.C.,4903
Sporting Clube Farense,13609
Nacional de Benguela,9512
新波洛茨克足球俱樂部,4956
FK Rostow,14551
Timbaúba Futebol Clube,5961
FK Liepājas Metalurgs,4964
墨尔本胜利足球俱乐部,26253
SV Horn,3750
ED Moratalaz,2307
Патриотас (футбольный клуб),20570
Vikingur Ólafsvík,1082
Società Sportiva Lazio,67974
Briton Ferry Llansawel A.F.C.,1935
Grulla Morioka,4539
Kastamonu Spor Kulübü,3601
Sport Huancayo,22464
Playas de Castellón FS,7265
AS Bantous,36872
Melita FC,519
Câu lạc bộ bóng đá Hà Nội T&T,25659
Delfines de Coatzacoalcos,4978
CDC Moscardó,14332
Futbol'nyj Klub Saljut,11509
FC Ameri Tbilisi,1169
Corporación Deportiva Patriotas Fútbol Club,20180
FC Lokomotiv-2 Moscú,9391
拉密根吉夫阿塔伊姆夏普爾足球會,37681
Самтредиа (футбольный клуб),3556
Defensa y Justicia,9622
阿斯塔納足球俱樂部,31006
Clube Ferroviário do Recife,5426
نادي بيريكوم تشيلسي,9949
Real Valladolid B,1471
Челябинск (футбольный клуб),12693
ASV Cham 1863,8317
Дифаа,15558
SV Wienerberg,3
FC Dinamo II București,1984
FC Nanumaga,1332
Mangotsfield United F.C.,2346
MŠK Púchov,6999
卡巴拉足球會,1953
Club Deportivo Beniel,4561
Ulaanbaatar Mazaalai,3385
Club Deportivo Irapuato,22481
Жирона (футбольный клуб),8085
Agrosport,5864
Universidad SC,5614
Skellefteå FF,1149
نادي النجوم,17000
Indios de Ciudad Juárez,21972
Al-Fateh,17140
FK Zvezda Irkutsk,3566
阿波羅利馬素,13899
Bears FC,14365
Kozakken Boys,2567
Inuit Timersoqatigiiffiat-79,2258
Deportivo Galicia,14677
伊萬尼察楓樹足球俱樂部,3714
Такуарембо (футбольный клуб),12113
Оренбург (футбольный клуб),8126
アーセナルFC.リザーブ,4054
FC TVMK Tallinn,4976
Al-Karkh SC,6809
Klubi Sportiv Flamurtari Vlorë,9360
伊蒂法克足球俱乐部,28343
Agrupación Deportiva Alcorcón,6098
Paulínia Futebol Clube,9133
Karvan Yevlax,6077
Santiago Futsal,6971
AS Bantous,37424
CR Caála,10495
FK Mladost Lučani,8275
Альбирекс Ниигата,43190
Varzim Sport Club,11524
Kazma SC,18313
FC Nitra,5008
Portimonense SC,10136
Clube Do Bilene Quelimane,9
Associação Atlética Ferroviária (Botucatu),3698
Novelda Club de Fútbol,5108
Ankara Demirspor,38370
Unión Deportiva San Sebastián de los Reyes,2989
FCダラス,17856
Club Deportivo Teguise,1709
Hapoel Rishon LeZion F.C.,6293
Deportes Colchagua,7417
آلبيركس نيغاتا,44645
Centre d'Esports L'Hospitalet,7129
Rangers F.C. (South Africa),24138
Kastamonuspor 1966,4010
Clubul Sportiv Turnu Severin,22018
Independiente del Valle,8485
Qviding FIF,4
CDバスコニア,8109
Borussia Mönchengladbach,47970
Hakoah Berlin,4652
Adlershofer BC 08,4734
Шуртан (футбольный клуб),7516
Futbol'nyj Klub Fakel Voronež,29007
1. FC Aschersleben,4711
Волочанин-Ратмир,4453
Chonburi Blue Wave Futsal Club,3126
Associação Desportiva Recreativa e Cultural Icasa,18427
نادي تور,14562
FK Tioumen,14602
Power Dynamos Football Club,11343
Aberystwyth Town,5322
Adelaide United FC,18957
نادي يزد لوله,5569
ケンブリッジ・ユナイテッドFC,9437
نادي هبوعيل بئر السبع,15715
Malleco Unido,2
Enköpings Sportklubb,4863
グルージャ盛岡,4527
Killymoon Rangers F.C.,703
Ballspielverein Borussia 1909 e. V. Dortmund,77913
Mogas 90 FC,13674
Westwacht Aachen,1781
Club de Deportes Regional Atacama,10336
Africa Sports National,20198
ENTO Aberaman Athletic FC,2489
CD Linares,11938
Vasas Budapest,19922
Palmeiras Nordeste Futebol,15924
FC Iskra-Stal Rîbnița,4921
نادي بلدية مقديشو,14778
CD Giner Torrero,606
Koninklijke HFC,914
Red Sea FC,22433
MFK Zemplín Michalovce,3953
Сибиряк (футбольный клуб),9361
Igreja Nova Futebol Clube,5107
Carpi Football Club 1909,3688
Montedio Yamagata,22816
1. HFC Humenné,4043
Southill Alexander F.C.,3316
AD Casar de Cáceres,487
Tampereen Pallo-Veikot,5620
Lakena United,1458
SKディナモ・チェスケー・ブジェヨヴィツェ,7253
Paradou Athletic Club,18220
Red Bull Brasil,19168
CD Villegas,779
Asociación Deportiva Municipal de Pérez Zeledón,5718
FC Chernomorets Novorossiysk,14130
Granada CF,22541
A.C. Bastia 1924,1556
FK Mažeikiai,2129
Associazione Calcio Bellinzone,6158
SD Órdenes,2519
KS Kastrioti Krujë,9080
Unión Deportiva Vall de Uxó,3783
Torslanda IK,1687
Stade Centrafricain,20939
Asociación de Fútbol Calahorra,4959
Mouloudia Oujda,42067
U.S. Russi,2936
Aiglon du Lamentin,8562
Гостивар (футбольный клуб),1078
FC Dallas,20442
唐卡士打流浪百麗絲女子足球會,14425
Аль-Батин (футбольный клуб),2696
Clubul Sportiv Turnu Severin,21887
Moghreb Athlétic de Tétouan,12064
Unión Coquimbo,23
Klubi Sportiv Apolonia Fier,6014
Savanne SC,2058
FC Zug 94,5663
Futbolniy Klub Tekstilshchik,8428
Club Deportivo Zuera,2293
AS Korofina,38963
FC Lugano,5519
Grulla Morioka,5300
FC Aarau,9302
乔治维尔斯特尔曼俱乐部,40679
FC Vysočina Jihlava,4031
Club Deportivo Beniel,3530
ACルガーノ,6112
Hapoel Kfar Saba,5364
Clube Recreativo da Caála,8723
AS Tempête Mocaf,24125
Сет (футбольный клуб),9440
Íþróttafélagið Höttur,568
Guarany Sporting Club,16302
Profesionalen Futbolen Klub Černomorec-Burgas-Bălgarija,1893
BV Cloppenburg,4747
"Викингур (футбольный клуб, Гота)",1712
1461 Trabzon,5560
Floridsdorfer AC,3138
FKゼムン,10334
Santos FC de Angola,17634
AZS PWSZ Biała Podlaska,1411
雅丹纳博足球俱乐部,14570
نادي كراسنودار,34277
Rampla Juniors Fútbol Club,6956
Райо Вальекано B,879
FCシャフハウゼン,5644
Лацио (футбольный клуб),69217
Hibernians FC,3838
Jantra Gabrowo,15264
Ankara Demirspor,33596
Suwon FC,12928
Rot-Weiß Lüdenscheid,22494
FK Velež Mostar,6526
サラブリーFC,5812
SpVgg Aidlingen,3262
FC Basel,37305
AmaZulu Football Club,10034
Suwaiq Club,12983
Postel 2000 FC,25526
瓦讷奥林匹克俱乐部,11598
VFC Anklam,9123
SV Feldkirchen,2151
Flekkerøy IL,1587
FC Kuban Krasnodar,31910
FC Chomutov,9446
Drogheda United,2074
Astres FC,31132
Универсидад де Консепсьон,32247
Al Tadamon Tyr,5934
FC Tsjepinets Velingrad,8024
JIPPO,1889
FC Puente Tocinos,985
KS Kamza,5530
Stade Tunisien,17065
Apollon Limassol,12406
FK Belasica Strumica,5713
SpVgg 03 Neu-Isenburg,8571
Sorrento FC,4847
CD Cenicero,1164
Грёдиг (футбольный клуб),3876
Kalmar AIK,7452
Boulevard Blazers,6514
Печ (футбольный клуб),6922
AD Dili Leste,4948
FC Dila Gori,4756
Club Nalón,325
Clube Recreativo Desportivo do Libolo,10127
FK BSK Borča,3743
スポルト・ボーイズ,17208
Santiago Futsal,5356
FC Differdange 03,2326
Kickers Emden,6997
FK Smederevo,17839
Kapaz PFK,29386
Вильянди (футбольный клуб),2502
Nogometni Klub Iskra Bugojno,12433
Fudbalski Klub Mladost Podgorica,1860
Ashton Athletic F.C.,576
Maranatha Fiokpo,5243
Don Bosco SC,1031
TSV Hartberg,4018
Moghreb Athletic Tétouan,16221
梁贊足球會,27221
Carabobo Fútbol Club,10477
Association Football Club de Compiègne,16659
Nest-Sotra Fotball,1750
نادي السد (قطر),12688
Arema Malang,54055
ヘレフォード・ユナイテッドFC,5155
Deportivo Cañaña,6841
"Факел (футбольный клуб, Воронеж)",29024
Caravaca Club de Fútbol,1834
Club Deportivo Unión Criptanense,3076
Lombard-Pápa TFC,5178
Club Social y Deportivo Coatepeque,20
Forces Armées Royales de Rabat,38861
福岡黃蜂,20332
GBK Kokkola,3222
Oeste Futebol Clube,20504
جمعية اسنيم,5071
迪費爾丹格足球俱樂部,2265
Sport Club Kriens,6004
NAC Breda,19097
CD Ñublense,11424
Cetatea Suceava,11820
SC Apolda,8819
Sportivo Huracán Arequipa,18045
インテルFS,2807
KF Këlcyra,909
Football Club Tofaga,1199
SV Alsenborn,8072
巴伦西亚足球俱乐部,47372
ASO Buhuși,3045
Union Sportive Rumelange,3196
Emirates Club,5183
Wuhan Zall FC,23063
Club de Deportes Malleco Unido,2
MKS Kluczbork,1906
Эспаньол B,5297
نادي سيستاو ريفر,9374
Werder Bremen,44531
Club Atlético River Plate (Uruguai),5143
GBK,3016
KF Apolonia Fier,7127
電力巨擘足球會,12612
Al-Wakrah Sport Club,9754
Islanders FC,1918
奧斯迪足球會,16146
Associazione Calcio Dilettantistica Nardò,4682
Kalamata FC,3846
FC Basel,36778
Karacabey Birlikspor,2029
Astur CF,1888
FCスラヴィア＝マズィル,5123
Unione Sportiva Fiumana,7695
FC Narva Trans,2391
Stade Poitiers,11746
DFK Dainava Alytus,3589
CD Getxo,2769
MŠK Rimavská Sobota,4644
阿普朗尼亞足球會,6499
Spartaki Tsinvali,1598
FC Diepoldsau-Schmitter,1002
Deportivo Coatepeque,20
Berekum Chelsea,10009
拿薩夫足球會,13704
US Yatenga,4599
Melbourne Victory FC,26953
Royal Thai Navy F.C.,12184
United Petrotrin F.C.,11047
Vinaròs CF,9529
卡阿拉娛樂俱樂部,11198
HNK Šibenik,8106
