http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
ウィーン美術アカデミー,1355
Lionel Hampton Fine & Performing Arts School,623
圣地尼尔中学,1218
Staatliche Technische Universität für Nuklearenergie Obninsk,2406
Midwest City High School,1555
Uniwersytet Techniczny w Warnie,7791
Colton High School (California),2861
Crestwood High School (Pennsylvania),1111
Albertville-Realschule,561
Клаустальский технический университет,1
George Washington University Law School,1360
Южно-Флоридский университет,41307
"Indian Institute of Information Technology and Management, Gwalior",781
North Carolina Central University,8932
R S McLaughlin Collegiate and Vocational Institute,1339
Universität Split,22210
Bradley Stoke Community School,890
Hochschule für Musik Carl Maria von Weber,1
Coudersport Area School District,869
Redcar Academy,734
Universidad de las Indias Occidentales,36276
Millis High School,444
Bromley High School,777
Loxford School of Science and Technology,1652
Nokomis Regional High School,715
La Salle University (Ozamiz),5978
Mainland High School,1744
Oviedo High School,2674
Johnston Senior High School (Rhode Island),931
"Carson High School (Carson, California)",3147
Islamic Azad University South Tehran Branch,122893
Trachtenberg School of Public Policy and Public Administration,503
"Royal Academy of Art, The Hague",1010
Tunis University,25222
Maumee Valley Country Day School,484
Shaker Heights High School,2359
Antietam School District,844
Souhegan High School,878
Pontifical Catholic University of Puerto Rico School of Law,695
Blackheath High School,785
Institut national des sciences appliquées de Toulouse,1722
National University of Advanced Legal Studies,371
Lyman School for Boys,420
Universidad Estatal de Ingeniería de Armenia,10417
Bodindecha (Sing Singhaseni) School,4834
"St Paul's High School, Hyderabad",2505
Captain John L. Chapin High School,2089
台北市立松山高級中学,2775
韓國放送通訊大學,189613
Armstrong School District (Pennsylvania),6070
Aiyas Matriculation Higher Secondary School,247
カルヴィン神学校,350
St Ambrose College,1118
Universidad de Salerno,41997
浙江师范大学,22851
Universidade de Kent (Estados Unidos),29676
Académie des beaux-arts de Vienne,1163
Freedom High School (Pennsylvania),2022
Universidad de Macquarie,40491
Little Village Lawndale High School Campus,239
Edsel Ford High School,1613
漢堡法學院,520
Texas A&M International University,6785
Instituto de Tecnologia da Geórgia,27120
University School,808
ミシュコルツ大学,13792
"Mulberry High School (Mulberry, Florida)",921
国防科学技術大学,14322
Hatch End High School,1334
Meharry Medical College School of Dentistry,225
Berkley High School,1333
Lincoln County School District (Georgia),1329
Università Campus Bio-Medico,1552
Saint Francis College,2746
Ware County High School,1672
Jackson College,6415
Cobblestone School,58
Garden City High School (Kansas),1971
Marygrove College,2358
John H. Francis Polytechnic High School,4023
Blue Mountain High School,788
Terry College of Business,3629
高等科学技术学院,1612
Gorsebrook Junior High School,225
St. Martin's Engineering College,3112
Innisfree House School,619
Rapid City Area Schools,14826
Sophia-Universität,11914
Fredonia High School (New York),604
Red Oak High School (Texas),1922
Chatham High School (Virginia),572
Universidad de Guanajuato,35906
École Normale de Musique,945
Schreiner University,1190
Hallmoor School,263
جامعة مودينا وريدجو إميليا,17043
ハーバード大学デザイン大学院,905
UC San Diego School of Medicine,310
Christian Academy in Japan,429
جامعة كولومبيا,30000
Moorpark College,17089
"International College of Management, Sydney",1291
Conservatorium Maastricht,589
Avondale School District,3642
Université d'État du Kansas,24568
Riverton Parke Junior-Senior High School,476
J. A. Fair Systems Magnet High School,785
جامعة البوليتكنيك في ميلانو,41258
Penn State Greater Allegheny,827
Bulacan State University,26235
Jarvis Christian College,745
Digital Media Arts College,393
Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu,7268
Ponderosa High School,1635
Mersin Üniversitesi,21
University of Chieti-Pescara,28116
Thomas Jefferson Arts Academy,1001
Maurice J. McDonough High School,1564
Saint Petersburg State University of Service and Economics,33515
Godolphin and Latymer School,768
La Vergne High School,1733
"Rye High School (Rye, Colorado)",246
Maria Carrillo High School,1622
Instituto Politécnico Nacional,194461
Truro School,1147
Sioux Falls Christian Schools,852
"San Pasqual High School (Escondido, California)",2621
Oxon Hill High School,1374
Newcastle School for Boys,430
Колледж Святого Креста,2620
Drexel University,26959
"Delhi Private School, Dubai",3669
Prince Rupert School,1070
Pisgah High School,1046
Reidsville High School,905
弗莱贝格工业大学,4688
Ashford School,776
Busan Arts College,834
Gateway High School (San Francisco),453
Hampton Township School District (Pennsylvania),3187
Hangzhou High School,1503
Jeju National University,57940
Université de Mongolie-Intérieure,20974
Antioch Community High School,1376
国家与世界经济大学,18590
福建省福州第一中学,1935
Pacific Grove High School,559
Durham Johnston Comprehensive School,1219
Universidad Estatal Belarusa de Informática y Radioelectrónica,17435
Universität Lund,36846
Monterey College of Law,112
Lake Travis Independent School District,8036
Penn State Wilkes-Barre,455
Claflin University,1854
Bangladesh Air Force Shaheen College,11193
Kasetsart University Laboratory School,4294
国立雲林科技大学,10335
Robert S. Farrell High School,197
Citadel High School,1469
Bethany College (Saskatchewan),0
Battlefield High School,2702
Kingswood Secondary Academy,1060
Linz International School Auhof,348
Universidad de Piura,6795
ハバナ大学,26886
Albanian School of Magistrates,30
Université de la République,90886
Universiteit van Piura,6250
King Charles I School,1168
University of Nottingham,40178
Universidad de Princeton,9298
مدرسة طب جامعة جونز هوبكنز,539
New Smyrna Beach High School,2097
Fort Worth Country Day School,1215
Cordon bleu (Kochschule),16057
Thornton Academy,1252
Eastview High School,1860
Universität Camerino,8507
Saint Petersburg Art and Industry Academy,1460
American School of Dubai,1908
Siskiyou Union High School District,865
Uniwersytet w Hamburgu,39207
Newport High School (Pennsylvania),440
Carmi-White County High School,409
School for Ethics and Global Leadership,18
Line Mountain Jr./Sr. High School,280
Hanley Castle High School,1164
Колледж Лисгар,1158
Bernice MacNaughton High School,713
جامعة غراتس الطبية,3631
"University of Dental Medicine, Mandalay",870
Journeys School,194
المدرسة الأمريكية في الدوحة,1900
Université de Reggio de Calabre,11
Montgomery County Community College,14373
Patcham High School,1047
Johnson College,543
United World College–USA,45
Birmingham Blue Coat School,1
Chalmers University of Technology,11429
Athens Technical College,3625
Center for Transnational Legal Studies,58
Deer Park High School (Texas),4887
جامعة ستكهولم,66030
Miramar High School,2714
West Jefferson Hills School District,2275
El Toro High School,2817
Hingham High School,1144
Eagle High School,1656
Hochschule für Musik Karlsruhe,567
Valdez High School,257
KIIT Law School,950
Collège Montmorency,5895
Universidad Azteca,14737
Institut d'études politiques d'Aix-en-Provence,1871
Université nationale d'Ouzbékistan,10249
Haughton High School,1263
"Queen Elizabeth's School, Crediton",1505
Plantsbrook School,1383
Shri Ramdeobaba College of Engineering and Management,4705
Sunningdale School,103
Российско-таджикский (славянский) университет,2958
張祝珊英文中學,988
Universidade Carlos III de Madrid,16241
College Prep International,167
荷语天主教鲁汶大学,55163
Uniwersytet Pavla Jozefa Šafárika w Koszycach,6512
"Lamar School (Meridian, Mississippi)",517
Accademia degli studi economici di Bucarest,24150
Stephen Perse Foundation,682
Glenbard South High School,1495
Columbia High School (New Jersey),2128
Университет Софии (Токио),9143
ハーバード・ビジネス・スクール,2306
Jessore University of Science & Technology,2668
North Paulding High School,2216
Financial University under the Government of the Russian Federation,67980
Universität Göteborg,31983
Appleton North High School,1747
Emerson School for Visual and Performing Arts,631
Escuela Universitaria de Ålesund,2208
Zhejiang A & F University,21089
جامعة 9 ايلول,50449
Royal National College for the Blind,220
Far Hills Country Day School,426
オハイオ州立大学,56983
Boricua College,1138
Brunswick (Brittonkill) Central School District,1258
Silverton Independent School District,176
Our Lady of the Lake University,3019
Mount Royal Collegiate,920
Universidad de Orán,29908
Universität Regensburg,17243
Bethany College (Kansas),824
フェリックス・メンデルスゾーン・バルトルディ音楽演劇大学ライプツィヒ,790
Queen Margaret Academy,723
Charlestown Senior High School,718
Sam Barlow High School,1644
York Suburban Senior High School,836
"Coronado High School (Coronado, California)",900
Morningside College,2413
Davis High School (Utah),3941
Fitch Senior High School,1290
جامعة لينيوس,14887
Université norvégienne pour les sciences de la vie,4244
University of Oran,22408
Marymount International School Barranquilla,1211
Astronaut High School,1069
Universidad Tecnológica Nacional,79794
Sarasota High School,2383
Framingham High School,2115
Allegan High School,647
馬里蘭藝術學院,2057
George Rogers Clark High School (Kentucky),1709
スワジランド大学,4755
"Mulberry High School (Mulberry, Florida)",10
"Sainik School, Korukonda",543
Alberto Hurtado University,3781
Uniwersytet Republiki,77428
Will Rogers High School,1175
Coastal Pines Technical College,2020
Marietta City Schools (Georgia),7290
"Southern High School (Durham, North Carolina)",1976
Albany High School (Georgia),1082
McClellan Magnet High School,828
Universiteti i Prishtinës,43
Open University of Hong Kong,16980
Peter the Great St. Petersburg Polytechnic University,31038
Universidade de Perúgia,30407
Universidad Johnson & Wales,14094
School of Health Professions,609
North Gwinnett High School,2755
兵庫県立大学,5807
Tinago National High School,624
Croatan High School,903
"Cleveland High School (Los Angeles, California)",4296
Universidade da Suazilândia,6374
Escuela de cine Marubi,0
奧蘭治中學 (俄亥俄州),780
Roger Williams University,3892
Cumbernauld College,2897
جامعة تويو,31145
College Avenue Secondary School,680
Università degli Studi di Messina,24325
مدرسة النرويجية الدولية,221
Universidade do Estado do Arizona,3969
Woodstock North High School,1029
Blue Mountain High School,1043
Kaneland High School,1329
湖南中医药大学,3
University of Eastern Finland,13842
Uzhhorod Gymnasium,812
Эрфуртский университет,5219
Università di Edimburgo,33751
The Key School,774
"Wayland Academy, Wisconsin",79
Glasgow High School (Kentucky),508
McIntosh High School,1575
Universidad de Gabès,21207
Baden-Württemberg Cooperative State University,31849
Osaka Prefecture University,7982
Melbourne Law School,1257
Staniland Academy,395
Amphitheater Public Schools,18654
Bloomington Jefferson High School,1762
Institut d'Administration des Entreprises,48198
Université de Rome « La Sapienza »,120927
Università Tecnica Ceca di Praga,21299
أكاديمية الغابة السوداء,306
Carlisle Area School District,4424
Transcona Collegiate Institute,633
Université Panthéon-Assas,16316
Frederick Gent School,736
Saint Paul American School,291
Holy Cross Catholic Academy,948
International School of Kraków,203
Hayes Mission School,149
Waynflete School,254
Millard North High School,2259
Akureyri Junior College,826
Universidad de Tecnología y Economía de Budapest,23029
National University of San Luis,12015
Russische Akademie für Theaterkunst,1491
Liberty Middle School (Virginia),1300
معهد كارلسروه للتكنولوجيا,24766
"Friends' School, Lisburn",840
Université FON,5766
Collège Ahuntsic,9363
Università degli Studi di Bari Aldo Moro,47143
Watkinson School,270
Forest Hill High School,949
Kwantlen Park Secondary School,1381
Webster County High School (West Virginia),596
UCL Institute of Archaeology,586
Mars Hill Bible School,553
Universidad Técnica de Creta,2697
American School in Taichung,177
Mars Hill University,1349
University of Applied Sciences Wedel,891
Redmond High School (Oregon),900
Roger Williams University,4463
"Hudson Catholic High School (Hudson, Massachusetts)",113
Haywood Academy,1138
"St Edward's School, Oxford",652
Escuela Nacional de Educación Secundaria Wen-Hua,2718
Diamond Bar High School,3798
Bellerive FCJ Catholic College,1068
Wren Hollow Elementary School,438
BUITEMS,7703
Universiteit van Modena en Reggio Emilia,18416
كلية المكسيك,394
东芬兰大学,13572
DePaul University College of Law,777
Kelso High School,1921
Universidade Joseph Fourier,14303
Universität für Chemie und Technologie in Prag,3195
Instituto Tecnológico de Ciudad Juárez,5548
Blountstown High School,401
Lynnwood High School,1805
University of National and World Economy,25037
CCC Heep Woh College,1130
Seisen International School,736
Université technique d'Eindhoven,6755
Avon Old Farms,425
Universidade da República,81772
浙江中医药大学,4947
Longyan University,8973
Russian Academy of Theatre Arts,1652
The Rodillian Academy,1472
Nelson Marlborough Institute of Technology,2613
Monroe County School District (Georgia),3564
Mangotsfield School,1392
Bridgeport Academy,117
Plashet School,1244
Instituto Químico-Tecnológico de Praga,2980
Chippewa Secondary School,592
KIIT International School,97
Blacklick Valley School District,763
Стокгольмский университет,67072
Trevor G. Browne High School,3464
Backwell School,1609
深圳中学,4147
"New Tech High School, Coppell",455
Clarke Central High School,1168
The Chantry School,548
Normanhurst School,269
Uniwersytet Edynburski,39550
Institut national des sciences appliquées de Toulouse,2572
Shenyang International School,239
Microsoft's School of the Future,562
Клаустальский технический университет,4
Université de L'Aquila,19860
École secondaire de Par-en-Bas,323
Bentley Wood High School,1064
The Fallibroome Academy,1679
Akademie der musischen Künste in Prag,1458
Palmview High School,2185
Colonial High School,3358
جامعة مالطا,12145
Université Nice-Sophia-Antipolis,25008
Tigard High School,1914
Oak Creek High School,2254
Somerset County Vocational and Technical High School,318
Sylvia Young Theatre School,246
جامعة أكاديا,4188
Universität Bangkok,28451
Forest Hills Central High School,1019
Moon Area High School,1211
Université de Nottingham,44443
American School of Doha,2056
Baltic Film and Media School,416
Woodberry Forest School,447
Томский политехнический университет,20222
Uniwersytet w Göteborgu,41692
High School for Recording Arts,194
Giles County High School,1135
New College Berkeley,213
Doss High School,831
Maria Curie-Skłodowska University,23486
Pacific Northern Academy,146
Школа права Новой Англии,1207
光启学校,3526
Università degli Studi di Cagliari,34816
Lucknow College of Arts and Crafts,597
Universidad de San Francisco,12255
Full Sail University,16202
Universidad de Argel,98354
"Oak Grove High School (Jefferson County, Alabama)",916
جامعة رايت للولاية مدرسة طب بونشوفت,392
Phoenix High School (Oregon),879
Campbell County Comprehensive High School,1034
Cedarburg High School,1103
Piscataway Township High School,1943
Tuscarora School District,2709
Оснабрюкский университет,8709
National Polytechnic University of Armenia,9276
Instituto Tecnológico de Ciudad Juárez,6756
Sophia University,13132
Academy for Information Technology,261
Palisades Charter High School,2636
Universidade de Seul,12539
Foothills Academy (Arizona),424
Ohio University Southern Campus,2240
Salesian Secondary College,536
South Umpqua High School,661
Suor Orsola Benincasa University of Naples,8554
Poynton High School,1647
Peebles High School (Ohio),507
Lost River Jr./Sr. High School,256
NMBU,4604
"Stratford High School (Goose Creek, South Carolina)",2217
Harmony High School,1942
The Elizabethan Academy,1308
Ch. Brahm Prakash Government Engineering College,739
Mt. Lebanon School District,5751
Sentinel High School,1311
Williamstown High School (New Jersey),1605
The Branson School,322
Cove School (Oregon),247
聊城大学,34
Connellsville Area School District,4609
Национальный университет Сан-Антонио Абад,15594
"Downtown High School (Columbus, Ohio)",607
Bramcote Hills Sport and Community College,738
معهد جورجيا التقني,20848
台中美國學校,175
Università degli Studi di Brescia,14368
Franklin Heights High School,954
"Andrews High School (Andrews, Texas)",742
中華基督教會協和書院,1289
University of Mons,5462
Institut national des sciences appliquées de Toulouse,2401
Pacific College of Oriental Medicine,85
"Wah Engineering College, Wah Cantt",596
Universiteit van Göteborg,32070
St. Mark's High School,863
Osceola High School (Wisconsin),440
Charlestown High School,784
Lake Forest College,1465
Dominican College of Tarlac,2645
Therfield School,988
Blackhawk School District,2817
Uniwersytet Technologii i Ekonomii w Budapeszcie,22528
Interdenominational Theological Center,297
Cégep André-Laurendeau,4822
Macquarie University Faculty of Human Sciences,5441
CSU–Global Campus,9812
Savannah State University,4831
"Università degli Studi di Napoli ""Parthenope""",14160
Benenden School,614
Frazier School District,1254
Dame Elizabeth Cadbury Technology College,641
"Cotter High School (Winona, Minnesota)",252
A&M Consolidated High School,2572
Universität Ankara,44563
浙江理工大学,25043
Westtown School,501
Freetown Elementary School,526
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,10889
Widener University School of Law,732
Bacone College,861
Antioch College,275
Wake Forest University School of Law,439
North-West University,63739
江原大学,33279
Universität Karthago,42949
Sir John Cass Redcoat School,2209
Longcroft School,1749
Yamhill Carlton High School,428
戴尔豪斯大学,19056
جامعة ماركي التقنية,17472
Hortonville High School,1112
SIM-Universität,15611
Olentangy Liberty High School,1883
Universität Nizza Sophia-Antipolis,25816
羅傑威廉姆斯大學,4838
Evangelische Hochschule Nürnberg,753
Delaware Technical Community College,18898
Sankt-Petersburski Państwowy Instytut Górniczy,17425
University Centre in Svalbard,495
Bear River High School,1099
Takoma Park Middle School,672
Le Cordon Bleu,20044
"Pickering High School, Ajax",2554
Parks Junior High School,986
Denis Morris Catholic High School,1361
Athens Area School District,2406
Malibu High School,1134
Белорусский государственный университет,48858
Abbotsholme School,321
Collège Ahuntsic,8349
Universität Catania,71450
Saint Peter-Marian High School,602
Will C. Crawford High School,1593
