http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Cass High School (Georgia),1253
Beaumont College,282
Newburyport High School,870
Ashton Park School,974
Crawford Central School District,4208
Valenzuela City School of Mathematics and Science,744
National Wen-Hua Senior High School,2792
Donaldson's School,26
Monterey Bay Academy,175
Annandale High School,2154
Södra Vätterbygdens folkhögskola,307
Rosebery School for Girls,1555
Newport High School (Arkansas),410
Battlefield High School,3502
Universidad de La Serena,7397
Palo Alto University,1018
"Jack M. Barrack Hebrew Academy (Bryn Mawr, Pennsylvania)",358
Libera Università degli Studi Per l'Innovazione e le Organizzazioni,1835
Fort Hays State University,12007
Purnell School,68
La Jolla Country Day School,1055
Bourne End Academy,841
Meoncross School,360
Университет национального и мирового хозяйства,21983
Black Mountain College,1395
Orr Academy High School,469
St Nicholas Catholic High School,1311
Université Paris-Ouest-Nanterre-la-Défense,32139
College of the Holy Cross,2650
Beijing Sport University,13836
KAIST,9649
Grinnell College,1645
جامعة بيردو,39280
Beverly Hills High School,2002
Buckhannon-Upshur High School,1394
Université d'État de l'Arizona,9551
Ontario High School (Oregon),632
St. Paul High School (Virginia),209
Hochschule Ålesund,2507
Päpstliche Katholische Universität von Santo Domingo,4767
屯門官立中學,1223
Sulphur High School (Oklahoma),404
Hong Kong International School,3171
Tech College Aalborg,4680
Harvard Graduate School of Design,928
Halfway High School,127
Universität des Nahen Ostens,26657
French National School for the Judiciary,622
忠北大学,19025
Universidad de Dar es-Salam,18535
