http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Pedro e Inês,14
Rizzoli & Isles,106
包青天 (1993年電視劇),240
De Smurfen (televisieserie),282
BoJack Horseman,39
Man of the People (TV series),12
Kung Mamahalin Mo Lang Ako,139
Iron Chef,14
Heartbeat (serie de TV),9
Asar Talo Lahat Panalo!,53
The Bridge (serie televisiva 2013),26
Air City,15
The Beast (2009 TV series),12
Jhansi Ki Rani (TV series),488
The Killing (Forbrydelsen),39
Morderca z Whitechapel,18
Traveler,8
The Man from Snowy River (TV series),59
Harry (TV series),20
檀島警騎,287
Timothy va a la escuela,26
تالا (مسلسل),177
明成皇后 (電視劇),128
皇家反千組,15
Zeke and Luther,68
Britain from Above,6
Documentary '60,28
Rebelde (telenovela brasileira),416
Piżamiaki,51
Samson & Goliath,13
Comedy Slapdown,13
Бедная Настя,139
Provaci ancora prof,30
Parenthood (Fernsehserie),111
Sunburn (TV series),15
Réunion : Destins brisés,13
Los Fruittis,50
The City (1999 TV series),30
"Flash Gordon (Fernsehserie, 2007)",20
Sleepers (TV series),4
Click (Philippine TV series),290
The Cube - La sfida,77
Batman (serial animowany 2004),62
Impact Wrestling,708
Trust Me (serie televisiva),13
Alcatraz (serial telewizyjny),14
April Kiss,25
Stargate Atlantis,97
Nastoletnia Maria Stuart,60
Monday Night Golf,8
Galactica 1980,11
Conquest of Space (TV series),5
Moving On,38
Extreme Trains,8
Gawayn,109
Rainbow Brite,4
تابالوغا التنين الأخضر,75
Hot Wheels Battle Force 5,54
Shark Tank,152
Salem's Lot,2
Scorpion (serial telewizyjny),51
FNS Music Festival,49
Rainbow Brite,2
Nummer 6,16
Osbournes Reloaded,6
The Andy Griffith Show,251
Hum Dono Hain Alag Alag,34
Легенда о Корре,57
Standoff,18
Mes trois fils,380
Papi Ricky,129
El Show de los Muppets,131
救命医ハンク セレブ診療ファイル,112
Falcon Crest,226
與媒體見面,16994
Objection!,36
猫狗,63
Zafalowani,55
The Yellow Rose,25
Addicted to Love (TV series),33
Single Father (televisieserie),4
In casa Lawrence,87
El Privilegio de Mandar,83
The Troop,37
California Dreams,74
Mysterious Incredible Terminator,17
Land Girls,16
One Summer,5
The Last Scandal of My Life,17
Above Suspicion (TV series),11
Kaettekita Ultraman,51
Australia's Greatest Athlete,24
Росомаха и Люди Икс,26
Dark Matter (TV series),24
Kakasa Ka Ba Sa Grade 5?,44
Observatório da Imprensa,536
Empty Nest,178
Dolce Valentina,186
Flashpoint (TV series),76
Beat the Star (Australia),4
Brüder (Fernsehserie),44
Alcatraz (telessérie),12
Head over Heels (TV series),8
Aquarius (Fernsehserie),27
Pacific Palisades (TV series),13
The Lost Dream,114
Timeless (série télévisée),3
Kirk (série de televisão),30
Reign,62
Джеронимо Стилтон (мультсериал),76
Доктор Плюшева,106
Stoked: Locos por las olas,54
Dark Shadows (1966),1276
!Oka Tokat,283
Baggy Pants and the Nitwits,13
فوفر,25
The New Adventures of Zorro (1981),12
Anne of Green Gables: The Animated Series,27
Speechless: Silencing the Christians,15
El Gran Show (season 1),13
Raw (TV series),30
Struggle (TV series),34
Pop Pixie,52
La Chica de Ayer (TV series),8
When the Levees Broke,2
Scorpion (televisieserie),55
"Мелроуз-Плейс (телесериал, 2009)",19
Amores cruzados,131
Teens in the Wild,4
Income Property,163
Eye Candy (TV series),9
Doctors (serie de televisión),22
恐龙战队 (第一季),65
探險時光,205
鸦林镇,9
御用閒人,22
Rahe Bipayan,28
4 gegen Z,39
Savitri (TV series),159
People in Parties,2
Quinceañera (telenovela),105
Avatar: De Legende van Aang,56
Medicina generale (serie televisiva),39
القنفذ سونيك ( سلسلة كرتون) 1993,29
Scorpion (série télévisée),56
Action Man (série télévisée d'animation),24
ECW on TNN,54
RIS Delitti Imperfetti,157
Daredevil (serie televisiva),24
Nature's Great Events,6
Боб-строитель,353
U.E. (TV series),8
Keeping Up Appearances,41
Флорисьента,328
Scriptum – Der letzte Tempelritter,2
كيلر كاريوكي - غني لو تقدر,6
Soldier Soldier,77
Spice Goddess,10
Uno di noi (TV series),11
Hrvatski Top Model,22
Laguna Beach MTV,45
The Janice Dickinson Modeling Agency,44
Professor Balthazar,58
Les Popples,49
Melrose Place,251
Life (serie televisiva),29
New Adam-12,48
Ned ou Comment survivre aux études,50
McGee and Me!,13
بريزون بريك,77
BrzydUla,246
Jayce and the Wheeled Warriors,66
Through the Bible with Les Feldick,976
Fargo (série),19
スーパーロボット マッハバロン,23
Charity Lords of the Ring,4
Ape Escape (animated TV series),18
سحر الحب,97
Blossom,120
Los Oblongs,12
Cyberchase,103
Drei Engel für Charlie,109
Nach Baliye,146
リトルモンスター,49
Auld Ones,25
Xuan-Yuan Sword: Scar of Sky,37
Teletubbies,431
La signora in giallo,276
Make-up und Pistolen,81
Taxi (Amerikaanse televisieserie),118
The Blonde Bombshell,2
The Commish,95
Loving (TV series),3126
Ciudad Bendita,235
Romanzo criminale (série télévisée),22
Banshee – Small Town. Big Secrets.,36
Ilha da Sedução,25
The Brian Conley Show,56
Bad Guy (TV series),18
Samantha oups !,296
La que no podía amar,164
The Loop,17
Geronimo Stilton (serie animata),82
Eliot Kid,58
Alergia Monstra,52
Please Like Me,29
Iron Chef,13
Princesses (TV series),8
Baby Bonus (TV series),23
Amiche mie,13
Zapytaj Harriet,12
Liwanag Ng Hatinggabi,16
Doctor on the Go,26
Beast Wars: Transformers,55
Aniołki Charliego,116
NY-LON,7
名車再生!クラシックカー・ディーラーズ,167
The Stranger (1973),1
Ravenswood (série télévisée),9
The Middleman (TV series),13
The Charm Beneath,30
Eye Candy,9
Broken Arrow (TV series),70
Sasural Simar Ka,1494
Era Uma Vez... o Planeta Terra,25
حديقة المرح,98
المضحكون,12
Happy Valley (serial telewizyjny),11
Érase una vez... los exploradores,25
Команда «А»,104
Aly & AJ: Sister Act,1
Save Me (série télévisée),7
Kyle XY,42
Yongzheng Dynasty,41
"Malibu, CA (TV series)",46
Wikingowie (serial telewizyjny),44
Bajo la misma piel,96
Batman: Odważni i bezwzględni,65
Rainbow Brite,2
Cannonball (TV series),39
فتيات القوة,74
Boys and Girls Alone,4
Остаться в живых (телесериал),112
Dave and Steve's Video Game Explosion,2
دليلك ملك,76
Come Fly with Me (série télévisée),6
Drake i Josh,63
Stuart Little: The Animated Series,13
A Gifted Man,16
Honour and Passion,21
Mako Mermaids: Syreny z Mako,73
La antorcha encendida,72
Bad Guy,18
My Secret Identity,64
"Заключённый (телесериал, 1967)",17
Sokole Oko (serial telewizyjny),23
Zabranena Lyubov,313
Devi (TV series),128
Psych,135
Space Ghost Coast to Coast,101
Polònia,195
Skunks Fu,25
Food Jammers,44
My Alibi,18
Adventures of Sonic the Hedgehog,67
Lasciate in pace i koala,24
La niñera (Mexican TV series),20
Deep in the City,32
Some Mothers Do 'Ave 'Em,24
Expo This Week,24
MTV Made,290
Eye in the Sky (TV series),20
Puso ng Pasko: Artista Challenge,19
The Gates,12
Trudis Liit,91
Przystanek dżungla,44
Shasta McNasty,21
Silver Spoons,121
Life (televisieserie),31
Star Magic Presents,95
Paris Hilton's British Best Friend,8
Hasta que el dinero nos separe,204
Action Man (serie animata),25
Sangnyusahoe,17
A Lei e o Crime,25
A Kind of Magic (televisieserie),28
Kick Kasskoo,93
無邪気な関係,13
Baantjer,125
Un trésor dans votre maison,553
Jinx - Fornelli e magie,12
"Флэш Гордон (телесериал, 2007)",20
Cuffs (TV series),8
Texas Ranch House,8
Ekipa z Newcastle,106
Alegrijes y rebujos,127
Kancelaria adwokacka,187
Dr. Slippery,6
Mrs. Columbo,14
Ben 10: Supremacía Alienígena,53
Batman (serie de televisión),109
Baggy Pants and the Nitwits,14
Squadra antimafia - Palermo oggi,81
Dark Kingdom: The Dragon King,2
My Queen,22
Romance Zero,17
談判專家 (電視劇),30
Doctors,3250
League of Super Evil,57
Scream Queens (telerrealidad),15
Norma e Felice,19
Total Wipeout,62
Una mujer marcada,22
In Harm's Way (reality show),8
Il cane di papà,169
Highland Emergency,1
Pop-Up Video,189
Adventure Time,235
State of Mind (TV series),8
Tough Love (TV series),64
Pepper Anderson agente speciale,85
Wonder Woman (serie televisiva),56
Kick Buttowski: Suburban Daredevil,109
Ozzy & Drix,24
East Coast Sessions,9
Canavial de Paixões,127
الإمام علي (مسلسل),23
Das Leiden Christi (Fernsehserie),4
Deal or No Deal (Tunisia),30
Glue (série télévisée),8
Orphan Black,44
Oh Happy Band!,6
Alvin and the Chipmunks (1983 TV series),101
I Cuordileone,13
Brewster Place,11
Forever Knight,71
Martha (TV series),1231
Z Rock (TV series),10
PopPixie,50
The Trouble with Tracy,135
Sport Billy,24
Powerpuff Girls,79
Bang Goes the Theory,70
Rock & Chips,3
Embraced – Clan der Vampire,8
College (TV series),14
W klatce czasu,37
Heartbeat (série télévisée),11
Personne n'y avait pensé !,139
Mi pecado,122
Full English,6
فايكنغز (مسلسل),36
La città in controluce,103
Roar (UK TV series),21
Verbotene Liebe,4764
軒轅劍之天之痕,33
Iron Man (animatieserie),24
CHAOS (TV series),14
"Dude, What Would Happen",34
Big Ang,9
Every Witch Way,83
Big Sexy,3
Alphas,22
ChuckleVision,290
Take Care of the Young Lady,16
スティーヴン・キング 8つの悪夢,8
Picchiarello (serie animata),56
Sanctuary (serie de televisión),61
Chand Ke Paar Chalo (TV series),78
Amorcito corazón (telenovela),201
The Facts of Life,209
Ironside (1967 TV series),208
الدببة الطائرة,43
"V, la Bataille finale",3
Chuggington,148
The Gates: Za bramą tajemnic,12
Alphas,25
In the Realm of Fancy,22
Orphan Black,41
فيردي (مسلسل),49
Zorro (Philippines TV series),94
Il était une fois… l'Homme,24
Super Hero Squad,52
Charm School with Ricki Lake,11
Nikki (TV series),40
Bouli,109
Kaya ng Powers,18
The Adventures of Ozzie and Harriet,391
Master Raindrop,26
Hipertensão (season 1),4
La quiero a morir (telenovela),117
Qui veut partir ?,25
信約：動盪的年代,33
Peg + Gato,49
"Dire, fare, baciare",63
Barracuda (serie),4
Prison Break,77
Fourways Farm,23
Wallace e Gromit,1
Es war einmal … der Mensch,29
The Road We Have Taken,48
Charlie’s Angels (Fernsehserie),8
Уоллес и Громит,1
J.J. Starbuck,15
The Story Makers,4
House (TV series),190
Kick Kasskoo,49
Believe (serie de televisión),12
Four on the Floor (Canadian TV series),12
Junior pianta mordicchiosa,12
Parenthood (série télévisée),115
The Adventures of Chuck and Friends,43
Polònia,196
Billy the Cat,48
Hunters,14
The A-Team,90
Dorothy (TV series),4
Hero 108,47
Drôle de chance,16
Rebelde (Brazilian telenovela),390
Ned's Newt,38
Skyll inte på mig!,5
Принцесса Сисси,49
Save Me (serie de televisión),7
Era Uma Vez... os Exploradores,25
飛天小女警,77
スポーツレンジャー,31
Honey West,30
オルトロスの犬,9
MasterChef (Australie),100
Don Bosco (telenovela),58
E.U. (TV series),30
Un filo nel passato,26
1 vs. 100 (Chinese game show),17
Kittie Party,416
"Los Angeles, années 30",12
The Real World: D.C.,15
Intelligence - Servizi & segreti,6
