http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
ウィーン美術アカデミー,1401
Lionel Hampton Fine & Performing Arts School,604
圣地尼尔中学,1290
Staatliche Technische Universität für Nuklearenergie Obninsk,2796
Midwest City High School,1640
Uniwersytet Techniczny w Warnie,7658
Colton High School (California),3136
Crestwood High School (Pennsylvania),998
Albertville-Realschule,618
Клаустальский технический университет,1
George Washington University Law School,1414
Южно-Флоридский университет,44532
"Indian Institute of Information Technology and Management, Gwalior",748
North Carolina Central University,9384
R S McLaughlin Collegiate and Vocational Institute,1168
Universität Split,23280
Bradley Stoke Community School,1044
Hochschule für Musik Carl Maria von Weber,1
Coudersport Area School District,802
Redcar Academy,751
Universidad de las Indias Occidentales,35676
Millis High School,413
Bromley High School,862
Loxford School of Science and Technology,1488
Nokomis Regional High School,733
La Salle University (Ozamiz),5364
Mainland High School,1735
Oviedo High School,2537
Johnston Senior High School (Rhode Island),824
"Carson High School (Carson, California)",3460
Islamic Azad University South Tehran Branch,122529
Trachtenberg School of Public Policy and Public Administration,464
"Royal Academy of Art, The Hague",979
Tunis University,29235
Maumee Valley Country Day School,477
Shaker Heights High School,2088
Antietam School District,986
Souhegan High School,842
Pontifical Catholic University of Puerto Rico School of Law,617
Blackheath High School,698
Institut national des sciences appliquées de Toulouse,1981
National University of Advanced Legal Studies,432
Lyman School for Boys,448
Universidad Estatal de Ingeniería de Armenia,9563
Bodindecha (Sing Singhaseni) School,5080
"St Paul's High School, Hyderabad",2800
Captain John L. Chapin High School,1970
台北市立松山高級中学,2782
韓國放送通訊大學,169452
Armstrong School District (Pennsylvania),5846
Aiyas Matriculation Higher Secondary School,218
カルヴィン神学校,381
St Ambrose College,988
Universidad de Salerno,37693
浙江师范大学,20304
Universidade de Kent (Estados Unidos),29370
Académie des beaux-arts de Vienne,1211
Freedom High School (Pennsylvania),1853
Universidad de Macquarie,38908
Little Village Lawndale High School Campus,244
Edsel Ford High School,1503
漢堡法學院,550
Texas A&M International University,7458
Instituto de Tecnologia da Geórgia,25898
University School,841
ミシュコルツ大学,15832
"Mulberry High School (Mulberry, Florida)",1037
国防科学技術大学,14531
Hatch End High School,1184
Meharry Medical College School of Dentistry,199
Berkley High School,1465
Lincoln County School District (Georgia),1477
Università Campus Bio-Medico,1817
Saint Francis College,3053
Ware County High School,1524
Jackson College,5910
Cobblestone School,61
Garden City High School (Kansas),2082
Marygrove College,2506
John H. Francis Polytechnic High School,3595
Blue Mountain High School,716
Terry College of Business,3421
高等科学技术学院,1527
Gorsebrook Junior High School,221
St. Martin's Engineering College,3618
Innisfree House School,674
Rapid City Area Schools,13883
Sophia-Universität,11229
Fredonia High School (New York),546
Red Oak High School (Texas),1697
Chatham High School (Virginia),666
Universidad de Guanajuato,31439
École Normale de Musique,1053
Schreiner University,1053
Hallmoor School,242
جامعة مودينا وريدجو إميليا,20005
ハーバード大学デザイン大学院,944
UC San Diego School of Medicine,326
Christian Academy in Japan,448
جامعة كولومبيا,27520
Moorpark College,14897
"International College of Management, Sydney",1303
Conservatorium Maastricht,625
Avondale School District,4214
Université d'État du Kansas,23778
Riverton Parke Junior-Senior High School,463
J. A. Fair Systems Magnet High School,870
جامعة البوليتكنيك في ميلانو,40562
Penn State Greater Allegheny,894
Bulacan State University,30549
Jarvis Christian College,800
Digital Media Arts College,343
Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu,8013
Ponderosa High School,1669
Mersin Üniversitesi,24
University of Chieti-Pescara,30601
Thomas Jefferson Arts Academy,876
Maurice J. McDonough High School,1373
Saint Petersburg State University of Service and Economics,38246
Godolphin and Latymer School,783
La Vergne High School,1587
"Rye High School (Rye, Colorado)",256
Maria Carrillo High School,1720
Instituto Politécnico Nacional,177282
Truro School,1124
Sioux Falls Christian Schools,804
"San Pasqual High School (Escondido, California)",2648
Oxon Hill High School,1266
Newcastle School for Boys,405
Колледж Святого Креста,2689
Drexel University,26724
"Delhi Private School, Dubai",3366
Prince Rupert School,1052
Pisgah High School,928
Reidsville High School,877
弗莱贝格工业大学,5504
Ashford School,869
Busan Arts College,840
Gateway High School (San Francisco),407
Hampton Township School District (Pennsylvania),3083
Hangzhou High School,1585
Jeju National University,52434
Université de Mongolie-Intérieure,24480
Antioch Community High School,1431
国家与世界经济大学,20581
福建省福州第一中学,2054
Pacific Grove High School,606
Durham Johnston Comprehensive School,1365
Universidad Estatal Belarusa de Informática y Radioelectrónica,16411
Universität Lund,43131
Monterey College of Law,119
Lake Travis Independent School District,8892
Penn State Wilkes-Barre,512
Claflin University,1680
Bangladesh Air Force Shaheen College,9850
Kasetsart University Laboratory School,4510
国立雲林科技大学,9018
Robert S. Farrell High School,176
Citadel High School,1323
Bethany College (Saskatchewan),0
Battlefield High School,2827
Kingswood Secondary Academy,1169
Linz International School Auhof,368
Universidad de Piura,6233
ハバナ大学,25118
Albanian School of Magistrates,30
Université de la République,83225
Universiteit van Piura,6475
King Charles I School,1199
University of Nottingham,40450
Universidad de Princeton,8270
مدرسة طب جامعة جونز هوبكنز,476
New Smyrna Beach High School,2058
Fort Worth Country Day School,1136
Cordon bleu (Kochschule),18553
Thornton Academy,1436
Eastview High School,2125
Universität Camerino,9246
Saint Petersburg Art and Industry Academy,1502
American School of Dubai,1827
Siskiyou Union High School District,793
Uniwersytet w Hamburgu,40824
Newport High School (Pennsylvania),400
Carmi-White County High School,358
School for Ethics and Global Leadership,21
Line Mountain Jr./Sr. High School,289
Hanley Castle High School,1046
Колледж Лисгар,1237
Bernice MacNaughton High School,837
جامعة غراتس الطبية,3920
"University of Dental Medicine, Mandalay",875
Journeys School,203
المدرسة الأمريكية في الدوحة,2220
Université de Reggio de Calabre,10
Montgomery County Community College,13335
Patcham High School,1133
Johnson College,496
United World College–USA,46
Birmingham Blue Coat School,1
Chalmers University of Technology,10865
Athens Technical College,3851
Center for Transnational Legal Studies,67
Deer Park High School (Texas),4477
جامعة ستكهولم,61248
Miramar High School,2566
West Jefferson Hills School District,2606
El Toro High School,3144
Hingham High School,1174
Eagle High School,1501
Hochschule für Musik Karlsruhe,524
Valdez High School,253
KIIT Law School,934
Collège Montmorency,6472
Universidad Azteca,14717
Institut d'études politiques d'Aix-en-Provence,1759
Université nationale d'Ouzbékistan,11024
Haughton High School,1157
"Queen Elizabeth's School, Crediton",1572
Plantsbrook School,1444
Shri Ramdeobaba College of Engineering and Management,5155
Sunningdale School,100
Российско-таджикский (славянский) университет,3276
張祝珊英文中學,870
Universidade Carlos III de Madrid,17113
College Prep International,153
荷语天主教鲁汶大学,55972
Uniwersytet Pavla Jozefa Šafárika w Koszycach,6124
"Lamar School (Meridian, Mississippi)",602
Accademia degli studi economici di Bucarest,21956
Stephen Perse Foundation,757
Glenbard South High School,1388
Columbia High School (New Jersey),1978
Университет Софии (Токио),10545
ハーバード・ビジネス・スクール,2012
Jessore University of Science & Technology,2695
North Paulding High School,2452
Financial University under the Government of the Russian Federation,75080
Universität Göteborg,35273
Appleton North High School,1658
Emerson School for Visual and Performing Arts,589
Escuela Universitaria de Ålesund,2012
Zhejiang A & F University,19560
جامعة 9 ايلول,47729
Royal National College for the Blind,192
Far Hills Country Day School,426
オハイオ州立大学,58272
Boricua College,1284
Brunswick (Brittonkill) Central School District,1176
Silverton Independent School District,205
Our Lady of the Lake University,3402
Mount Royal Collegiate,947
Universidad de Orán,26953
Universität Regensburg,19707
Bethany College (Kansas),808
フェリックス・メンデルスゾーン・バルトルディ音楽演劇大学ライプツィヒ,763
Queen Margaret Academy,636
Charlestown Senior High School,792
Sam Barlow High School,1895
York Suburban Senior High School,873
"Coronado High School (Coronado, California)",1027
Morningside College,2116
Davis High School (Utah),3468
Fitch Senior High School,1367
جامعة لينيوس,13990
Université norvégienne pour les sciences de la vie,4923
University of Oran,24386
Marymount International School Barranquilla,1234
Astronaut High School,1203
Universidad Tecnológica Nacional,78450
Sarasota High School,2358
Framingham High School,1952
Allegan High School,656
馬里蘭藝術學院,1928
George Rogers Clark High School (Kentucky),1522
スワジランド大学,5494
"Mulberry High School (Mulberry, Florida)",9
"Sainik School, Korukonda",483
Alberto Hurtado University,4219
Uniwersytet Republiki,78146
Will Rogers High School,1067
Coastal Pines Technical College,2280
Marietta City Schools (Georgia),7735
"Southern High School (Durham, North Carolina)",1744
Albany High School (Georgia),968
McClellan Magnet High School,899
Universiteti i Prishtinës,45
Open University of Hong Kong,15281
Peter the Great St. Petersburg Polytechnic University,31311
Universidade de Perúgia,29922
Universidad Johnson & Wales,16452
School of Health Professions,593
North Gwinnett High School,2633
兵庫県立大学,6479
Tinago National High School,671
Croatan High School,994
"Cleveland High School (Los Angeles, California)",3888
Universidade da Suazilândia,5567
Escuela de cine Marubi,0
奧蘭治中學 (俄亥俄州),813
Roger Williams University,4457
Cumbernauld College,3183
جامعة تويو,30686
College Avenue Secondary School,790
Università degli Studi di Messina,21926
مدرسة النرويجية الدولية,207
Universidade do Estado do Arizona,4440
Woodstock North High School,955
Blue Mountain High School,1000
Kaneland High School,1377
湖南中医药大学,3
University of Eastern Finland,15170
Uzhhorod Gymnasium,871
Эрфуртский университет,4961
Università di Edimburgo,34139
The Key School,790
"Wayland Academy, Wisconsin",73
Glasgow High School (Kentucky),574
McIntosh High School,1696
Universidad de Gabès,24350
Baden-Württemberg Cooperative State University,31168
Osaka Prefecture University,7894
Melbourne Law School,1214
Staniland Academy,360
Amphitheater Public Schools,16594
Bloomington Jefferson High School,1775
Institut d'Administration des Entreprises,46545
Université de Rome « La Sapienza »,123387
Università Tecnica Ceca di Praga,24594
أكاديمية الغابة السوداء,320
Carlisle Area School District,4957
Transcona Collegiate Institute,724
Université Panthéon-Assas,18002
Frederick Gent School,800
Saint Paul American School,319
Holy Cross Catholic Academy,989
International School of Kraków,227
Hayes Mission School,150
Waynflete School,242
Millard North High School,2370
Akureyri Junior College,832
Universidad de Tecnología y Economía de Budapest,20954
National University of San Luis,12799
Russische Akademie für Theaterkunst,1353
Liberty Middle School (Virginia),1149
معهد كارلسروه للتكنولوجيا,24745
"Friends' School, Lisburn",954
Université FON,5195
Collège Ahuntsic,9434
Università degli Studi di Bari Aldo Moro,47921
Watkinson School,289
Forest Hill High School,1090
Kwantlen Park Secondary School,1490
Webster County High School (West Virginia),525
UCL Institute of Archaeology,620
Mars Hill Bible School,545
Universidad Técnica de Creta,3014
American School in Taichung,162
Mars Hill University,1374
University of Applied Sciences Wedel,975
Redmond High School (Oregon),829
Roger Williams University,3888
"Hudson Catholic High School (Hudson, Massachusetts)",129
Haywood Academy,1192
"St Edward's School, Oxford",598
Escuela Nacional de Educación Secundaria Wen-Hua,2522
Diamond Bar High School,4292
Bellerive FCJ Catholic College,961
Wren Hollow Elementary School,444
BUITEMS,8497
Universiteit van Modena en Reggio Emilia,20258
كلية المكسيك,462
东芬兰大学,15666
DePaul University College of Law,736
Kelso High School,2063
Universidade Joseph Fourier,16580
Universität für Chemie und Technologie in Prag,3661
Instituto Tecnológico de Ciudad Juárez,5453
Blountstown High School,423
Lynnwood High School,1710
University of National and World Economy,23950
CCC Heep Woh College,1061
Seisen International School,685
Université technique d'Eindhoven,6899
Avon Old Farms,450
Universidade da República,90611
浙江中医药大学,5191
Longyan University,8853
Russian Academy of Theatre Arts,1622
The Rodillian Academy,1312
Nelson Marlborough Institute of Technology,2974
Monroe County School District (Georgia),3574
Mangotsfield School,1286
Bridgeport Academy,108
Plashet School,1299
Instituto Químico-Tecnológico de Praga,3110
Chippewa Secondary School,635
KIIT International School,88
Blacklick Valley School District,676
Стокгольмский университет,70124
Trevor G. Browne High School,3171
Backwell School,1599
深圳中学,4246
"New Tech High School, Coppell",399
Clarke Central High School,1216
The Chantry School,623
Normanhurst School,247
Uniwersytet Edynburski,39062
Institut national des sciences appliquées de Toulouse,2295
Shenyang International School,237
Microsoft's School of the Future,604
Клаустальский технический университет,4
Université de L'Aquila,20490
École secondaire de Par-en-Bas,360
Bentley Wood High School,985
The Fallibroome Academy,1542
Akademie der musischen Künste in Prag,1586
Palmview High School,2551
Colonial High School,3555
جامعة مالطا,12163
Université Nice-Sophia-Antipolis,24171
Tigard High School,2039
Oak Creek High School,2002
Somerset County Vocational and Technical High School,335
Sylvia Young Theatre School,246
جامعة أكاديا,3809
Universität Bangkok,25269
Forest Hills Central High School,1152
Moon Area High School,1054
Université de Nottingham,44538
American School of Doha,2281
Baltic Film and Media School,457
Woodberry Forest School,409
Томский политехнический университет,21984
Uniwersytet w Göteborgu,39017
High School for Recording Arts,204
Giles County High School,1005
New College Berkeley,205
Doss High School,956
Maria Curie-Skłodowska University,25808
Pacific Northern Academy,128
Школа права Новой Англии,1147
光启学校,3878
Università degli Studi di Cagliari,31006
Lucknow College of Arts and Crafts,610
Universidad de San Francisco,10900
Full Sail University,15356
Universidad de Argel,108142
"Oak Grove High School (Jefferson County, Alabama)",924
جامعة رايت للولاية مدرسة طب بونشوفت,408
Phoenix High School (Oregon),829
Campbell County Comprehensive High School,1195
Cedarburg High School,1040
Piscataway Township High School,2085
Tuscarora School District,2509
Оснабрюкский университет,9621
National Polytechnic University of Armenia,10273
Instituto Tecnológico de Ciudad Juárez,6046
Sophia University,11430
Academy for Information Technology,233
Palisades Charter High School,2622
Universidade de Seul,12955
Foothills Academy (Arizona),405
Ohio University Southern Campus,2359
Salesian Secondary College,513
South Umpqua High School,577
Suor Orsola Benincasa University of Naples,9226
Poynton High School,1775
Peebles High School (Ohio),480
Lost River Jr./Sr. High School,278
NMBU,5075
"Stratford High School (Goose Creek, South Carolina)",2402
Harmony High School,1882
The Elizabethan Academy,1151
Ch. Brahm Prakash Government Engineering College,780
Mt. Lebanon School District,5143
Sentinel High School,1268
Williamstown High School (New Jersey),1758
The Branson School,341
Cove School (Oregon),237
聊城大学,32
Connellsville Area School District,4286
Национальный университет Сан-Антонио Абад,15792
"Downtown High School (Columbus, Ohio)",649
Bramcote Hills Sport and Community College,807
معهد جورجيا التقني,21920
台中美國學校,159
Università degli Studi di Brescia,15415
Franklin Heights High School,1035
"Andrews High School (Andrews, Texas)",787
中華基督教會協和書院,1317
University of Mons,6073
Institut national des sciences appliquées de Toulouse,2255
Pacific College of Oriental Medicine,80
"Wah Engineering College, Wah Cantt",557
Universiteit van Göteborg,36619
St. Mark's High School,779
Osceola High School (Wisconsin),507
Charlestown High School,898
Lake Forest College,1613
Dominican College of Tarlac,2799
Therfield School,1022
Blackhawk School District,2454
Uniwersytet Technologii i Ekonomii w Budapeszcie,22445
Interdenominational Theological Center,268
Cégep André-Laurendeau,5167
Macquarie University Faculty of Human Sciences,5229
CSU–Global Campus,11348
Savannah State University,5161
"Università degli Studi di Napoli ""Parthenope""",13234
Benenden School,620
Frazier School District,1300
Dame Elizabeth Cadbury Technology College,625
"Cotter High School (Winona, Minnesota)",277
A&M Consolidated High School,2875
Universität Ankara,43130
浙江理工大学,27849
Westtown School,584
Freetown Elementary School,608
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,10440
Widener University School of Law,680
Bacone College,848
Antioch College,285
Wake Forest University School of Law,510
North-West University,60480
江原大学,34940
Universität Karthago,47674
Sir John Cass Redcoat School,1970
Longcroft School,1623
Yamhill Carlton High School,458
戴尔豪斯大学,20583
جامعة ماركي التقنية,15734
Hortonville High School,994
SIM-Universität,14228
Olentangy Liberty High School,1976
Universität Nizza Sophia-Antipolis,24234
羅傑威廉姆斯大學,4287
Evangelische Hochschule Nürnberg,779
Delaware Technical Community College,21857
Sankt-Petersburski Państwowy Instytut Górniczy,17951
University Centre in Svalbard,482
Bear River High School,1181
Takoma Park Middle School,744
Le Cordon Bleu,19072
"Pickering High School, Ajax",2237
Parks Junior High School,970
Denis Morris Catholic High School,1206
Athens Area School District,2298
Malibu High School,1127
Белорусский государственный университет,42573
Abbotsholme School,300
Collège Ahuntsic,9510
Universität Catania,65357
Saint Peter-Marian High School,646
Will C. Crawford High School,1463
