http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
巴利亚里,10240
Kharvana,1592
Ranirbazar,16397
拉諾夫齊,9719
"Nili, Afghanistan",16363
Goulmima,17624
Verjnodniprovsk,15420
Iwakuni,148406
Rozveh,5277
Sawahlunto,60630
Tantoyuca,22688
أستانة (مركزي),6080
Хуалянь,108446
Sankhol,5028
Maktampur,8635
"Bouarfa, Morocco",22576
Shahr-e Pir,6553
Złotonosza,28687
Carrión de los Céspedes,2684
Gandevi,14820
هفشجان,22195
Chust (Uzbekistan),65391
Dharchula Dehat,3744
"Mangan, India",4514
Naha (Okinawa),297021
Mangrol,61678
Pozo Almonte,11910
Зарасай,7647
تويوهاشي (آيتشي),398635
Хониара,65343
Laksar,17589
帕特纳加尔,25396
Tartagal,65171
Khera Khurd,8727
Garian,177564
Kahla,6956
Jambi (ville),551715
Mes-e Sarcheshmeh,8285
根河市,114556
"La Floresta, Uruguay",1559
Hariharpur,8950
Komeh,2483
Kuraoli,19415
Ukrajinka,15278
Smarhon,37643
Orocó,13592
Лозовая,67899
Muktsar (stad),122596
Moriguchi,157687
Tanda (Rampur),37274
جويم,6936
Jalda,11000
Herbertpur,8904
Gyōda,90103
Herbertpur,8611
Чемгордан,17096
مدينة دبي العالمية,118710
Riserva naturale di Cu Lao Cham,2734
Iwakuni,145724
赤壁市,570767
达斯纳,23492
Dhahran,137487
Chirkunda,46022
Fossambault-sur-le-Lac,1401
Ghiraur,11528
Eztatlán,16927
Lavasan,30019
غتوند,20613
亞戈京,18407
Panipt Taraf Makhdum Zadgan,32629
Куруме,309325
Jamjodhpur,24462
Городок (Львовская область),15684
巴萨里亚,3883
Basaria,3521
Snihourivka,12731
دامنه (إيران),4463
Salatiga,210576
Tharad,27628
Smarhon,33237
Bhawana,58486
Séfrou,58029
Hani i Elezit,10119
莫吉利夫-波季利西基,28774
"Barkot, Uttarakhand",16760
Lasht-e Nesha,9957
Píritu,10535
Келишад-и-Судерджан,21494
Farafangana,24168
奄美市,40358
Termas de Río Hondo,26641
Kumagaya,215636
Sausar,29864
Nuapatna,13924
"Molina, Chile",39839
巴洛特拉,72523
斯科列,5750
St. Anthony (Minnesota),8029
Asao-ku,171790
Kudamatsu,57976
Bhogaon,25819
Khatima,34547
卡里亚尔罗阿德,15859
Kōnan (Kōchi),35448
Varzaqan,3721
Karanjia,21071
Catió,9946
Arvandkenar,9808
Акаюкан,78308
Bojarka,35135
Daveluyville,972
Bonaruyeh,8780
Bansdih,22822
Casablanca (Chile),26786
Niwai,253044
Werchnjodniprowsk,15709
Chillán Viejo,31358
基斯赫特瓦尔,14221
Sokyriany,10307
Salamanca (México),260417
Chillán Viejo,29373
Цзинцзян,658467
عنبر أباد,19271
奧蘭 (薩爾塔省),80014
Damnagar,16451
Nantan,32522
薩拉卜,42387
特雷瓜科,5651
Takhatgarh,16658
Colvale,5034
Dhrol,24245
Mughalsarai Railway Settlement,31596
Muggiò,26202
Yahotyn,17723
努阿帕特纳,15505
Han i Elezit,9210
Naoriya Pakhanglakpa,7043
Muni Ki Reti,7659
بندر غناوه,57629
Ashikaga (Tochigi),132491
Al Amarat,70195
Tikri,13111
布里奇波特,144909
Chhaprauli,18056
Nkimi,3223
Aalborg,102349
四万十町,17146
Prantij,20503
Kudligi,21606
比瓦迪,108926
Kantilo,8228
Koratty,16461
Farooqnagar,34521
مرجعيون,2875
Окаяма (город),700030
Mixtlán,3310
"Chattahoochee Hills, Georgia",2229
Городня (Городнянский район),13732
"Shady Cove, Oregon",2625
加杰劳拉,56193
"Nagawa, Aomori",8288
Masiri,5544
Bannur,23547
Bhatni Bazar,15907
Fischamend,4642
Kumagaya,189659
杜納伊夫齊,15171
"Khajeh, Iran",4756
Piratini,19625
ジュメールィンカ,35961
Tetri Bazar,21470
Cauquenes,39158
Barhalganj,115808
"Bilaspur, Haryana",9481
里奧特爾塞羅 (科爾多瓦省),43017
卡马尔普尔,5169
يوناغو (توتوري),136123
Aliganj,22457
桐生市,111335
Niederstotzingen,5090
Villa Unión,12951
Dhaurehra,19304
Gopamau,13042
Raipur Rani,7538
Minami-Shimabara,49568
Kshidirpur,9949
Jagadanandapur,20955
Molakalmuru,15115
Гонсалес-Катан,155569
Rasra,564148
倉石村,3491
Los Muermos,17167
Sewalkhas,17735
Sitarganj,131444
Lamai,4399
阿巴代赫塔什克,6723
沖繩市,120201
Dounaïvtsi,14980
Niederstotzingen,4786
Tabacundo,6673
Khawhai,2109
Dehri,140580
Huolin Gol,73708
Osaki,126794
Wilnohirsk,24969
Los Palacios y Villafranca,35044
Мацуэ,202590
Иламатлан (муниципалитет),13021
Тазехабад,7601
Chandili,17588
Raipur Rani,7214
Okayama,691287
Atotonilco El Alto,58104
Kherli,17255
Villa Ángela,44480
Lauthaha,7723
ناحية كوخرد,2944
بنجاربارو,230280
Tazehabad,7972
Вахдаттийе,10592
Prévost (Quebec),13296
Farafangana,25017
Jhansi Railway Settlement,16764
