http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
National Mining University of Ukraine,20247
Universidad Johnson & Wales,14963
"Alexander-von-Humboldt-Gymnasium, Neuss",946
Institut d'optique Graduate School,252
ワーナー・パシフィック大学,1158
"Università degli Studi ""Mediterranea"" di Reggio Calabria",11
Bukovinian State Medical University,4364
Universidade de Paris X - Nanterre,29569
Toronto Japanese School,553
Carlucci American International School of Lisbon,688
Heller School for Social Policy and Management,583
Heights High School,3137
プリモルスカ大学,4577
Hildegardis-Schule Bochum,973
Донецкий государственный университет управления,7246
Université de Bulacan,24388
University of South Florida,54873
DuVal High School,1836
Universität der Balearen,17151
Government College for Women Dhoke Kala Khan,443
Edmonds Community College,13185
Gateway High School (San Francisco),416
Universidad de Concepción,20228
Spectrum Community School (British Columbia),1284
Universidade de Colombo,10801
Royal College of Surgeons in Ireland,5004
Tuscola High School,1187
Barrington Municipal High School,790
Escuela Preparatoria Worthing (Houston),709
セルソ・スコヴ・ダ・フォンセカ連邦技術教育センター,10760
St. Thomas Aquinas High School (Florida),2247
"Concord High School (Elkhart, Indiana)",1634
Hochschule für Musik und Darstellende Kunst Frankfurt am Main,999
Europäische Universität von Lefke,5
エドモンズコミュニティカレッジ,11977
马耳他大学,12050
Russische Akademie für Theaterkunst,1724
Madison High School (Kansas),131
Universidad Cristiana de Abilene,4494
Catholic University of the Most Holy Conception,4702
Universidade do Estado do Arizona,4317
Paul Cézanne University,23329
Comilla Government College,6859
国立応用科学院レンヌ校,1560
Université de la Caraïbe du nord,6186
Foreign Trade University,20325
Ione Community Charter School,174
Northern Lehigh High School,669
Lycée International de Saint-Germain-en-Laye,2577
馬禮遜美國學校,241
Chittagong University of Engineering & Technology,4085
Staatsuniversiteit van Linguïstiek Jerevan,3620
Little Village Lawndale High School Campus,435
Royal Palm Beach High School,2207
