http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
GBK,3000
Unión Salaverry,20000
FC Msida Saint Joseph,18000
Frederikssund IK,1200
Football Club Fastav Zlín,6375
Club Atlético Ituzaingó,4500
Red Bull Ghana,1000
OFK Grbalj,2
Club Deportivo As Pontes,2000
نادي لوغو,8000
Sampaio Corrêa Futebol Clube,40000
Nui (voetbalclub),1500
1. FC Aschersleben,5000
AD Cerro de Reyes Badajoz Atlético,3500
Midia Navodari,5000
FC Chomutov,10000
Steve Biko FC,5000
Kubań Krasnodar,31654
Сэгята,5000
CA San Martín de Tucumán,30500
Club Deportivo Arturo Fernández Vial,30448
Esentepe S.K.,1500
Jeunesse Sportive Baco,1
Asociación Deportiva Huracán (Las Palmas),3000
CE L’Hospitalet,6740
Ängelholms FF,4000
CD Cuarte,2000
Yeni Malatyaspor,13000
Estrella Beira,8
FC Martigny-Sports,2500
Cardiff City Football Club,33280
Club Sportif Duguwolofila,8000
Hangzhou Greentown Football Club,52672
北京国安足球倶楽部,66161
Chaco Petrolero,42000
SV Grödig,4128
S.S. Lazio,70634
泰國皇家海軍足球會,12500
نادي السيلية,25000
Базель (футбольный клуб),38512
FC Salyut Belgorod,12000
نادي القطن الرياضي,22000
Botafogo Futebol Clube (PB),25770
Manado United,10
نادي الطائي,12250
Novelda Club de Fútbol,5000
Swieqi United Football Club,3000
HHC Hardenberg,4500
Juan Aurich,23000
UD Puertollano,8000
Real Colorado Cougars,4000
El Mokawloon SC,35000
نادي ميلوز,11300
Al-Mokawloon Al-Arab,35000
FC Herisau,2000
Наджаф (футбольный клуб),12000
CD Guijuelo,1500
KS卡姆薩,4800
安多拉足球俱乐部,3000
Gombe United FC,12000
USアレッサンドリア・カルチョ1912,5827
Al-Hedood FC,10000
FCスパルタキ・ツヒンヴァリ,1535
SV Wilhelmshaven,7500
Botafogo Futebol Clube (Kap Verde),15
Эпиналь (футбольный клуб),8000
Ajax Kapsztad,55000
IK Sirius FK,6300
Ethnikos Olympiakos Volos FC,9000
CDコブレサル,20752
Club Atlético Rentistas,10360
Valencia Club de Fútbol Femenino,3000
FK Mladost Lučani,8000
FC Narva Trans,2200
AD Dili Oeste,5000
Olympique Safi,15000
