http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Quaker Valley School District,2070
Cass High School (Georgia),1342
Beaumont College,292
Newburyport High School,741
Ashton Park School,1183
Crawford Central School District,3918
Valenzuela City School of Mathematics and Science,779
National Wen-Hua Senior High School,2467
Donaldson's School,32
Monterey Bay Academy,211
Annandale High School,2141
Södra Vätterbygdens folkhögskola,276
Rosebery School for Girls,1397
Newport High School (Arkansas),444
Battlefield High School,3214
Universidad de La Serena,7801
Palo Alto University,1099
"Jack M. Barrack Hebrew Academy (Bryn Mawr, Pennsylvania)",329
Libera Università degli Studi Per l'Innovazione e le Organizzazioni,1926
Fort Hays State University,13882
Purnell School,75
La Jolla Country Day School,1248
Bourne End Academy,794
Meoncross School,362
Университет национального и мирового хозяйства,21627
Black Mountain College,1213
Orr Academy High School,509
St Nicholas Catholic High School,1290
Université Paris-Ouest-Nanterre-la-Défense,31079
College of the Holy Cross,2872
Beijing Sport University,14234
KAIST,10024
Grinnell College,1785
جامعة بيردو,41196
Beverly Hills High School,1883
Buckhannon-Upshur High School,1188
Université d'État de l'Arizona,11239
Ontario High School (Oregon),759
St. Paul High School (Virginia),190
Hochschule Ålesund,2324
Päpstliche Katholische Universität von Santo Domingo,4920
屯門官立中學,1289
Sulphur High School (Oklahoma),374
Hong Kong International School,2583
Tech College Aalborg,4387
Harvard Graduate School of Design,887
Halfway High School,137
Universität des Nahen Ostens,24982
French National School for the Judiciary,540
忠北大学,18457
Universidad de Dar es-Salam,19809
