http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
FC Msida Saint Joseph,18658
Frederikssund IK,1172
Football Club Fastav Zlín,6741
Club Atlético Ituzaingó,4699
Red Bull Ghana,976
OFK Grbalj,2
Club Deportivo As Pontes,1924
نادي لوغو,8116
Sampaio Corrêa Futebol Clube,36757
Nui (voetbalclub),1359
1. FC Aschersleben,4983
AD Cerro de Reyes Badajoz Atlético,3347
Midia Navodari,5152
FC Chomutov,9665
Steve Biko FC,4689
Kubań Krasnodar,29743
Сэгята,4844
CA San Martín de Tucumán,31722
Club Deportivo Arturo Fernández Vial,31144
Esentepe S.K.,1496
Jeunesse Sportive Baco,1
Asociación Deportiva Huracán (Las Palmas),3448
CE L’Hospitalet,7506
Ängelholms FF,3492
CD Cuarte,1953
Yeni Malatyaspor,13269
Estrella Beira,8
FC Martigny-Sports,2632
Cardiff City Football Club,31232
Club Sportif Duguwolofila,8989
Hangzhou Greentown Football Club,49639
北京国安足球倶楽部,74275
Chaco Petrolero,43130
SV Grödig,3930
S.S. Lazio,72854
泰國皇家海軍足球會,11877
نادي السيلية,24412
Базель (футбольный клуб),38413
FC Salyut Belgorod,12137
نادي القطن الرياضي,24792
Botafogo Futebol Clube (PB),24345
Manado United,10
نادي الطائي,12317
Novelda Club de Fútbol,4463
Swieqi United Football Club,3216
HHC Hardenberg,4353
Juan Aurich,22247
UD Puertollano,8629
Real Colorado Cougars,4276
El Mokawloon SC,36306
نادي ميلوز,10767
Al-Mokawloon Al-Arab,34008
FC Herisau,1891
Наджаф (футбольный клуб),13016
CD Guijuelo,1321
KS卡姆薩,4240
安多拉足球俱乐部,3034
Gombe United FC,13394
USアレッサンドリア・カルチョ1912,5758
Al-Hedood FC,9260
FCスパルタキ・ツヒンヴァリ,1652
SV Wilhelmshaven,7358
Botafogo Futebol Clube (Kap Verde),16
Эпиналь (футбольный клуб),7836
Ajax Kapsztad,53599
IK Sirius FK,5840
Ethnikos Olympiakos Volos FC,8366
CDコブレサル,20164
Club Atlético Rentistas,9934
Valencia Club de Fútbol Femenino,3386
FK Mladost Lučani,7868
FC Narva Trans,2204
AD Dili Oeste,5544
Olympique Safi,15593
