http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
National Mining University of Ukraine,18039
Universidad Johnson & Wales,15626
"Alexander-von-Humboldt-Gymnasium, Neuss",940
Institut d'optique Graduate School,225
ワーナー・パシフィック大学,1211
"Università degli Studi ""Mediterranea"" di Reggio Calabria",11
Bukovinian State Medical University,4418
Universidade de Paris X - Nanterre,29980
Toronto Japanese School,497
Carlucci American International School of Lisbon,616
Heller School for Social Policy and Management,510
Heights High School,3108
プリモルスカ大学,5177
Hildegardis-Schule Bochum,1130
Донецкий государственный университет управления,8419
Université de Bulacan,27018
University of South Florida,51110
DuVal High School,1642
Universität der Balearen,17774
Government College for Women Dhoke Kala Khan,489
Edmonds Community College,13443
Gateway High School (San Francisco),440
Universidad de Concepción,23586
Spectrum Community School (British Columbia),1196
Universidade de Colombo,11144
Royal College of Surgeons in Ireland,4474
Tuscola High School,1068
Barrington Municipal High School,698
Escuela Preparatoria Worthing (Houston),659
セルソ・スコヴ・ダ・フォンセカ連邦技術教育センター,10759
St. Thomas Aquinas High School (Florida),2280
"Concord High School (Elkhart, Indiana)",1451
Hochschule für Musik und Darstellende Kunst Frankfurt am Main,887
Europäische Universität von Lefke,5
エドモンズコミュニティカレッジ,13208
马耳他大学,11367
Russische Akademie für Theaterkunst,1607
Madison High School (Kansas),128
Universidad Cristiana de Abilene,4139
Catholic University of the Most Holy Conception,5271
Universidade do Estado do Arizona,3835
Paul Cézanne University,20798
Comilla Government College,6131
国立応用科学院レンヌ校,1569
Université de la Caraïbe du nord,6333
Foreign Trade University,18036
Ione Community Charter School,161
Northern Lehigh High School,617
Lycée International de Saint-Germain-en-Laye,2987
馬禮遜美國學校,212
Chittagong University of Engineering & Technology,4616
Staatsuniversiteit van Linguïstiek Jerevan,4247
Little Village Lawndale High School Campus,440
Royal Palm Beach High School,2333
