http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/area
Campidoglio (Des Moines),68796.6
Capitole de l'État de l'Iowa,68796.6
アイオワ州会議事堂,68796.6
Capitólio estadual de Iowa,68796.6
Капитолий штата Айова,68796.6
愛荷華州議會大廈,68796.6
Lexington Cemetery,687966.0
Лексингтонское кладбище,687966.0
莱克星顿公墓,687966.0
Mann Gulch fire,4.83599e+06
Mann-Gulch-Waldbrand,4.83599e+06
Maria Lanakila Catholic Church,12508.8
"Mount Pleasant Cemetery, Newark",145687.0
New Jersey Historical Society,809.371
Pollepel Island,54227.9
Île Pollepel,54227.9
Замок Баннермана,54227.9
Public Garden (Boston),97124.6
Boston Public Garden,97124.6
Boston Public Garden,97124.6
ボストン・パブリック・ガーデン,97124.6
波士顿公共花园,97124.6
Road America,229457.0
Road America,229457.0
Road America,229457.0
Road America,229457.0
Road America,229457.0
ロード・アメリカ,229457.0
Road America,229457.0
Road America,229457.0
Road America,229457.0
Shinnecock Hills Golf Club,1.04814e+06
Shinnecock Hills Golf Club,1.04814e+06
Virginia State Capitol,57060.7
Virginia State Capitol,57060.7
Campidoglio (Richmond),57060.7
Capitole de l'État de Virginie,57060.7
Capitool van Virginia,57060.7
弗吉尼亚州议会大厦,57060.7
"Bristol College, Pennsylvania",4856.23
Dicks-Elliott House,485.623
"East Fourth Street Historic District (Cincinnati, Ohio)",36421.7
"Elliott House (Indian Hill, Ohio)",0.0
"Elliott House (Richburg, South Carolina)",8498.4
"First Universalist Church (Elgin, Illinois)",1214.06
"First Universalist Church (Kingston, New Hampshire)",809.371
Fort Bayard Historic District,2.84899e+06
"Fort Clark, Texas",356123.0
"Glendale Historic District (Glendale, Ohio)",1.58637e+06
"Haddon Hall (Cincinnati, Ohio)",6879.66
James Arthur Morrison House,6070.28
Lindquist Apartment House,809.371
Marion Reed Elliott House,849.84
"McKinley School (Columbus, Indiana)",4856.23
Rittenhousetown Historic District,339936.0
RittenhouseTown Historic District,339936.0
Roderick M. Morrison House,7284.34
St. Francis Seminary (Ohio),519616.0
"St. George's Episcopal Church (Austin, Nevada)",809.371
Amos Kelly House,2023.43
Aquia Church,34398.3
Arbor Hill Historic District–Ten Broeck Triangle,137593.0
"Arlington Hotel (Echo, Oregon)",809.371
"Arlington Hotel (Narrowsburg, New York)",809.371
Armitage Manufacturing Company,18453.7
Baird Cottage,6070.28
Baird Law Office,16187.4
Beaty-Little House,2428.11
"Beeches (Frankfort, Kentucky)",24281.1
"Bogota (Port Republic, Virginia)",669755.0
"Bradford House (Kingston, Massachusetts)",5665.6
"Calvary Episcopal Church and Churchyard (Tarboro, North Carolina)",8093.71
"Central Middle School (Honolulu, Hawaii)",12140.6
Charles A. Miller House,4046.86
Charles H. Bigelow House,5260.91
Charles H. Bigelow House,5260.91
Charles Parker House,165921.0
Child of the Sun,404686.0
Child of the Sun,404686.0
Church of St. Joseph of Arimathea,14568.7
Church of the Covenant (Cleveland),8093.71
"Church of the Good Shepherd (Lake Charles, Louisiana)",4046.86
善牧堂 (哈特福德),36421.7
Church of the Good Shepherd and Parish House,36421.7
"Church of the Resurrection (Little Switzerland, North Carolina)",0.0
Claude Hayes Miller House,404.686
"Clinton Village Historic District (Clinton, New York)",382428.0
Col. William Kelly House,809.371
"Colonial Theatre (Harrisburg, Pennsylvania)",1214.06
Daniel Chamberlain House,16592.1
David Lambert House,4046.86
Dorchester Pottery Works,2023.43
Dr. Herbert S. Nichols House,1214.06
Dupee Estate-Mary Baker Eddy Home,33588.9
Edwards-Franklin House,16187.4
Elijah Miller House,4046.86
Elisha Gilbert House,47752.9
"Estherwood (Dobbs Ferry, New York)",40468.6
"Fairfield Inn (Cashiers, North Carolina)",20234.3
"Fairfield Inn (Fairfield, Pennsylvania)",4046.86
Fifth Avenue High School,4046.86
"First Church of Christ, Scientist (Milwaukee, Wisconsin)",12140.6
"First Church of Christ, Scientist (Reno, Nevada)",2428.11
"First Church of Christ, Scientist (Sandusky, Ohio)",4046.86
"First Church of Christ, Scientist (Scranton, Pennsylvania)",1214.06
"First Congregational Church, United Church of Christ",4046.86
"First Congregational Church (Chester, New Jersey)",9307.77
"First Congregational Church (Corvallis, Oregon)",4046.86
"First Congregational Church (Fort Scott, Kansas)",60702.8
"First Congregational Church (Mount Pleasant, North Carolina)",5260.91
"First Congregational Church (Portland, Oregon)",1214.06
"First Congregational Church (Ripon, Wisconsin)",2832.8
"First Congregational Church (Waukesha, Wisconsin)",4046.86
First Congregational Church and Cemetery,34803.0
First Congregational Church of Austin,4046.86
First Congregational Church of Boscawen,4046.86
First Congregational Church of Buxton,4046.86
First Congregational Church of Cheshire,8093.71
First Congregational Church of East Hartford and Parsonage,6070.28
First Congregational Church of East Haven,10117.1
First Congregational Church of New Village,5665.6
First Unitarian Society in Newton,5260.91
"Forest Hill Historic District (Richmond, Virginia)",566560.0
Fort Des Moines Provisional Army Officer Training School,825559.0
Francis Parker House,4046.86
"Green Pastures (Middleburg, Virginia)",955463.0
"Hancock House (Ticonderoga, New York)",5665.6
Harmon Miller House,169968.0
Harmon Miller House,169968.0
Henry B. Miller House,1214.06
"Hobson's Choice (Alberta, Virginia)",0.0
"Holy Cross Church, Rectory and School",2023.43
Iglesia y convento de la Santa Cruz (Green Bay),23471.8
Holy Cross Church and Convent,23471.8
Holy Cross Church and School Complex-Latonia,13354.6
Holy Cross Church and School Complex-Latonia,13354.6
Isaac Young House,23471.8
J. Nelson Kelly House,4046.86
J. Stuart Wells House,3642.17
Jefferson Franklin Jackson House,5665.6
Jesse Jackson House,440703.0
John Cole Farm,17401.5
John Phillips Little House,218530.0
Joseph D. and Margaret Kelly House,1740.15
Joseph S. Miller House,4046.86
King Parker House,109265.0
Krom Stone House and Dutch Barn,404686.0
Lawson D. Franklin House,36421.7
"Little House (Palisades, New York)",6879.66
"Main Street Historic District (Addison, New York)",21853.0
"Main Street Historic District (Afton, New York)",8093.71
"Main Street Historic District (Cuba, New York)",36421.7
"Main Street Historic District (Danbury, Connecticut)",190202.0
"Main Street Historic District (Medina, New York)",48562.3
"Main Street Historic District (New Hamburg, New York)",4046.86
"Main Street Historic District (New Hamburg, New York)",4046.86
"Main Street Historic District (Roslyn, New York)",161874.0
"Main Street Historic District (Roslyn, New York)",161874.0
"Main Street Historic District (Roxbury, New York)",202343.0
"Main Street Historic District (Stone Ridge, New York)",283280.0
"Main Street Historic District (Tampico, Illinois)",9307.77
"Main Street Historic District (Tampico, Illinois)",9307.77
Martin-Little House,8093.71
"Mount Zion (Milldale, Virginia)",1.51757e+06
"Oak Knoll (Winchester, Massachusetts)",16187.4
"Old Main Street Historic District (Racine, Wisconsin)",68796.6
"Old Rectory (Perrowville, Virginia)",101171.0
Old Salem Church and Cemetery,5260.91
"Orange High School (Orange, Virginia)",10521.8
Osborne Wells House,3237.49
"Parker House (Blue Hill, Maine)",23471.8
Pawnee Agency and Boarding School Historic District,117359.0
"Pennsylvania Hall (Gettysburg, Pennsylvania)",4046.86
Richard Jackson House,4046.86
Richard Nichols House,5260.91
Robert Fulton Birthplace,4046.86
Royal-Crumpler-Parker House,4046.86
Rush-Miller House,16187.4
Samuel M. Black House,1214.06
"Second Presbyterian Church (Chattanooga, Tennessee)",4046.86
"Second Presbyterian Church (Lexington, Kentucky)",4451.54
"Second Presbyterian Church (Memphis, Tennessee) (1891)",2428.11
"St. Catherine's Church of Lomice, North Dakota",20234.3
"St. Joseph's School (Biddeford, Maine)",4046.86
Stewart-Hills House,1618.74
The Fells,663684.0
"Town Hall (Westport, Connecticut)",1618.74
"Trinity Methodist Church (Elizabethtown, North Carolina)",4046.86
Villa Maria Academy (1892),10117.1
W. J. Little House,4046.86
Watrous (La Junta),1.44877e+07
Whilldin-Miller House,1618.74
William Bittle Wells House,1214.06
William Davis Miller House,43301.4
William Wells House,14164.0
Appomattox Court House National Historical Park cemeteries,5.36249e+06
Appomattox Court House National Historical Park ruins,5.36249e+06
Chambers Bridge,404.686
Chambers Covered Bridge,404.686
Ottawa Street Power Station,5463.26
Federal Land Office,2023.43
Fergus Falls Regional Treatment Center,44515.4
Oliver Filley House,584366.0
Wananalua Congregational Church,14973.4
Centrella Hotel,1214.06
Crosby and Hill Building,404.686
James Montgomery Flagg House,10926.5
Josiah Merritt Adobe,4046.86
Ketchum Ranger District Administrative Site,6070.28
Lord-Dane House,8498.4
"20th Century Club (Reno, Nevada)",809.371
A. Armstrong Farm,20639.0
A. Eliason House,28328.0
A. P. Hill Boyhood Home,4046.86
Adorno Station,1.29499e+06
Airlie (Natchez),28328.0
Alamo Ranchhouse,4046.86
Alderman School District No. 78,4046.86
Alexander Watson Batte House,184132.0
Alliance Commercial Historic District,70415.3
Altadena Apartments,809.371
Amanda Conk Best House,1214.06
American Grain Complex,17684.8
Anderson-Clark Farmstead,12949.9
Ann Halsted House,1618.74
Antioch Missionary Baptist Church Cemetery,36421.7
Arcola Elementary School,20234.3
Arlington Forest Historic District,887071.0
Arlington Ridge Park,111289.0
Arnold S. Naudain House,12140.6
"Arrowhead (Charlottesville, Virginia)",85388.7
Arthur J. Dunham House,2023.43
Ashburn Presbyterian Church,41682.6
Atchison County Courthouse,6070.28
Atoka Historic District,24281.1
"Auburn (Brandy Station, Virginia)",1.71991e+06
Augustine Paper Mill,22257.7
Aurora Highlands Historic District,521235.0
Cementerio de Austin,20234.3
Austin Cemetery,20234.3
"Austin City Hall (Austin, Nevada)",809.371
Automobile Club of Buffalo,133263.0
B. V. Sargent House,1214.06
B. Williams & Co. Store,4046.86
Bailey–Michelet House,1618.74
Baker Memorial Methodist Episcopal Church,9307.77
Bald Mountain Hot Springs,8093.71
Ballard-Maupin House,16187.4
Ballard County Courthouse,2023.43
Bank Saloon,4046.86
Bare House and Mill,60702.8
Barrett-Chumney House,54227.9
Bartley-Tweed Farm,18210.9
Barton Villa,9712.46
Batavia Veterans Administration Hospital,182109.0
Battle of the Twin Villages,404686.0
Bay Settlement Church and Monument,16187.4
"Beach Station (Chesterfield, Virginia)",3237.49
Bechelbronn,1.47184e+06
"Bel Aire (Charlottesville, Virginia)",62321.6
"Belle Grove (Delaplane, Virginia)",365431.0
Benjamin's Department Store,809.371
Benjamin Blackiston House,404.686
Benjamin and Olivia Meek House,8093.71
Benson Dillon Billinghurst House,404.686
Bent County Courthouse and Jail,12140.6
Bent County High School,4046.86
Bentivar,80127.8
Bethel Memorial Church,5665.6
Big Red Ranch Complex,36421.7
Bishop National Bank of Hawaii,809.371
Bishop National Bank of Hawaii,809.371
Blandfield,1.4164e+07
Blandy Experimental Farm Historic District,2.88136e+06
Blankenship Farm,8093.71
Bluff Point Graded School No. 3,6070.28
Bolling Island,202343.0
Bowling Eldridge House,1618.74
Bowman's Folly,0.0
Box Butte County Courthouse,8093.71
Box Elder County Courthouse,4856.23
Breathitt County Jail,809.371
Breckinridge Mill,17806.2
Brickland,101171.0
Bridge at Falling Creek,10117.1
Brightly,125453.0
Brindley Farm,114526.0
Brinton's Mill,121810.0
Bristol Train Station,18210.9
Brooklyn Tobacco Factory,15782.7
Brookneal Historic District,222577.0
Brunswick County Courthouse Square,6474.97
"Bryan McDonald Jr., House",23933.1
Bryn Arvon and Gwyn Arvon,26304.6
Buckingham Female Collegiate Institute Historic District,72843.4
Buckingham Historic District,498168.0
Buffalo Meter Company Building,24766.8
Building at 218 High Street,1214.06
Burgandine House,809.371
Burke-Berryman House,809.371
"Burlington (Petersburg, Virginia)",140426.0
Burnaugh Building,809.371
Burnt Quarter,9.67603e+06
Burrland Farm Historic District,1.85346e+06
Burton Hardware Store,2023.43
Burwell-Morgan Mill,4046.86
C.C. Hampton Homestead,647497.0
C.J. Prescott House,8093.71
Calico Rock Methodist Episcopal Church,2832.8
Cambria Freight Station,809.371
Canandaigua Veterans Hospital Historic District,497763.0
Cappahosic House,19020.2
Carr's Hill,16187.4
Carrsbrook,16187.4
Carson Brewing Company,2023.43
Carson River Diversion Dam,5665.6
Carter-Worth House and Farm,14164.0
Casa Maria,26304.6
"Cessford (Eastville, Virginia)",20234.3
Charles Gay House,10117.1
Charles Krug House,1618.74
Chase City High School,4451.54
Chellowe,32374.9
Cherokee Friends Church,4046.86
Christina Kuhl House,4046.86
"Church Home for Aged, Infirm and Disabled Colored People",16996.8
"Church of St. Michael (St. Michael, Minnesota)",4046.86
Clayton Railroad Station,1214.06
Clearfield Farm,4046.86
Clearwater Evangelical Lutheran Church,10521.8
Clover Lea,72843.4
Clover Mount,32374.9
"Colonial Village (Arlington, Virginia)",161874.0
Columbia Forest Historic District,194249.0
Community Church of Gonzales,1214.06
Cool Well,1214.06
Craig Healing Springs,56656.0
Crednal,307561.0
Crimora School,20234.3
"Crossroads Tavern (Crossroads, Virginia)",7284.34
Crozet Historic District,677808.0
Crumley-Lynn-Lodge House,20234.3
Cupco Church,4046.86
Curtis Paper Mill Workers' Houses,2832.8
Dabney Post Office,404.686
Danebod,319702.0
Dawes County Courthouse,10117.1
De Baca County Courthouse,10117.1
Deer Chase,121406.0
Deming School,4046.86
Detroit Finnish Co-operative Summer Camp,307561.0
Dickenson County Courthouse,2023.43
Dickerson Potato House,404.686
Dickinson-Milbourn House,16187.4
Dilworthtown Historic District,60702.8
"Dixon (Shacklefords, Virginia)",80937.1
Dodd Homestead,14973.4
Doniphan County Courthouse,8093.71
Donk's Theatre,4046.86
Downtown Churches Historic District,17806.2
Dr. J.W. Barnard Building and First National Bank of Joseph,404.686
Dr. John A. Brown House,4046.86
Dresbach-Hunt-Boyer House,2428.11
Dundy County Courthouse,8093.71
Durham-Shores House,404.686
Dykeland,24281.1
E. A. and Ura Wharton House,4046.86
E. L. Hitch Potato House,404.686
Eagle Harbor Coast Guard Station Boathouse,4046.86
East Belmont,1.13838e+06
East Bradford Boarding School for Boys,16187.4
Eastville Mercantile,4451.54
Edmund Bayly House,24281.1
Edward Brinton House,39659.2
Ellendale State Forest Picnic Facility,4046.86
Emmaus Baptist Church,4856.23
Eppington,7.082e+06
Eratt House,2023.43
Ernest Baxter Fite House,36421.7
Estes Farm,1.07242e+06
"Estouteville (Esmont, Virginia)",117359.0
Eubank Hall,571011.0
"Eureka (Baskerville, Virginia)",36421.7
Evangelische Lutherische Emanuels Kirche,37231.1
F.D. Crockett (log deck boat),32374.9
Fallon City Hall,2832.8
"Far Horizons (Dublin, New Hampshire)",5665.6
Farmington Tithing Office,3237.49
"Farnley (White Post, Virginia)",1.61874e+06
"Faulkner House (Charlottesville, Virginia)",10117.1
Fell Historic District,64749.7
Fennimore Store,404.686
Fernley and Lassen Railway Depot,4856.23
Finney-Lee House,461342.0
First Arthur County Courthouse and Jail,4046.86
First National Bank of Haxtun,1214.06
First Oil Well in Oklahoma,20234.3
Fish Creek Dam,20234.3
"Flat Rock (Kenbridge, Virginia)",4046.86
"Folly (Staunton, Virginia)",2.30671e+06
Fuerte Nuestra Señora de la Soledad,32374.9
Fort Nuestra Senora de la Soledad,32374.9
Fort Santa Agueda,4046.86
Fort Sheridan Water Tower,404.686
Foster's Castle,1.37593e+06
"Fotheringay (Elliston, Virginia)",761214.0
Four Locust Farm,1.3472e+06
Four Stairs,25899.9
Francovich House,1214.06
Franklin Regular Baptist Church,12140.6
Frederica Historic District,101171.0
Frenchman's Mountain Methodist Episcopal Church-South and Cemetery,20234.3
Frey Ranch,4046.86
Friday's Station,30756.1
Gallison Hall,178062.0
Gardnerville Elementary School,48967.0
Garrett Snuff Mill,68796.6
Gay Mont,1.28892e+06
George Brinton House,120192.0
George Brinton House,120192.0
George Earhart House,4046.86
George McGregor Cabin,6070.28
German Evangelical Reformed Church,14164.0
German Evangelical Reformed Church,14164.0
Glebe of Westover Parish,388498.0
Glebewood Village Historic District,23876.5
Glennmary,210437.0
Gloucester Downtown Historic District,161874.0
Gov. James W. Nye Mansion,4046.86
Grace Episcopal Church and Building,4046.86
Grainfield Opera House,4046.86
Granger Hall (San Diego),2832.8
"Granger Hall (National City, California)",2832.8
"Grapeland (Wardtown, Virginia)",56656.0
Grassdale Farm,364217.0
Graves Mill,4451.54
Great Geneva,4046.86
"Green Garden (Upperville, Virginia)",138807.0
"Green Hill (Long Island, Virginia)",0.0
"Greenfield (Fincastle, Virginia)",3480.3
"Greenway (Madison Mills, Virginia)",34398.3
Greer House,404.686
Greyledge,3.23749e+06
Gridley-Howe-Faden-Atkins Farmstead,32374.9
Gridley Store,404.686
Guam Congress Building,6474.97
Guam Institute,1214.06
"Guilford (White Post, Virginia)",497763.0
Gulick-Rowell House,7284.34
Gum Creek,133951.0
Hallowell Historic District,1.05218e+06
Hallsboro Store,12545.3
Hallsborough Tavern,6070.28
Hance House and Barn,4046.86
Hannah Miller House,3237.49
Hanover Wayside,159041.0
Hanshill,354869.0
"Haphazard (Owensboro, Kentucky)",20234.3
Hardens,2.24196e+06
Harding County Courthouse,6070.28
Hardman IOOF Lodge Hall,4046.86
Harmonia Hall,8093.71
Harris-Poindexter House and Store,146496.0
Hartwood Presbyterian Church,6879.66
Hauge Lutheran Church,6070.28
Hawthorne USO Building,3237.49
Hazel Glen,2832.8
Hearn Potato House,404.686
Hearn and Rawlins Mill,4046.86
Hebron Lutheran Church,36421.7
Henry Blood House,4046.86
"Hesse (Blakes, Virginia)",607028.0
Hewick,97124.6
Hickman Row,10117.1
Hickory Neck Church,40063.9
High Banks,283280.0
High Meadows,7284.34
Highland Park-Overlee Knolls,731267.0
Hill Mansion,8093.71
"Hockley (Gloucester, Virginia)",166528.0
Hodgeman County Courthouse,8498.4
Hollencamp House,809.371
"Home Farm (Leesburg, Virginia)",35207.7
Home Tract,12140.6
Home on the Range Cabin,4046.86
Hope Dawn,910543.0
Hopewell Historic District,558466.0
Hopkins' Covered Bridge Farm,4046.86
Horse Valley Ranch,115335.0
"Hotel Jefferson (St. Louis, Missouri)",5665.6
Houston Carnegie Library,2023.43
Howard's Neck Plantation,5.86794e+06
Hungars Church,12140.6
Idalia Manor,8093.71
Immanuel Danish Evangelical Lutheran Church,8498.4
Indian Canyon Ranger Station,4046.86
"Intervale (Augusta County, Virginia)",12140.6
Inyo County Courthouse,6070.28
Ipswich Baptist Church,4046.86
Irving Baptist Church,4046.86
Isaac Harmon Farmhouse,4046.86
Island of Happy Days,36421.7
Ivy Dale Farm,4046.86
J. Clarence Kind House,343.741
J. F. Betz House,161874.0
J. McCormack Farm,101171.0
J. Stinson Farm,8903.08
James Mills Storehouse,4046.86
Jamestown Opera House,809.371
Jefferson Street Cemetery,7082.0
Jeremiah Platt House,1011.71
John Bullen House,2023.43
John Hite House,48562.3
John Korvola Homestead,10117.1
John M. Moyer House,2832.8
John M. Voshell House,5665.6
John Platts House,809.371
John Price House,16187.4
John T. Rich House,5260.91
Johnson-Neel House,40063.9
Johnston Library,8093.71
Joseph E. and Mina W. Mickelsen House,2023.43
Joseph Giraud House,1618.74
Joseph McDonald Farm,16187.4
Junius Marcellus Updyke Farm,1.46419e+06
"Kendall Grove (Eastville, Virginia)",137593.0
Kennett Square Historic District,554419.0
Kentland Farm Historic and Archeological District,1.4164e+06
Keokee Store No. 1,4856.23
"Kern Branch, Beale Memorial Library",2023.43
King's Tavern,1214.06
King-McBride Mansion,2023.43
Kinnickinnic Church,5260.91
Kitzmeyer Furniture Factory,0.0
Knickerbocker and Arnink Garages,3035.14
Lake Shore House,4046.86
Lakeside Press Building,4046.86
Lakeview House,12545.3
Lander County Courthouse,809.371
"Lauderdale (Buchanan, Virginia)",49776.3
"Laughton (Kents Store, Virginia)",110479.0
"Lawrence (Seaford, Delaware)",8093.71
Lazy A Motel,8093.71
Lee Gardens North Historic District,58679.4
Lemmon's Presbyterian Church,12140.6
Lena N. Gale Cabin,2832.8
Levering Mission,4046.86
Lew M. Meder House,2023.43
Lewis Mountain,171182.0
Lewis Shuey House,52609.1
Lexington Presbyterian Church,6070.28
"Limestone (Keswick, Virginia)",1.36784e+06
Liston House,4046.86
"Little England (Gloucester, Virginia)",283280.0
Locust Level,32779.5
Logan School House K-834,0.0
Loockerman Hall,16187.4
"Loretta (Warrenton, Virginia)",311608.0
Luella Garvey House,1618.74
Luray Norfolk and Western Passenger Station,2832.8
Maj. George Beecher Cook House,1214.06
"Malvern (Charlottesville, Virginia)",36826.4
Maple Front Farm,28328.0
Maple Springs,101171.0
Margots,546326.0
Marlborough Tavern,20234.3
Marlborough Village Historic District,534185.0
"Marmion (Comorn, Virginia)",1.33142e+06
Massie House,121406.0
Mataguac Hill Command Post,20234.3
Mathews County Courthouse Square,6474.97
Mattaponi Church,40468.6
Matthew Lowber House,809.371
Maull House,2023.43
Mayfield Cottage,19020.2
Meadea,4046.86
Mennoville Mennonite Church,8093.71
Merizo Bell Tower,2023.43
Merrick County Courthouse,6879.66
Micca House,8093.71
Midas Schoolhouse,2023.43
Middlebrook Schools,5260.91
"Midway (Millington, Virginia)",303514.0
Miller-Rowe-Holgate House,404.686
Monaghan Mill,67987.2
"Monte Verde (Center Cross, Virginia)",51799.8
Moore Potato House,404.686
Mount Bernard Complex,235932.0
Mount Calvary Lutheran Church,16187.4
Mount Carroll Historic District,477529.0
"Mount Ida (Scottsville, Virginia)",1.75229e+06
Mount Olive United Methodist Church,0.0
Mount Walla,54227.9
"Mountain Grove (Esmont, Virginia)",76890.3
Mt. Hebron M.E. Church South and Cemetery,12140.6
Mud Springs Station Archeological District,194249.0
Murray County Courthouse (Oklahoma),4046.86
Mustoe House,4046.86
Myrtle Hall Farm,161874.0
Nance-Major House and Store,31160.8
"Nanzatico (King George, Virginia)",1.37593e+06
Nevada State Printing Office,2023.43
New Dublin Presbyterian Church,48562.3
"New Hope High School (New Hope, Virginia)",14164.0
Nicholas Marnach House,4046.86
"Northbank (Walkerton, Virginia)",631310.0
Nortonia Boarding House,809.371
Norwood House,8093.71
Noxontown,19829.6
Nystrom Guest House,1214.06
Oak Grove Missionary Baptist Church,8093.71
Old Albany Academy Building,4046.86
Old Christiansburg Industrial Institute,8093.71
Old Denton,234718.0
Old Nebraska State Bank Building,1214.06
Old Providence Presbyterian Church,1618.74
Old Santa Rosa Catholic Church and Cemetery,10117.1
Old Trails Bridge,1214.06
Old Turner Place,77295.0
Old Winters Ranch/Winters Mansion,36421.7
Ormsby-Rosser House,809.371
Parkdale Baptist Church,4046.86
Parks E. Ball House,62726.3
Parson Thorne Mansion,6070.28
Paul and Fredriika Geranen Farm,20234.3
Peavine Ranch,21043.7
"Pecan Creek School (Gillespie County, Texas)",121406.0
Peleg Brown Ranch,16187.4
Penn Farm of the Trustees of the New Castle Common,437060.0
Penrose Historic District,505857.0
"Perry Hill (Saint Joy, Virginia)",169968.0
Peter J. Bontadelli House,1618.74
Peter Lofland House,1618.74
Peterson and Mustard's Hermitage Farm,890308.0
Pharo House,42492.0
"Pharsalia (Tyro, Virginia)",95101.1
Phelps Hotel,1214.06
Philip Reading Tannery,8093.71
Philips-Thompson Buildings,809.371
Phillips Potato House,404.686
Phlegar Farm,8093.71
Piedmont Camp Meeting Grounds Historic District,20234.3
Pine Slash,558466.0
Piney Grove,21043.7
Pitts Neck,687966.0
"Plain Dealing (Keene, Virginia)",46538.8
"Pleasant View (Forest, Virginia)",73248.1
Point of Fork Plantation,1.07242e+06
Poland Presbyterian Church and Cemetery,27518.6
Porter-Vallejo Mansion,2023.43
Powell-McMullan House,10521.8
"Powhatan (Five Forks, Virginia)",1.01171e+06
Prairie Center Methodist Episcopal Church and Pleasant Hill Cemetery,28328.0
Prosperity Baptist Church,6070.28
Protection High School,40063.9
Providence Plantation and Farm,26304.6
Providence Presbyterian Church,60702.8
Prowers Bridge,1214.06
Prowers County Courthouse,2428.11
R.L. Stone House,11735.9
R. Walker Barn,2023.43
Rainier Brewing Company Bottling Plant,2023.43
Ralph Potato House,404.686
Randolph Historic District,641750.0
Ravalli County Courthouse,2023.43
Raymond Neck Historic District,1.74824e+06
Red Fox Inn & Tavern,2023.43
"Red Hill Farm (Pedlar Mills, Virginia)",558466.0
Reese-Johnson-Virgin House,1618.74
Rest Haven Cemetery,28328.0
Rice's Hotel,4856.23
Rich Bottom Farm,40468.6
Richard E. Dill House,1214.06
Rider Potato House,404.686
Rinckel Mansion,4046.86
Riverlawn,39254.5
"Riverview (Port Royal, Virginia)",4856.23
Robinson-Bonnett Inn,2428.11
Rochambeau Farm,144473.0
Rock County Courthouse,6879.66
Rock Spring Farm,22257.7
Rose Bower,934824.0
Rose Court,1214.06
Rosegill,1.61874e+06
"Rothsay (Forest, Virginia)",141640.0
"Round Hill Historic District (Round Hill, Virginia)",388498.0
Ruby Valley Pony Express Station,4046.86
S.J. Mickelsen Hardware Store and Lumber Yard,1618.74
S. Holton Farm,20234.3
Salubria,809371.0
Samuel and Geneva Holt Farmstead,44920.1
Sand Hollow Wash Bridge,809.371
Sandy City Bank,404.686
Sandy Co-Op Block,404.686
Sappony Church,16187.4
Sarah Amanda Trott McKinney House,40873.2
"Scaleby (Boyce, Virginia)",811395.0
Seaford Station Complex,8093.71
"Seaton (South Boston, Virginia)",48562.3
Seay's Chapel Methodist Church,7948.03
Sedgwick County Courthouse,10117.1
Sedona Ranger Station,14164.0
"Selwyn (Mechanicsville, Virginia)",241597.0
Sevenmile Bridge,0.0
Shalango,101171.0
Sharpless Homestead,17401.5
Shawnee Friends Mission,12140.6
Shepherd's Plain,186155.0
Sheridan Plaza Hotel,2832.8
"Shiloh Presbyterian Church (Ireland, Indiana)",25495.2
Sipple House,809.371
Site 44GL103-Quest End,28328.0
Sixth Street School,6879.66
Sleepy Hollow Farm,58679.4
Smith Hotel-Cornelius Hotel,809.371
Smithfield Farm,1.40426e+06
Snodgrass Tavern,1092.65
Snodgrass Tavern,829606.0
"Solitude (Blacksburg, Virginia)",12140.6
Somerset Hotel,404.686
Spencer-Penn School,32374.9
Splitlog Church,2023.43
"Spring Bank (Lunenburg Courthouse, Virginia)",607028.0
"Spring Green (Mechanicsville, Virginia)",28328.0
"Springfield (Heathsville, Virginia)",117359.0
"St. Augustine's Catholic Church (Austin, Nevada)",404.686
St. Charles-Muller's Hotel,4046.86
St. Cornelia's Episcopal Church,36826.4
"St. James Church (Charlottesville, Virginia)",4046.86
"St. Joseph's Church (Pierz, Minnesota)",13354.6
"St. Joseph Catholic Church (Tontitown, Arkansas)",20639.0
St. Joseph Convent and Academy,4046.86
"St. Matthew's Church (Champlain, Virginia)",17401.5
St. Michael's Catholic Church Complex,40468.6
Stanley Potato House,404.686
Stony Creek Plantation,101171.0
Storehouse No. 4,4046.86
Strathy Hall,14718.4
Sts. Peter and Paul Russian Orthodox Church,8093.71
Sudler House,20234.3
"Sunrise (Gore, Virginia)",105218.0
Supervisor's House No. 1001,404.686
Sweet Briar House,12140.6
Sweet Candy Company Building,4856.23
Sweet Chalybeate Springs,72843.4
Sydenstricker School,3682.64
Symes Hotel,10926.5
T.C. Walker House,7689.03
"Taoist Temple (Hanford, California)",404.686
Tauxemont Historic District,202343.0
Taylor-Cope Historic District,1.25453e+06
Teddy's Tavern,6070.28
The Homeplace,22662.4
The Lane Hotel,6555.91
The Tabernacle-Fireman's Field,64749.7
Thomas Attix House,91459.0
Thomas D. Kinzie House,28328.0
Thomas Justis House,1618.74
Thomas Lamb House,10926.5
Thomas and Mary Williams Homestead,323749.0
Timber Ridge Presbyterian Church,0.0
Timberneck,56656.0
Tinkling Spring Presbyterian Church,40468.6
Tinsley Tavern,44515.4
Tinta Massacre Site,2023.43
Tolovana Roadhouse,20234.3
Tooele Valley Railroad Complex,8498.4
Toombs Tobacco Farm,517998.0
"Townfield (Port Royal, Virginia)",23876.5
Trail End,4046.86
Tribune-Republic Building,404.686
Trimmer Hill,809.371
Twin Oaks Farm,639403.0
Two Bayou Methodist Church and Cemetery,32374.9
Two Buttes Gymnasium,6879.66
