http://dbpedia.org/ontology/SportFacility,http://dbpedia.org/ontology/maximumElevation
Maverick Mountain Ski Area,2514.6
Montana Snowbowl,2316.48
Mount Olympus Ski Area,1875.0
Mount Shasta Ski Park,2092.76
Mount Shasta Ski Park,2092.76
Mount Waterman,2447.54
Nub's Nob,407.822
Pats Peak,445.008
"Pebble Creek, Idaho",2609.09
"Pebble Creek, Idaho",2825.8
Pomerelle,2670.66
Portillo (Chile),3310.0
Portillo (Chile),3310.0
Portillo,3310.0
"Portillo, Chile",3310.0
Portillo (Chili),3310.0
Portillo,3310.0
Портильо (Чили),3310.0
Portillo (Chile),4222.0
Portillo (Chile),4222.0
Portillo,4222.0
"Portillo, Chile",4222.0
Portillo (Chili),4222.0
Portillo,4222.0
Портильо (Чили),4222.0
Red Lodge Mountain,2870.0
Roundhill Ski Area,2133.0
Schweitzer Mountain,1950.72
Schweitzer Mountain,1950.72
Showdown Ski Area,2499.36
Sierra-at-Tahoe,2698.09
Silver Mountain (Idaho),1919.33
Ski Bradford,82.9056
"Snow Farm, New Zealand",1965.0
Sugar Bowl Ski Resort,2555.14
Temple Basin,1753.0
Teton Pass Ski Area,2194.56
Thunder Ridge Ski Area,249.936
Tsaghkadzor ski resort,2820.0
Turner Mountain Ski Resort,1814.17
Tuxedo Ridge Ski Center,365.76
Vail Ski Resort,3526.54
Vallnord,2625.0
Vallnord,2625.0
Vallnord,2625.0
Vallnord,2625.0
Vallnord,2625.0
Vallnord,2625.0
Vallnord,2625.0
Whitetail Ski Resort,548.64
Wildcat Mountain Ski Area,1238.1
Wilmot Mountain,292.608
Winterplace Ski Resort,1097.28
Yawgoo Valley,94.488
Åre ski resort,1420.0
Big Rock (ski resort),484.632
La Parva,3630.0
La Parva,3630.0
La Parva,3630.0
Snow Park (Neuseeland),1530.0
"Snow Park, New Zealand",1530.0
"Tamarack Ski Area (Troy, Idaho)",1341.12
Badger Mountain Ski Area,1057.66
Crystal Mountain (Michigan),345.034
Hautacam,1800.0
Hautacam,1800.0
Hautacam,1800.0
Hautacam,1800.0
Hautacam,1800.0
Hautacam,1800.0
Indianhead Mountain,527.304
Mount Lemmon Ski Valley,2791.05
ルスツリゾート,994.0
Rusutsu Resort,994.0
Storlien (Åre),791.0
Storlien,791.0
Storlien,791.0
Storlien,791.0
斯图利恩,791.0
高鷲スノーパーク,1550.0
Takasu Snow Park,1550.0
Chestnut Mountain,310.896
Takob,3000.0
Val-Louron,2150.0
Val-Louron,2150.0
Val-Louron,2150.0
Enchanted Mountain (ski area),975.36
Fereydunshahr (ski resort),3000.0
Northstar California,2624.33
Wolf Creek ski area,3628.34
Gunstock Mountain Resort,690.982
Loon Mountain Ski Resort,929.64
Bottineau Winter Park,746.76
Frost Fire Ski and Snow Board Area,426.72
June Mountain ski area,3075.43
Sunlight Ski Area,3016.0
Nashoba Valley Ski Area,128.626
Okemo Mountain,1019.25
49 Degrees North Ski Area,1759.92
Les Brasses,1503.0
Massif des Brasses,1503.0
Caberfae Peaks Ski & Golf Resort,470.916
Monterosa Ski,3275.0
Monterosa Ski,3275.0
Monterosa Ski,3275.0
Praz de Lys - Sommand,2000.0
Praz de Lys – Sommand,2000.0
Praz de Lys-Sommand,2000.0
Kartalkaya,2255.0
Kartalkaya,2255.0
Kartalkaya,2255.0
Kartalkaya,2255.0
Boyne Highlands,403.86
Dachstein (lodowiec),2700.0
Dachstein glacier,2700.0
Hauser Kaibling,2015.0
Hauser Kaibling,2015.0
Hauser Kaibling,2015.0
Hochwurzen,0.0
Hochwurzen,0.0
Hochwurzen,0.0
Cottonwood Butte,1696.52
Cottonwood Butte,1746.5
Snowhaven,1706.88
Ax-3 Domaines,2400.0
Ax 3 Domaines,2400.0
Ax 3 Domaines,2400.0
Ax-3 Domaines,2400.0
Ax-3 domaines,2400.0
Ax 3 Domaines,2400.0
Sky Resort,1570.0
Suomu,409.0
Suomu,409.0
Suomu,409.0
"Blackjack Ski Resort (Bessemer, Michigan)",493.776
Holiday Valley (ski resort),685.8
Silverton Mountain,4110.84
山形蔵王温泉スキー場,1661.0
Yamagata Zao Onsen Ski Resort,1661.0
Schladminger 4-Berge-Schaukel,2015.0
Mistrzostwa Świata w Narciarstwie Alpejskim 2011 – zjazd mężczyzn,1690.0
FIS Alpine World Ski Championships 2011 – Men's downhill,1690.0
Mistrzostwa Świata w Narciarstwie Alpejskim 2011 – supergigant mężczyzn,1395.0
Чемпионат мира по горнолыжному спорту 2011 — супергигант (мужчины),1395.0
FIS Alpine World Ski Championships 2011 – Men's super-G,1395.0
Mistrzostwa Świata w Narciarstwie Alpejskim 2011 – zjazd kobiet,1490.0
Чемпионат мира по горнолыжному спорту 2011 — скоростной спуск (женщины),1490.0
FIS Alpine World Ski Championships 2011 – Women's downhill,1490.0
Mistrzostwa Świata w Narciarstwie Alpejskim 2011 – supergigant kobiet,1305.0
Чемпионат мира по горнолыжному спорту 2011 — супергигант (женщины),1305.0
FIS Alpine World Ski Championships 2011 – Women's super-G,1305.0
Mount Agassiz Ski Resort,826.313
