http://dbpedia.org/ontology/Lighthouse,http://dbpedia.org/ontology/height
エウローパ岬灯台,20.0
Latarnia morska Europa Point,20.0
Europa Point Lighthouse,20.0
Gibraltar North Mole Elbow Lighthouse,25.0
Gibraltar South Mole Lighthouse,17.0
Grand Marais Harbor of Refuge Inner and Outer Lights,16.764
Phare de Kincardine,19.0
Kincardine Lighthouse,19.0
Kinnaird Head Castle Lighthouse,22.0
Castelo de Kinnaird Head,22.0
Kinnaird Head Lighthouse,22.0
Lansing Shoals Light Station,17.9832
Lille Presteskjær Lighthouse,20.8
Martin Reef Light Station,15.8496
Plum Gut Lighthouse,16.764
Ship Shoal Light,38.1
South Fox Island Light,11.8872
Faro di Anvil Point,12.0
Latarnia morska Anvil Point,12.0
Anvil Point Lighthouse,12.0
Faro di Bardsey,30.0
Latarnia morska Bardsey,30.0
Bardsey Lighthouse,30.0
Latarnia morska Bass Rock,20.0
Bass Rock Lighthouse,20.0
Batticaloa Lighthouse,28.0
Cape Naturaliste Lighthouse,20.0
Phare du Cap-Pine,15.0
Cape Pine Light,15.0
Cape Sorell Lighthouse,40.0
Phare du cap du Couedic,25.0
Cape du Couedic Lighthouse,25.0
Chrome Island lighthouse,7.5
Currie Lighthouse,21.0
Eagle Island lighthouses,11.0
Faro de la Isla Eclipse,14.0
Eclipse Island Lighthouse,14.0
Faro de Fenerbahçe,25.0
Fenerbahçe Lighthouse,25.0
Goose Island lighthouse,30.0
Faro de Harlingen,24.0
Vuurtoren van Harlingen,24.0
Harlingen Lighthouse,24.0
Fanale di Hilbre Island,3.0
Latarnia morska Hilbre Island,3.0
Hilbre Island Lighthouse,3.0
Hyskeir Lighthouse,39.0
Phare de l'Île-Parisienne,16.6
Ile Parisienne Light,16.6
Iron Pot Lighthouse,11.0
Phare Les Hanois,36.0
Latarnia morska Les Hanois,36.0
Les Hanois Lighthouse,36.0
Llanddwyn Island Lighthouse,5.0
Llanddwyn Island Lighthouse,11.0
Lowestoft Lighthouse,16.0
Lowestoft Lighthouse,16.0
Mine Head,22.0
Miķeļbāka,56.0
Neist Point Lighthouse,19.0
Peggys Point Lighthouse,15.0
Pladda Lighthouse,29.0
Point Hicks Lighthouse,37.0
Point Prim Lighthouse,14.0
Point Riche Lighthouse,5.0
Faro de la Punta de Ayre,30.0
Latarnia morska Point of Ayre,30.0
Point of Ayre Lighthouse,30.0
Faro di Rampside,16.0
Rampside Lighthouse,16.0
Rockabill Lighthouse,32.0
Phare de Sercq,16.0
Sark Lighthouse,16.0
Latarnia morska St Catherine,27.0
Маяк Святой Екатерины,27.0
St. Catherine's Lighthouse,27.0
Latarnia morska St Tudwal's,11.0
St Tudwal’s Lighthouse,11.0
Faro Stražica,5.0
Stražica Lighthouse,5.0
Faros The Maidens,23.1648
The Maidens lighthouses,23.1648
Tiumpan Head Lighthouse,21.0
Trial Islands Lighthouse,13.0
Ushenish Lighthouse,12.0
Vaternish Lighthouse,7.0
Wedge Island lighthouse,5.0
West Usk Lighthouse,17.0
Cape Henlopen Beacon,13.716
Choctaw Point Light,13.1064
Chumbe Lighthouse,34.0
Middle Island Light,24.384
North Manitou Shoal Light Station,19.2024
Pass Christian Light,9.144
Ras Kazone Rear Range Lighthouse,13.0
Ras Mkumbi Lighthouse,30.0
Sassafras Point Light,4.2672
Tanga Entrance Lighthouse,11.0
Tanga Island Front Range Lighthouse,12.0
Tanga Island Rear Range Lighthouse,12.0
Ulenge Island Front Range Lighthouse,15.0
Azhikode lighthouse,30.0
Beypore lighthouse,30.48
Chetwai lighthouse,30.0
Ciutadella Lighthouse,13.0
Ferryland Head Light,14.0
高美燈塔,34.0
Gaomei Lighthouse,34.0
Kankesanthurai Lighthouse,22.0
Kovilan Point Lighthouse,30.0
Kovilthottam Lighthouse,18.0
Kozhikkode lighthouse,15.0
Mahabalipuram lighthouse,26.0
Mahe lighthouse,13.0
Manakkodam Lighthouse,30.0
Mannar Island Lighthouse (new),19.0
Mullaitivu Lighthouse,20.0
North Point Light,22.5552
Point Pedro Lighthouse,32.0
Point Prim Light Station,18.5
Ponnani lighthouse,30.0
Punta Moscarter Lighthouse,52.0
South Neptune Island Lighthouse,8.0
Suomen leijona,13.0
Tangasseri Lighthouse,41.0
Vizhinjam lighthouse,36.0
Vypin lighthouse,46.0
Blitvenica Lighthouse,21.0
富貴角燈塔,14.3
Fugueijiao Lighthouse,14.3
目斗嶼燈塔,39.9
Mudouyu Lighthouse,39.9
Savudrija Lighthouse,29.0
Veli Rat Lighthouse,36.0
Cape Beale Light,10.0
Kanifushi (Lhaviyani Atoll),12.0
Penfield Reef Light,10.668
Rubicon Point Light,3.6576
Rubicon Point Light,3.6576
Sand Point Light,13.4112
Charlevoix South Pier Light Station,13.4112
Langara Light,7.5
Punta Orchilla Lighthouse,25.0
Royal Sovereign Lighthouse,36.0
Faro di Royal Sovereign,36.0
Latarnia morska Royal Sovereign,36.0
Salt Island (Britische Jungferninseln),5.0
Isla Salt (Islas Vírgenes Británicas),5.0
"Salt Island, British Virgin Islands",5.0
Salt Island,5.0
Faro de Punta Sur,27.0
South Point Lighthouse,27.0
Little Sable Point Light,32.6136
Peninsula Point Light,12.192
Point Betsie Light,11.2776
Five Mile Point Lighthouse,24.384
Five Mile Point Light,24.384
Five Mile Point,24.384
Mystic Seaport Light,7.62
Tree Point Light,17.6784
Phare de la pointe Tree,17.6784
Ashtabula Harbor Light,12.192
Ashtabula Harbor Light,12.192
Harmaja,15.0
Harmaja,15.0
Harmaja,15.0
Îles de la Petite Terre,33.0
Islas de Petite Terre,33.0
Îles de la Petite-Terre,33.0
プティト・テール諸島,33.0
Îles de la Petite-Terre,33.0
Petite Terre Islands,33.0
Petite Terre,33.0
Petite-Terre,33.0
Птит-Тер,33.0
小特爾群島,33.0
Point Sur Lighthouse,14.6304
Saugerties Light,14.0208
Smith Point Light,15.8496
Tawas Point Light,20.4216
Phare de Litløy,55.5
Litløy Lighthouse,55.5
Phare Norah Head,27.5
Norah Head Light,27.5
Cape Otway Lighthouse,20.0
Cape Otway Lighthouse,20.0
Grand Turk Lighthouse,18.0
Old Higher Lighthouse,12.0
Old Lower Lighthouse,25.0
Cape Leeuwin Lighthouse,39.0
Faro del Cabo Leeuwin,39.0
Phare du cap Leeuwin,39.0
Cape Leeuwin Lighthouse,39.0
Cape Scott Lighthouse,9.0
Delimara Lighthouse,18.0
Delimara Lighthouse,18.0
Faro de Fuencaliente,24.0
Faro de Fuencaliente,24.0
Vuurtoren van Fuencaliente,24.0
Fuencaliente Lighthouse,24.0
Leuchtturm Neuwerk,39.0
Great Tower Neuwerk,39.0
Far de Punta Nati,19.0
Faro de Punta Nati,19.0
Punta Nati Lighthouse,19.0
Ryvingen fyr,22.5
Ryvingen Lighthouse,22.5
Stoer Head,14.0
Utsira Lighthouse,13.3
Great Beds Light,18.5928
Anguillita,8.0
Anguillita,8.0
Anguillita,8.0
Anguillita,8.0
Anguillita,8.0
Beachy Head Lighthouse,43.0
Faro di Beachy Head,43.0
Latarnia morska Beachy Head,43.0
Brockton Point,10.5
Brockton Point,10.5
Cape Lookout Lighthouse,49.6824
Farol do Cabo Lookout,49.6824
Маяк мыса Лукаут,49.6824
Godrevy Lighthouse,26.0
Faro di Godrevy,26.0
Latarnia morska Godrevy,26.0
Split Point Lighthouse,34.0
Split Point Lighthouse,34.0
Phare de Split Point,34.0
Stony Point Light,9.144
Whitefish Point Light,23.1648
Williamstown Lighthouse,17.0
Bloody Point Bar Light,16.4592
Fishing Battery Light,9.7536
Georgetown Light,26.5176
Sharkfin Shoal Light,13.4112
Tiritiri Matangi Lighthouse,20.0
Faro de Tiritiri Matangi,20.0
Tiritiri Matangi Lighthouse,20.0
Cape Reinga Lighthouse,10.0
Cape Reinga Lighthouse,10.0
Charleston Light,42.672
Chicago Harbor Light,20.1168
芝加哥港灯塔,20.1168
Erie Land Light,14.6304
Erie Land Light,14.6304
Fort Washington Light,8.5344
Green Cape Lighthouse,14.9352
Green Cape Lighthouse,29.0
Ida Lewis Rock Light,3.9624
Manitou Island Light Station,12.954
Nordmole-Leuchtturm (Fremantle),9.0
North Mole Lighthouse,9.0
Sand Hills Light,27.7368
Smith Island Light,9.144
Wollongong Breakwater Lighthouse,12.8
Leuchtturm Oland,7.4
Oland lighthouse (Germany),7.4
Roter Sand,28.0
Roter Sand,28.0
Roter Sand,28.0
Roter Sand,28.0
Leuchtturm Rotes Kliff,13.0
Rotes Kliff lighthouse,13.0
Leuchtturm Westerheversand,40.0
Phare de Westerheversand,40.0
Vuurtoren Westerheversand,40.0
Latarnia morska Westerheversand,40.0
Westerheversand Lighthouse,40.0
Buholmråsa fyr,23.5
Buholmråsa Lighthouse,23.5
Fruholmen fyr,18.0
Fruholmen Lighthouse,18.0
Grinna fyr,19.0
Grinna Lighthouse,19.0
Neuer Leuchtturm (Lindau),33.0
Lindau Lighthouse,33.0
Nordøyan fyr,10.0
Nordøyan Lighthouse,10.0
Runde fyr,14.0
Runde Lighthouse,14.0
Skomvær fyr,31.7
Phare de Skomvær,31.7
Skomvær Lighthouse,31.7
Amlwch lighthouse,11.0
Farol de Bear Island,9.4488
Bear Island Light,9.4488
Big Tignish Light,8.2
Bishop and Clerks Light,18.1356
Brighton Beach Range Lights,11.5
Brighton Beach Range Lights,18.4
Buffalo Harbor South Entrance Light,13.2588
Buffalo North Breakwater South End Light,8.8392
Cape Tryon Light,12.4
Cascumpeque Light,15.0
Eagle Island Light,9.144
Folly Lighthouse,14.9352
Franklin Island Light,13.716
Gull Rock Light Station,14.0208
Haszard Point Range Lights,17.3
城ヶ島灯台,11.5
Jōgashima Lighthouse,11.5
Lazaretto Cairn Lighthouse,9.144
Leards Range Lights,13.7
Little Channel Range Lights,9.1
Miminegash Range Lights,4.0
Murray Harbour Range Lights,7.2
Murray Harbour Range Lights,13.6
Nantucket Harbor Range Lights,9.144
Nantucket Harbor Range Lights,14.0208
North Cape Light,19.5
Phare de North Rustico,10.0
North Rustico Harbour Light,10.0
Northport Range Lights,11.8
Passage Island Light,13.4112
Portland Lighthouse,35.0
Pumpkin Island Light,7.62
Rock Harbor Light,15.24
Rose Hall Lighthouse,27.0
South Buffalo North Side Light,8.8392
St. Peters Harbour Light,10.4
Summerside Outer Range Lights,9.0
Tenants Harbor Light,8.2296
Two Bush Island Light,12.8016
Warren Cove Range Lights,11.2
Winter Harbor Light,5.7912
Wood Islands Lighthouse,16.5
Wrights Range Lights,3.7
Hammerodde Fyr,3.6576
Hammer Odde Lighthouse,3.6576
Battle Island Light,13.1064
Faro di Blacknore Point,11.0
Маяк Блэк-Нор,11.0
Black Nore lighthouse,11.0
Маяк на острове Бёюк Зиря,18.0
Boyuk Zira lighthouse,18.0
Devils Island Light (Nova Scotia),11.8872
"Gibraltar Detached Mole (""B"" Head) Lighthouse",11.2776
"Gibraltar Detached Mole (""C"" Head) Lighthouse",11.2776
Grönskär,18.0
Grönskär,18.0
Högby Lighthouse,23.0
Faro de När,16.3
Vuurtoren van När,16.3
När Lighthouse,16.3
Pipe Island Light,15.8496
Pite-Rönnskär,37.0
Portishead Point lighthouse,9.0
Svartklubben,12.0
Väderöbod,19.0
Väderöbod,19.0
Latarnia morska Whitby,13.0
Whitby Lighthouse,13.0
Phare de l'Île Verte,17.0
Île-Verte Lighthouse,17.0
Calella Lighthouse,13.0
Cape d'Or,9.0
Phare des Casquets,23.0
Latarnia morska Casquets,23.0
Casquets lighthouses,23.0
Faro di Inner Farne,13.0
Latarnia morska Farne,13.0
Farne Lighthouse,13.0
Tour de Vinde,10.0
La Tour de Vinde,10.0
Latarnia morska Lynmouth Foreland,15.0
Lynmouth Foreland Lighthouse,15.0
Faro de Punta Needhams,13.0
Needham's Point Lighthouse,13.0
Orfordness Lighthouse,30.0
Latarnia morska Orfordness,30.0
Orfordness Lighthouse,30.0
Rubha nan Gall,18.9
Sabine Bank Light,21.9456
Faro de Finisterre,17.0
Cape Finisterre Lighthouse,17.0
Djursten,15.0
Faro Dyrhólaey,13.0
Dyrhólaey lighthouse,13.0
Lågskär Lighthouse,23.0
Phare d'Æðarsteinn,6.0
Æðarstein lighthouse,6.0
Cape San Blas Light,29.8704
Castle Hill Light,10.3632
Gibraltar Point Lighthouse,25.0
Faro de Cabo de Hook,35.0
Hook Lighthouse,35.0
Nash Point,37.0
New Presque Isle Light,33.2232
Old Presque Isle Light,11.5824
Presque Isle Light,20.7264
Presque Isle Light,20.7264
St. Mary's Lighthouse,46.0
St. Mary’s Lighthouse,46.0
聖瑪莉燈塔,46.0
Umpqua River Light,18.5928
Cape St. George Light,21.336
Ambrose Light,23.1648
Phare d'Ambrose,23.1648
Faro di Ambrose,23.1648
عوهة,20.0
Auhah Island,20.0
Isla Auhah,20.0
Île d'Auhah,20.0
Isla del Caño,22.0
Isla del Caño,22.0
Isla del Caño,22.0
Isla del Caño,22.0
卡尼奧島,22.0
كبر (جزيرة),25.0
Kubbar Island,25.0
Isla Kubbar,25.0
Île de Kubbar,25.0
La Corbière,19.0
Pointe de La Corbière,19.0
La Désirade,20.0
لا ديزيراد,20.0
La Désirade,20.0
La Désirade,20.0
La Désirade (île),20.0
La Désirade,20.0
ラ・デジラード島,20.0
La Désirade,20.0
La Désirade,20.0
Ла-Дезирад,20.0
拉代西拉德岛,20.0
قاروه,12.0
Qaruh Island,12.0
Isla Qaruh,12.0
Кару (остров),12.0
رأس الحد,38.0
Ras al Hadd,38.0
Ras al-Hadd,38.0
Ras al Hadd,38.0
Rinns of Islay,29.0
Rhinns of Islay,29.0
Rubjerg Knude lighthouse,23.0
Rubjerg Knude Fyr,23.0
Rubjerg Knude Fyr,23.0
Latarnia morska Rubjerg Knude,23.0
Suomenlinna Church,27.0
Église de Suomenlinna,27.0
Kerk van Suomenlinna,27.0
أم المرادم,22.0
Umm al Maradim Island,22.0
Isla Umm al Maradim,22.0
أم النمل,16.0
Umm an Namil Island,16.0
Isla Umm an Namil,16.0
Phare de Cove Island,24.0
Cove Island Light,24.0
Dondra Head Lighthouse,49.0
Harbor Beach Light,13.716
Harbour Town Light,27.432
Pointe aux Barques Light,27.1272
Torre San Giovanni,22.0
Torre San Giovanni,22.0
Torre San Giovanni,22.0
Cabo San Felipe,18.0
Cape Pembroke,18.0
Cap Pembroke,18.0
Fife Ness,5.0
George Island Light,15.5
Hengam,12.0
Isla Hengam,12.0
Hengam Island,12.0
Hengam,12.0
亨賈姆島,12.0
Hestan Island,23.0
Île Hestan,23.0
Loch Indaal (Bucht),13.0
Loch Indaal,13.0
Loch Indaal,13.0
Cabo de Loop,23.0
Loop Head,23.0
Capo Loop,23.0
Loop Head,23.0
Loop Head,23.0
Santa Maria di Leuca,48.0
Santa María de Leuca,48.0
Santa Maria di Leuca,48.0
Santa Maria di Leuca,48.0
Santa Maria di Leuca,48.0
Sirri,20.0
Sirri,20.0
Sirri Island,20.0
Sirri (isola),20.0
Sirri,20.0
Ilha Sirri,20.0
錫里島,20.0
"Bishop Rock, Isles of Scilly",51.0
Bishop Rock,51.0
Bishop Rock,51.0
Bishop Rock,51.0
Faro di Bishop Rock,51.0
Bishop Rock,51.0
Bishop Rock,51.0
Бишоп-Рок,51.0
Muckle Flugga Lighthouse,20.0
Muckle Flugga Lighthouse,20.0
Faro di Muckle Flugga,20.0
Muckle Flugga Lighthouse,20.0
Faro del Bicentenario,102.0
Bicentennial Lighthouse,102.0
Bo'ao Lighthouse,23.0
Escape Island,24.0
Boston Light,27.1272
Boston Light,27.1272
Boston Light,27.1272
Бостон-Лайт,27.1272
Brant Point Light,7.9248
Brant Point Light,7.9248
Brant Point Light,7.9248
DeTour Reef Light,23.7744
Fairport Harbor West Breakwater Light,12.8016
برج الفتاة,9.0
Leanderturm,9.0
Maiden's Tower,9.0
Torre de la Doncella (Estambul),9.0
Tour de Léandre,9.0
Torre di Leandro,9.0
Kız Kulesi,9.0
Wieża Leandra,9.0
Девичья башня (Стамбул),9.0
Torre de Leandro,9.0
Minot's Ledge Light,26.5176
Nauset Light,14.6304
Nauset Light,14.6304
ノーセット灯台,14.6304
Old Scituate Light,7.62
Pirotan,18.3
Pirotan,18.3
Pirotan,18.3
Helnes Lighthouse,10.0
Slettnes fyr,39.0
Slettnes Lighthouse,39.0
منارة جدة,113.0
Faro de Yeda,113.0
Phare de Djeddah,113.0
Farol de Jidá,113.0
Jeddah Light,113.0
Grønningen fyr,14.0
Grønningen Lighthouse,14.0
Kiipsaare tuletorn,7.62
Phare de Kiipsaare,7.62
Kiipsaare,7.62
Latarnia morska Kiipsaare,7.62
Farol de Kiipsaare,7.62
Киипсааре,7.62
Kiipsaare Lighthouse,7.62
Langøytangen fyr,14.5
Langøytangen Lighthouse,14.5
Søndre Kattland fyr,14.5
Søndre Katland Lighthouse,14.5
Leuchtturm Bülk,25.6
Faro Bülk,25.6
Bülk Lighthouse,25.6
Pilsumer Leuchtturm,11.0
Phare de Pilsum,11.0
Vuurtoren van Pilsum,11.0
Latarnia morska Pilsum,11.0
皮尔苏姆灯塔,11.0
Pilsum Lighthouse,11.0
Tungenes fyr,12.0
Tungenes Lighthouse,12.0
Faro della Vittoria,67.85
Faro della Vittoria (Trieste),67.85
Phare de la Victoire,67.85
Vittoria Light,67.85
Faro de Basco,20.0
Basco Lighthouse,20.0
Brandaris,52.5
Brandaris (vuurtoren),52.5
Brandaris,52.5
Burnt Island Light,9.144
Cape Vincent Light,7.9248
East Charity Shoal Light,4.8768
Fort Wadsworth Light,4.572
Fort Wadsworth Light,4.572
Galloo Island Light,16.764
"Green Point Lighthouse, KwaZulu-Natal",21.0
New Dorp Lighthouse,24.384
New Dorp Light,24.384
Nickel Plate 587,4.2672
Ogdensburg Harbor Light,19.812
Old Orchard Shoal Light,10.668
Old Orchard Shoal Light,10.668
Rondout Light,14.6304
Rondout Light,14.6304
Stony Point (Henderson) Light,22.2504
Stuyvesant Light,9.7536
Tarrytown Light,18.288
Thirty Mile Point Light,18.5928
West Bank Light,16.764
West Bank Light,16.764
Whitlocks Mill Light Station,7.62
Whitlocks Mill Light,7.62
Wolf Rock Lighthouse,41.0
Latarnia morska Wolf Rock,41.0
Маяк Волф-Рок,41.0
Wolf Rock Lighthouse,41.0
Faro de Blackwell Island,15.24
Phare de Blackwell Island,15.24
Blackwell Island Light,15.24
Detroit River Light,14.9352
Ipswich Range Lights,8.8392
Ogami Lighthouse,12.0
Oyster Rock lighthouse,20.0
Latarnia morska Skerries,23.0
Skerries Lighthouse,23.0
大間埼灯台,25.4
Ōmazaki Lighthouse,25.4
Roman Rock,14.0
Phare de Roman Rock,14.0
Roman Rock Lighthouse,14.0
Gibraltar North Mole Lighthouse,17.0
Gibraltar North Mole Lighthouse,17.0
Far de l’Illa de l’Aire,38.0
Faro de Isla del Aire,38.0
Illa de l'Aire Lighthouse,38.0
Farol da Ponta dos Capelinhos,20.0
Faro de Punta de Capelinhos,20.0
Farol da Ponta dos Capelinhos,20.0
Lighthouse of Ponta dos Capelinhos,20.0
Leuchtturm Paphos,20.0
Paphos Lighthouse,20.0
Faro de Puerto de la Cruz,27.0
Faro di Puerto de la Cruz,27.0
Puerto de la Cruz Lighthouse,27.0
Faro de Martiño,6.0
Punta Martiño Lighthouse,6.0
Faro de Punta del Hidalgo,50.0
Punta del Hidalgo Lighthouse,50.0
Leuchtturm Slangkop,33.0
Phare Slangkop,33.0
Slangkop Lighthouse,33.0
Faro de Tostón,30.0
Tostón Lighthouse,30.0
Ellingråsa Lighthouse,5.7
Groote Kaap,16.8
Groote Kaap,16.8
Farol da Ponta das Contendas,13.0
Lighthouse of Ponta das Contendas,13.0
Villa Lighthouse,15.0
Vuurtoreneiland,19.5
Vuurtoreneiland,19.5
Vuurtoreneiland,19.5
Vuurtoreneiland,19.5
Vuurtoreneiland,19.5
Faro de Calaburras,25.0
Маяк Калабуррас,25.0
Calaburras Lighthouse,25.0
Almagrundet,30.0
Faro de Calais,55.0
Phare de Calais,55.0
加萊燈塔,55.0
Calais Lighthouse,55.0
Faro de Cabo Ortegal,10.0
Phare du Cap Ortegal,10.0
Cape Ortegal Lighthouse,10.0
Phare du cap St. Blaize,14.0
Cape St. Blaize Lighthouse,14.0
Faro de Christiansø,16.0
Christiansø Lighthouse,16.0
Isles of Shoals Light,17.6784
Faro Lange Nelle,57.5
Phare d'Ostende,57.5
Lange Nelle,57.5
Lange Nelle,57.5
Lange Nelle Lighthouse,57.5
Маяк Портленд-Мол,22.0
"Portland Breakwater Lighthouse, Dorset",22.0
Faro de Punta Candelaria,9.0
Punta Candelaria Lighthouse,9.0
Barcelona Light,12.192
Faro di Bull Point,11.0
Bull Point Lighthouse,11.0
Latarnia morska Bull Point,11.0
Маяк Булл-Пойнт,11.0
جزيرة فارسي,23.0
Farsi Island,23.0
Farsi (Insel),23.0
Isla Farsi,23.0
Farsi (isola),23.0
Фарси (остров),23.0
Ginger Island,4.0
Isla Ginger,4.0
Greens Ledge Light,15.8496
Holland Harbor Light,9.7536
Pater Noster (Leuchtturm),32.0
Pater Noster Lighthouse,32.0
Point Cabrillo Light,14.3256
Point Cabrillo Light,14.3256
Round Island (Scilly-Inseln),19.0
"Round Island Light, Isles of Scilly",19.0
Round Island (Scilly-eilanden),19.0
Latarnia morska Round Island,19.0
Маяк Раунд-Айленд,19.0
Phare de Round Island,17.3736
Round Island Light (Michigan),17.3736
Sommers,37.0
Sommers,37.0
Соммерс,37.0
Stratford Shoal Light,10.668
كيب سبير,11.0
Cape Spear,11.0
Cape Spear,11.0
Cap d'Espoir,11.0
スピア岬,11.0
Cape Spear,11.0
Cape Spear,11.0
Cabo da Esperança,11.0
Gruney,7.0
Gruney,7.0
Gruney,7.0
جزيرة هندرابي,30.0
Hendurabi,30.0
Hendurabi,30.0
Hendurabi,30.0
亨多拉比島,30.0
Old Head of Kinsale,30.0
Cabo de Old Head of Kinsale,30.0
Seven Foot Knoll Light,12.192
Sleat,5.0
Sleat,5.0
Sleat,5.0
Faro de Eilat,9.0
Latarnia morska Ejlat,9.0
Eilat Light,9.0
Gorleston South Pier Lighthouse,8.0
Lime Kiln Light,11.5824
Seacow Head Light,18.3
Tranøy Lighthouse,27.3
Bakers Island Light,17.9832
Bloody Point Range Lights,8.2296
Borden Flats Light,14.6304
Bullock's Point Light,10.668
Bulls Bay Light,10.668
Cape Campbell Lighthouse,22.0
Cape Campbell Lighthouse,22.0
Chapel Hill Rear Range Light,16.764
Conover Beacon,16.764
Falsterbo Lighthouse,25.0
Gull Rocks Light,10.0584
Juniper Island Light,7.62
Lion's Head Light,8.0
Lunna Holm,8.0
Lunna Holm,8.0
McGulpin Point Light,11.5824
Ned Point Light,11.8872
Parris Island Range Lights,13.716
Phare de la pointe Clark,26.5
Point Clark Lighthouse,26.5
Phare de la Pointe des Corbeaux,19.2
Pointe des Corbeaux lighthouse,19.2
Sullivan's Island Range Lights,13.716
Ten Pound Island Light,11.8872
Faro Barón Bliss,15.0
Baron Bliss Light,15.0
Faro del Cayo Bugle,19.0
Bugle Caye Light,19.0
English Caye Light,19.0
Grand Marais Light,10.3632
Half Moon Caye Light,24.0
Hätteberget,26.0
Sandbore Caye Light,25.0
Smygehuk Lighthouse,17.0
Neuer Leuchtturm Borkum,60.0456
Phare de Borkum,60.0456
Grote vuurtoren van Borkum,60.0456
Borkum Großer Light,60.0456
Leuchtturm Oberfeuer Blankenese,40.0
Blankenese High Lighthouse,40.0
Leuchtturm Unterfeuer Blankenese,42.0
Blankenese Low Lighthouse,42.0
Bradleys Head Light,6.096
Bradleys Head Light,6.096
Eborac Island Lighthouse,5.7912
Eborac Island Light,5.7912
Nelson Head Light,3.048
Nelson Head Light,3.048
Plover Scar Lighthouse,8.0
Plover Scar Lighthouse,8.0
Robertson Point Light,7.9248
Robertson Point Light,7.9248
Faro de Fontes Pereira de Melo,16.0
Farol de Fontes Pereira de Melo,16.0
Farol de Fontes Pereira de Melo,16.0
Faro de Pedra de Lume,5.0
Farol de Pedra de Lume,5.0
Farol de Pedra de Lume,5.0
Faro Homigot,26.4
Homigot Lighthouse,26.4
Faro la Marina,22.0
La Marina Lighthouse,22.0
Hereford Inlet Light,17.3736
Little Red Lighthouse,12.192
Faro di Jeffrey's Hook,12.192
Mission Point Light,10.9728
Ludington Light,17.3736
拉丁頓燈塔,17.3736
Pottawatomie Light,12.4968
برج يوكوهاما البحري,106.07
Yokohama Marine Tower,106.07
Yokohama Marine Tower,106.07
Torre marina de Yokohama,106.07
Tour marine de Yokohama,106.07
Torre marittima di Yokohama,106.07
横浜マリンタワー,106.07
Марин-тауэр,106.07
橫濱海洋塔,106.07
Bressay Lighthouse,16.0
Bressay Lighthouse,16.0
Corsewall Lighthouse,34.0
Corsewall Lighthouse,34.0
Latarnia morska Corsewall,34.0
Eddystone Lighthouse,18.0
Eddystone-Leuchtturm,18.0
Faro de Eddystone,18.0
Phare d'Eddystone,18.0
Faro di Eddystone,18.0
Latarnia morska Eddystone,18.0
Маяк Эдистон,18.0
Longships Lighthouse,35.0
Faro Longships,35.0
Latarnia morska Longships,35.0
Southwold lighthouse,31.0
Southwold Lighthouse,31.0
Latarnia morska Southwold,31.0
جزيرة بفت تلار,10.0
Astola Island,10.0
Isla Astola,10.0
Астола (остров),10.0
阿斯托拉島,10.0
Giraglia,25.8
Giraglia,25.8
Giraglia,25.8
Giraglia,25.8
Джиралья,25.8
Ballast Point Lighthouse,10.3632
Cape Leveque,13.0
Cape Leveque,13.0
Cabo Leveque,13.0
Cape Mendocino Light,13.1064
Cabo Miseno,12.0
Cape Miseno,12.0
Capo Miseno,12.0
Cap Misène,12.0
Cabo Palinuro,14.0
Cape Palinuro,14.0
Capo Palinuro,14.0
Chanonry Point,13.0
Kauhola Point Light,26.2128
Morgan Point Light,15.8496
Phare de Morgan Point,15.8496
"Ragged Point, Barbados",29.5
Faro de Punta Desigual,29.5
Reedy Island Range Rear Light,33.528
Faro de Santa Bárbara,7.3152
Santa Barbara Light,7.3152
Table Bluff Light,10.668
Strumble Head Lighthouse,17.0
Latarnia morska Strumble Head,17.0
Bell Rock Lighthouse,35.3
منارة بيل روك,35.3
Bell Rock Lighthouse,35.3
Faro de Bell Rock,35.3
Phare de Bell Rock,35.3
Latarnia morska Bell Rock,35.3
Белл-Рок,35.3
貝爾燈塔,35.3
Akseløya,7.0
Akseløya,7.0
Akseløya,7.0
Phare de l’Armandèche,38.96
Phare de l'Armandèche,38.96
L'Armendèche lighthouse,38.96
Leuchtturm von Genua,75.8952
Faro Linterna de Génova,75.8952
Lanterna di Genova,75.8952
Lanterna de Gênes,75.8952
La Lanterna,75.8952
Lighthouse of Genoa,75.8952
Lanterna de Gênova,75.8952
Ла Лантерна,75.8952
灯笼塔,75.8952
Faro de Malaca,13.0
Malacca Light,13.0
Pisang Island Lighthouse,16.0
Phare du Grouin du Cou,16.33
Pointe du Grouin du Cou lighthouse,16.33
Phare de l'île d'Yeu,37.5
Île d'Yeu lighthouse,37.5
Faro de East End,8.0
East End Light,8.0
Maryport Lighthouse,11.0
Мерипортский маяк,11.0
Old Hunstanton Lighthouse,19.0
Phare de l’Espiguette,27.4
Phare de l'Espiguette,27.4
Phare de l'Espiguette,27.4
Bald Head Light,33.528
Маяк Болд-Хед,33.528
Essex Reef Light,7.0104
Faro de Cabo Flamborough,26.5
Faro di Flamborough,26.5
Latarnia morska Flamborough,26.5
Flamborough Head Lighthouse,26.5
Lista fyr,34.0
Lista Lighthouse,34.0
Piedras Blancas Light Station,21.336
Rawley Point Light,33.8328
Sturgeon Bay Canal Light,29.8704
Sturgeon Bay Canal North Pierhead Light,11.8872
East Point Light,12.192
Alte Weser,38.0
Alte Weser (lighthouse),38.0
Alte Weser,38.0
Pendeen Lighthouse,17.0
Pendeen Lighthouse,17.0
