http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/squadNumber
Tulsa Golden Hurricane men's soccer,8
Tulsa Golden Hurricane men's soccer,9
Tulsa Golden Hurricane men's soccer,10
Tulsa Golden Hurricane men's soccer,11
Tulsa Golden Hurricane men's soccer,12
Tulsa Golden Hurricane men's soccer,13
Tulsa Golden Hurricane men's soccer,14
Tulsa Golden Hurricane men's soccer,15
Tulsa Golden Hurricane men's soccer,16
Tulsa Golden Hurricane men's soccer,17
Tulsa Golden Hurricane men's soccer,18
Tulsa Golden Hurricane men's soccer,20
Tulsa Golden Hurricane men's soccer,21
Tulsa Golden Hurricane men's soccer,22
Tulsa Golden Hurricane men's soccer,23
Tulsa Golden Hurricane men's soccer,24
Tulsa Golden Hurricane men's soccer,25
Tulsa Golden Hurricane men's soccer,28
Tulsa Golden Hurricane men's soccer,30
Tulsa Golden Hurricane men's soccer,31
2013 NSCAA Men's Soccer All-Americans,1
2013 NSCAA Men's Soccer All-Americans,2
2013 NSCAA Men's Soccer All-Americans,3
2013 NSCAA Men's Soccer All-Americans,4
2013 NSCAA Men's Soccer All-Americans,5
2013 NSCAA Men's Soccer All-Americans,6
2013 NSCAA Men's Soccer All-Americans,7
2013 NSCAA Men's Soccer All-Americans,8
2013 NSCAA Men's Soccer All-Americans,9
2013 NSCAA Men's Soccer All-Americans,10
2013 NSCAA Men's Soccer All-Americans,11
2013 NSCAA Men's Soccer All-Americans,12
2013 NSCAA Men's Soccer All-Americans,13
Plataneros de Corozal,1
Plataneros de Corozal,1
Plataneros de Corozal,1
Plataneros de Corozal,2
Plataneros de Corozal,2
Plataneros de Corozal,2
Plataneros de Corozal,3
Plataneros de Corozal,3
Plataneros de Corozal,3
Plataneros de Corozal,4
Plataneros de Corozal,4
Plataneros de Corozal,4
Plataneros de Corozal,5
Plataneros de Corozal,5
Plataneros de Corozal,5
Plataneros de Corozal,6
Plataneros de Corozal,6
Plataneros de Corozal,6
Plataneros de Corozal,7
Plataneros de Corozal,7
Plataneros de Corozal,7
Plataneros de Corozal,8
Plataneros de Corozal,8
Plataneros de Corozal,8
Plataneros de Corozal,9
Plataneros de Corozal,9
Plataneros de Corozal,9
Plataneros de Corozal,10
Plataneros de Corozal,10
Plataneros de Corozal,10
Plataneros de Corozal,11
Plataneros de Corozal,11
Plataneros de Corozal,11
Lekhwiya SC (handball),1
Lekhwiya Handball Team,1
Lekhwiya SC (handball),2
Lekhwiya Handball Team,2
Lekhwiya SC (handball),3
Lekhwiya Handball Team,3
Lekhwiya SC (handball),4
Lekhwiya Handball Team,4
Lekhwiya SC (handball),5
Lekhwiya Handball Team,5
Lekhwiya SC (handball),6
Lekhwiya Handball Team,6
Lekhwiya SC (handball),7
Lekhwiya Handball Team,7
Lekhwiya SC (handball),8
Lekhwiya Handball Team,8
Lekhwiya SC (handball),9
Lekhwiya Handball Team,9
Lekhwiya SC (handball),10
Lekhwiya Handball Team,10
Lekhwiya SC (handball),11
Lekhwiya Handball Team,11
Lekhwiya SC (handball),12
Lekhwiya Handball Team,12
Lekhwiya SC (handball),13
Lekhwiya Handball Team,13
Lekhwiya SC (handball),14
Lekhwiya Handball Team,14
Lekhwiya SC (handball),15
Lekhwiya Handball Team,15
Lekhwiya SC (handball),16
Lekhwiya Handball Team,16
UniKL HC,1
UniKL HC,2
UniKL HC,3
UniKL HC,4
UniKL HC,5
UniKL HC,6
UniKL HC,7
UniKL HC,8
UniKL HC,9
UniKL HC,10
UniKL HC,11
UniKL HC,12
UniKL HC,13
UniKL HC,14
UniKL HC,15
UniKL HC,16
UniKL HC,17
UniKL HC,18
UniKL HC,20
UniKL HC,21
UniKL HC,22
Yayasan Negeri Sembilan HC,1
Yayasan Negeri Sembilan HC,2
Yayasan Negeri Sembilan HC,3
Yayasan Negeri Sembilan HC,4
Yayasan Negeri Sembilan HC,5
Yayasan Negeri Sembilan HC,6
Yayasan Negeri Sembilan HC,7
Yayasan Negeri Sembilan HC,8
Yayasan Negeri Sembilan HC,9
Yayasan Negeri Sembilan HC,10
Yayasan Negeri Sembilan HC,11
Yayasan Negeri Sembilan HC,12
Yayasan Negeri Sembilan HC,13
Yayasan Negeri Sembilan HC,14
Yayasan Negeri Sembilan HC,15
Yayasan Negeri Sembilan HC,16
Yayasan Negeri Sembilan HC,17
Yayasan Negeri Sembilan HC,18
Yayasan Negeri Sembilan HC,19
Yayasan Negeri Sembilan HC,20
Yayasan Negeri Sembilan HC,21
VCU Rams women's soccer,0
VCU Rams women's soccer,2
VCU Rams women's soccer,3
VCU Rams women's soccer,4
VCU Rams women's soccer,5
VCU Rams women's soccer,6
VCU Rams women's soccer,8
VCU Rams women's soccer,9
VCU Rams women's soccer,11
VCU Rams women's soccer,12
VCU Rams women's soccer,13
VCU Rams women's soccer,15
VCU Rams women's soccer,16
VCU Rams women's soccer,17
VCU Rams women's soccer,18
VCU Rams women's soccer,19
VCU Rams women's soccer,20
VCU Rams women's soccer,21
VCU Rams women's soccer,22
VCU Rams women's soccer,23
VCU Rams women's soccer,24
VCU Rams women's soccer,25
VCU Rams women's soccer,27
VCU Rams women's soccer,32
VCU Rams women's soccer,33
VCU Rams women's soccer,35
VCU Rams women's soccer,36
