http://dbpedia.org/ontology/ProtectedArea,http://dbpedia.org/ontology/elevation
Parque estatal Lago Tahoe – Nevada,2401.82
McCarthy Beach State Park,420.929
Mormon Station State Historic Park,1457.86
Sakatah Lake State Park,327.965
South Fork State Recreation Area,1592.88
South River State Forest,74.0664
Spring Valley State Park,1788.87
Temperance River State Park,202.082
Temperance River State Park,202.082
Walker Lake State Recreation Area,1278.03
Wild Horse State Recreation Area,1905.0
Wilson State Park (Kansas),484.937
Bladen Lakes State Forest,4.572
Bladen Lakes State Forest,4.572
Colt State Park,10.0584
Mount Pilchuck State Park,1622.76
Alamo Lake State Park,335.89
Cat Lake First Nation,404.0
Première Nation de Cat Lake,404.0
City of Rocks State Park (New Mexico),1600.2
City of Rocks State Park,1600.2
El Pilar,200.0
El Pilar (sitio arqueológico),200.0
El Pilar,200.0
El Pilar (sito archeologico),200.0
El Pilar,200.0
"Indian Mounds Park (Saint Paul, Minnesota)",267.005
Indian Mounds Park,267.005
Leasburg Dam State Park,1280.16
Maharana Pratap Sagar,436.0
Mill Bluff State Park,291.084
Niobrara State Park,374.904
Oasis State Park,1249.68
Rio Grande Nature Center State Park,1524.0
Two Creeks Buried Forest State Natural Area,187.147
Bay View State Park,14.9352
Beaver Lake State Park,630.936
Beaver Lake State Park (North Dakota),630.936
Bellevue State Park (Iowa),245.974
Bigelow Hollow State Park,225.857
Bigelow Hollow State Park,225.857
Birch Bay State Park,10.0584
Blackstone River and Canal Heritage State Park,137.16
Bladon Springs State Park,39.9288
Blue Lake Provincial Park,382.0
Chattahoochee State Park,35.9664
Cheaha State Park,644.957
Chewacla State Park,143.866
Cross Ranch State Park,536.143
Cross Ranch State Park,536.143
Cunningham Falls State Park,380.086
Park stanowy Cunningham Falls,380.086
DeSoto State Park,491.947
Devil’s Hopyard State Park,59.1312
Devil's Hopyard State Park,59.1312
Devils Lake State Parks (North Dakota),455.981
Parc d'État d'Elk Knob,1682.5
Elk Knob State Park,1682.5
Elk Neck State Park,35.9664
Elk Rock State Park,250.85
Florala City Park,78.0288
Fort Revere Park,18.8976
Fort Revere Park,18.8976
Frank Jackson State Park,67.9704
Grand Gulf State Park,217.018
Grand Gulf State Park (Missouri),217.018
Gulf State Park,2.1336
Hammonasset Beach State Park,3.048
Hammonasset Beach State Park,3.048
Haw River State Park,243.84
Herrington Manor State Park,754.99
Park stanowy Herrington Manor,754.99
Indian Well State Park,17.9832
Indian Well State Park,17.9832
Jockey's Ridge State Park,30.48
Parc d'État de Jockey's Ridge,30.48
Lake Darling State Park,207.874
Lake Keomah State Park,241.097
Lake Lurleen State Park,71.0184
Lake of the Ozarks State Park,235.001
Lakepoint State Park,57.912
Lowell Heritage State Park,27.1272
Mastodon State Historic Site,127.102
Mastodon State Historic Site,127.102
Matapeake State Park,7.0104
Mattatuck State Forest,181.051
Mattatuck State Forest,181.051
Meaher State Park,0.9144
Parc d'État de Mount Holyoke Range,294.132
Mount Holyoke Range State Park,294.132
Mount Spokane State Park,1691.03
Mount Sugarloaf State Reservation,195.986
Nolte State Park,241.097
Palouse Falls State Park,238.963
Palouse Falls State Park,238.963
Isla de Patos (Estados Unidos),31.0896
Patos (isola),31.0896
Patos Island,31.0896
Paul M. Grist State Park,104.851
Red Haw State Park,298.094
Rickwood Caverns State Park,295.046
Robinson State Park,41.148
Robinson State Park,41.148
Rocks State Park,86.868
岩石州立公园,86.868
Semuc Champey,380.0
Semuc Champey,380.0
Semuc Champey,380.0
Semuc Champey,380.0
Sherwood Island State Park,3.048
Sherwood Island State Park,3.048
Siletz Bay,0.0
Siletz Bay National Wildlife Refuge,0.0
Turn Island,21.0312
West Rock Ridge State Park,96.9264
West Rock Ridge State Park,96.9264
Wind Creek State Park,188.062
Patagonia Lake State Park,1218.9
Afognak Island State Park,49.0728
Anderson Lake State Park,77.1144
Arizona Beach State Recreation Site,2.1336
Belfair State Park,3.048
Blind Island State Park,7.9248
Bogachiel State Park,106.07
Bogachiel State Park,106.07
Bottle Beach State Park,14.0208
Bridgeport State Park,302.971
Caddo Lake State Park,72.2376
Cama Beach State Park,24.9936
Clarksburg State Park,334.975
Conconully State Park,697.078
Curlew Lake State Park,732.13
Cutts Island State Park,13.1064
Dash Point State Park,56.0832
Dead Timber State Recreation Area,385.877
Deam Lake State Recreation Area,163.068
Dents Run Wildlife Management Area,307.848
Dosewallips State Park,36.8808
Dosewallips State Park,36.8808
Eagle Island State Park (Washington),9.144
Federated Women's Club State Forest,191.11
Federation Forest State Park,508.102
Fishermen's Memorial State Park,14.9352
Fort Morris Historic Site,7.0104
Fort Townsend State Park,57.912
Fort Townsend State Park,57.912
Geneva State Forest,64.008
Granville State Forest,363.931
Grayland Beach State Park,4.8768
Green River State Park,1234.44
Griffiths-Priday Ocean State Park,22.86
Hammond Pond Reservation,54.864
Hammond Pond Reservation,54.864
Hemlock Gorge Reservation,24.0792
Hemlock Gorge Reservation,24.0792
"Hope Island State Park (Skagit County, Washington)",47.8536
Ike Kinswa State Park,130.15
Jarrell Cove State Park,17.9832
Joemma Beach State Park,17.0688
Joseph Whidbey State Park,38.1
Kanaskat-Palmer State Park,245.059
Kenneth Dubuque Memorial State Forest,488.899
Kinney Point State Park,11.8872
Kitsap Memorial State Park,10.0584
Lake Easton State Park,672.998
Lake Easton State Park,672.998
Lake Scott State Park,862.889
Lewis and Clark State Park (Washington),138.074
Lewis and Clark Trail State Park,417.881
Lincoln Woods State Park,93.8784
Lowell-Dracut-Tyngsboro State Forest,46.0248
Madison Buffalo Jump State Park,1388.06
Madison Buffalo Jump State Park,1388.06
Mansfield Hollow State Park,64.008
Mansfield Hollow State Park,64.008
Maryhill State Park,54.864
Mashamoquet Brook State Park,181.051
McMicken Island State Park,0.9144
McMicken Island State Park,0.9144
Montgomery Bell State Park,231.038
Moose Brook State Park,326.136
Myles Standish Monument State Reservation,2.1336
Mystic River Reservation,3.048
Mystic River Reservation,3.048
Nahant Beach Reservation,0.0
Nahant Beach Reservation,0.0
Newton Hills State Park,398.983
Ocean City State Park,6.096
Okmulgee State Park,231.038
Old Furnace State Park,118.872
Old Furnace State Park,118.872
Olmstead Place State Park,469.087
Osbornedale State Park,124.968
Osbornedale State Park,124.968
Otter River State Forest,284.988
Pacific Beach State Park,4.8768
Paradise Point State Park,35.9664
Peacock Beach State Park,78.9432
Pearl Hill State Park,125.882
Pearrygin Lake State Park,638.861
Penrose Point State Park,7.0104
Peshastin Pinnacles State Park,391.973
Piute State Park,1798.32
Pleasant Harbor State Park,0.0
Posey Island State Park,3.9624
Quinsigamond State Park,111.252
Reed Island State Park,7.9248
Rumney Marsh Reservation,0.9144
Rumney Marsh Reservation,0.9144
Sacajawea State Park,106.07
Scantic River State Park,39.0144
Scantic River State Park,39.0144
Scenic Beach State Park,7.9248
Schafer State Park,38.1
Seaquest State Park,182.88
Sequim Bay State Park,32.9184
Shawme-Crowell State Forest,46.9392
Skagit Island State Park,27.1272
Smugglers' Notch State Park,645.871
Snake Den State Park,120.091
South Whidbey Island State Park,41.148
Southford Falls State Park,170.993
Southford Falls State Park,170.993
Squilchuck State Park,958.901
Steptoe Battlefield State Park,720.852
Stretch Point State Park,24.0792
Stuart Island State Park,27.1272
Sudbury Reservoir,75.8952
Twanoh State Park,49.9872
Twenty-Five Mile Creek State Park,419.1
Twin Harbors State Park,4.8768
Upper Charles River Reservation,25.908
Upper Charles River Reservation,25.908
Willard Brook State Forest,170.078
Wolfe's Neck Woods State Park,29.8704
Wykoff Run Natural Area,616.915
Yakima Sportsman State Park,309.067
Zekiah Swamp,0.9144
Above All State Park,448.056
Above All State Park,448.056
Aroostook State Park,298.094
Aroostook State Park,298.094
Beaver Brook State Park,100.889
Beaver Brook State Park,100.889
Becket Hill State Park Reserve,77.1144
Becket Hill State Park Reserve,77.1144
Bennett’s Pond State Park,160.02
Bennett's Pond State Park,160.02
Big Draft Wilderness,585.216
Birch Point State Park,7.0104
Bolton Notch State Park,193.853
Bolton Notch State Park,193.853
Bor Wildlife Sanctuary,460.0
Brainard Homestead State Park,68.8848
Brainard Homestead State Park,68.8848
Butte Saint Paul State Recreation Area,694.944
Camden Hills State Park,78.9432
Camden Hills State Park,78.9432
Camp Columbia State Park/State Forest,312.115
Camp Columbia State Park/State Forest,312.115
Castle Rocks State Park,1712.98
Charlestown Breachway State Beach,0.0
Coeur d'Alene Parkway State Park,666.598
Crow Flies High State Recreation Area,636.118
Damariscotta Lake State Park,17.0688
Dart Island State Park,2.1336
Dart Island State Park,2.1336
Day Pond State Park,141.122
Day Pond State Park,141.122
Dennis Hill State Park,494.081
Dennis Hill State Park,494.081
Doyle Memorial State Recreation Area,612.953
Dworshak State Park,487.68
East Beach State Beach,0.9144
East Matunuck State Beach,0.9144
Farmington Canal State Park Trail,41.148
Farmington Canal State Park Trail,41.148
Ferry Beach State Park,3.9624
Fort Point State Park,10.0584
Fort Point State Park,10.0584
Fort Stevenson State Park,573.938
Fort Stevenson State Park,573.938
Fort Wetherill State Park,20.1168
Gardner Lake State Park,117.958
George Dudley Seymour State Park,39.9288
George Dudley Seymour State Park,39.9288
George Waldo State Park,96.012
George Waldo State Park,96.012
Haddam Island State Park,3.048
Haddam Island State Park,3.048
Haddam Meadows State Park,3.048
Haddam Meadows State Park,3.048
Haines Memorial State Park,13.1064
Haley Farm State Park,13.1064
Haley Farm State Park,13.1064
Hawk Springs State Recreation Area,1364.89
Hawk Springs State Recreation Area,1364.89
Hopemead State Park,128.93
Hopeville Pond State Park,64.9224
Hopeville Pond State Park,64.9224
Housatonic Meadows State Park,157.886
Housatonic Meadows State Park,157.886
Humaston Brook State Park,224.028
Humaston Brook State Park,224.028
Hurd State Park,70.104
Hurd State Park,70.104
Jasen (reserve),2500.0
John A. Minetto State Park,395.021
John A. Minetto State Park,395.021
Kettletown State Park,46.0248
Kettletown State Park,46.0248
Killingly Pond State Park,178.918
Killingly Pond State Park,178.918
Lake Cascade State Park,1470.66
Lake Sakakawea State Park,576.072
Lake Walcott State Park,1432.56
Lamentation Mountain State Park,91.1352
Lamentation Mountain State Park,91.1352
Land of the Yankee Fork State Park,1524.3
Little Metigoshe State Recreation Area,651.967
Little River State Forest,49.0728
Lucky Peak State Park,838.2
Macedonia Brook State Park,324.917
Macedonia Brook State Park,324.917
Minnie Island State Park,121.006
Mono Pond State Park Reserve,164.897
Mono Pond State Park Reserve,164.897
Moose Point State Park,46.0248
Mooween State Park,139.903
Mooween State Park,139.903
Mount Bushnell State Park,359.054
Mount Bushnell State Park,359.054
Mount Riga State Park,270.053
Mount Riga State Park,270.053
Parque Natural da Terceira,500.0
Nature Park of Terceira,500.0
Naugatuck State Forest,227.99
Naugatuck State Forest,227.99
Pittsfield State Forest,590.093
Platt Hill State Park,395.935
Platt Hill State Park,395.935
Pomeroy State Park,142.951
Pomeroy State Park,142.951
Ponderosa State Park,1539.24
Priest Lake State Park,743.712
Quaddick State Park,135.026
Quaddick State Park,135.026
Quinebaug Lake State Park,60.0456
Quinebaug Lake State Park,60.0456
Quinnipiac River State Park,6.096
Quinnipiac River State Park,6.096
Rocky Glen State Park,98.1456
Rocky Glen State Park,98.1456
Roger Wheeler State Beach,3.9624
Ross Pond State Park,110.033
Ross Pond State Park,110.033
Round Lake State Park,646.786
Salty Brine State Beach,0.0
Selden Neck State Park,15.8496
Selden Neck State Park,15.8496
Seminoe State Park,1947.67
Seminoe State Park,1947.67
Shackford Head State Park,46.0248
Stillwater Pond State Park,223.114
Stillwater Pond State Park,223.114
Stoddard Hill State Park,45.1104
Stoddard Hill State Park,45.1104
Stratton Brook State Park,71.9328
Stratton Brook State Park,71.9328
Sully Creek State Park,690.067
Sunnybrook State Park,241.097
Sunnybrook State Park,241.097
Three Island Crossing State Park,757.123
Tri-Mountain State Park,202.082
Tri-Mountain State Park,202.082
Turtle River State Park,291.084
Wahconah Falls State Park,392.887
Whittemore Glen State Park,106.985
Whittemore Glen State Park,106.985
Willowdale State Forest,28.0416
Winchester Lake State Park,1188.72
Windsor Meadows State Park,3.9624
Windsor Meadows State Park,3.9624
Windsor State Forest,569.062
Wooster Mountain State Park,163.068
Wooster Mountain State Park,163.068
World War II Veterans Memorial State Park,42.0624
Brush Lake State Park,597.103
Morris Creek Wildlife Management Area,188.976
Sleaford Mere,20.0
Alta Lake State Park,410.87
Calvert Cliffs State Park,34.1376
Fairfax Stone Historical Monument State Park,965.911
Garden Island State Recreation Area,324.002
Région d'État récréative de Garden Island,324.002
Greenbrier River Trail,644.957
Meramec State Park,174.041
Onondaga Cave State Park,223.114
Presque Isle State Park,175.565
Parc d'État de Presque Isle,175.565
Presque Isle State Park,175.565
Park stanowy Presque Isle,175.565
派斯克小岛州立公园,175.565
Roosevelt State Park,153.924
Wadsworth Falls State Park,53.0352
Wadsworth Falls State Park,53.0352
Guernsey State Park,1342.95
Guernsey State Park,1342.95
Becky Creek Wildlife Management Area,746.76
Beury Mountain Wildlife Management Area,868.68
Big Ditch Wildlife Management Area,683.057
Big Ugly Wildlife Management Area,188.976
Black Hawk State Park,373.99
Bluestone Wildlife Management Area,527.914
Brushy Creek State Recreation Area,320.04
Burr Pond State Park,301.142
Burr Pond State Park,301.142
Camano Island State Park,42.9768
Cobscook Bay State Park,13.1064
Cobscook Bay State Park,13.1064
Cranberry Wilderness,1036.32
Parc d'État de Dismal Swamp,4.8768
Dismal Swamp State Park,4.8768
Elk Creek Wildlife Management Area,252.984
Elk River Wildlife Management Area,289.56
Fort Ransom State Park,345.948
Fort Ransom State Park,345.948
Gunpowder Falls State Park,13.1064
Halfway Lake Provincial Park,441.0
Handley Wildlife Management Area,965.911
Huttonsville State Farm Wildlife Management Area,616.915
Kumbrabow State Forest,1068.93
Lake Metigoshe State Park,655.93
Lantz Farm and Nature Preserve Wildlife Management Area,225.857
Little Indian Creek Wildlife Management Area,304.8
Lyons Ferry Park,363.017
Mont Chateau State Park,321.869
North Point State Park,3.048
Olson Observation Tower,1138.73
Panther Wildlife Management Area,502.92
Penwood State Park,163.068
Penwood State Park,163.068
Pocomoke River State Park,2.1336
Rainbow Falls State Park,100.889
Rainbow Falls State Park,100.889
Riverside State Park,566.014
Roland Cooper State Park,24.0792
Seneca State Forest,989.076
Slatyfork Wildlife Management Area,822.96
Smoke Camp Wildlife Management Area,417.576
Snake Hill Wildlife Management Area,498.043
Squantum Point Park,0.0
Squantum Point Park,0.0
Stonecoal Lake Wildlife Management Area,348.996
Tolmie State Park,22.86
Two Lights State Park,20.1168
Two Lights State Park,20.1168
Valley Bend Wildlife Management Area,605.942
Wallback Wildlife Management Area,314.858
Wallis Sands State Beach,0.0
Walnut Woods State Park,249.936
Watkins Woolen Mill State Park and State Historic Site,273.101
Wharton Brook State Park,11.8872
Wharton Brook State Park,11.8872
Ackley Lake State Park,1321.92
Clark's Lookout State Park,1321.92
Fort Hartsuff State Historical Park,648.005
Meade State Park,754.075
Pomona State Park,312.115
Sand Hills State Park,472.44
Webster State Park,588.874
Council Grove State Park,974.75
Placid Lake State Park,1260.04
Salmon Lake State Park,1190.85
Backbone State Park,334.975
Hilbert Wildlife Management Area,259.08
Hot Springs State Park,1329.84
Hot Springs State Park,1329.84
Legion State Park,138.074
Mohawk State Forest,423.062
Mohawk State Forest,423.062
Rockport State Park (Washington),142.951
Rockport State Park (Washington),142.951
Scarborough Beach (Rhode Island),3.048
The Jug,274.32
Tuckahoe State Park,3.9624
Westport Light State Park,3.9624
Van Sickle Bi-State Park,1915.06
"Granite, Montana",2133.9
Granite (Montana),2133.9
Lacey-Keosauqua State Park,223.114
Pilot Knob State Park,416.052
Roper Lake State Park,954.024
Skokie Lagoons,188.976
Beeds Lake State Park,345.948
Mini-Wakan State Park,427.939
Pikes Point State Park,440.131
Preparation Canyon State Park,398.069
Trapper's Bay State Park,445.922
Mesilla Valley Bosque State Park,1188.72
Quail Creek State Park,1005.84
Recreational Forest Reserve of Pinhal da Paz,255.0
Parque nacional de Saiful Muluk,3272.03
Сайфул-Мулук (национальный парк),3272.03
Saiful Muluk National Park,3272.03
Vápenice (natural monument),275.0
Fossil Lake (Oregon),1309.12
Fox Forest Wildlife Management Area,616.915
Springfield Wildlife Management Area,329.184
Grinderwald,101.0
Grinderwald,101.0
Big Lake State Park,262.128
Pine Lake State Park,296.875
Blue Mounds State Park,490.118
Parc d'État des Blue Mounds,490.118
Canaan Valley National Wildlife Refuge,1000.96
Cass Scenic Railroad State Park,743.102
Casselman Bridge,644.042
卡叟曼橋州立公園 (馬里蘭州),644.042
Castlewood State Park,127.102
Cutler Park (Massachusetts),27.1272
Cutler Park,27.1272
Dyer State Wayside,740.969
Goddard Memorial State Park,11.8872
Lake Anita State Park,409.042
Larrabee State Park,330.098
Larrabee State Park,330.098
Monson Lake State Park,381.914
Parque Estatal Nickerson,25.908
Nickerson State Park,25.908
Pawling Nature Reserve,243.84
Park stanowy South Mountain,473.964
South Mountain State Park,473.964
"Summit Lake (Willow, Alaska)",1097.28
Table Rock State Park (Missouri),270.967
Table Rock State Park (Missouri),270.967
Chadron State Park,1218.9
Elinor Bedell State Park,429.158
George Wyth Memorial State Park,259.08
Bosque de Saranda,550.0
Sarandabos,550.0
Saranda forest,550.0
Sica Hollow State Park,542.849
Kondelwald,477.5
Kondelwald,477.5
Motuora,67.0
Parc d'État de Sand Hollow,914.4
Sand Hollow State Park,914.4
Bearskin Lake First Nation,230.0
Forrestdale Lake,22.0
High Rock Lake Wilderness,1852.0
Pawnee Buttes,1594.0
Parc d'État de Pikes Peak,302.971
Pikes Peak State Park,302.971
Podkovák Nature Reserve,700.0
Lac Vaseux,357.0
Vaseux Lake,357.0
Ancient Chernihiv,136.0
Antelope Island bison herd,1325.88
Botanical Garden of Faial,114.0
Charlie Elliott Wildlife Center,231.953
Charlie Elliott Wildlife Center,232.0
Fielding Garr Ranch,1325.88
First Peoples Buffalo Jump State Park,1150.01
First Peoples Buffalo Jump State Park,1150.01
Grafton Notch State Park,487.985
Grafton Notch State Park,487.985
Gull Point State Park,430.073
Halibut Point State Park,6.096
Halibut Point State Park,6.096
Halibut Point State Park,6.096
Hemlock Bluffs Nature Preserve,125.882
Icelandic State Park,295.961
Icelandic State Park,295.961
Ivanhoe Lake Provincial Park,354.0
Lake Ahquabi State Park,262.128
Lovers Leap State Park,157.886
Lovers Leap State Park,157.886
Nature Park of Faial,877.0
Nauradehi Wildlife Sanctuary,600.0
Porphyry Island Provincial Park,186.0
Seine River First Nation,341.0
Swan Lake State Park,60.96
Theodore Roosevelt State Natural Area,2.1336
Thompson Falls State Park,719.938
Vaughan Woods State Park,38.1
Warren Island State Park,15.8496
Whitefish Lake State Park,918.058
Cerrillos Hills State Park,1828.8
Dangberg Home Ranch Historic Park,1434.08
Dangberg Home Ranch Historic Park,1434.08
Egg Rock,39.0
Fall River State Park,291.084
Hillsdale State Park,282.854
Indian Cave State Park,335.89
Lost Dutchman State Park,627.888
Lovewell State Park,487.985
Perry State Park,295.961
Springbrook State Park,339.852
Sumner Lake State Park,1310.64
Thousand Springs State Park,853.44
Ute Lake State Park,1188.72
Ambrose A. Call State Park,373.075
Parque nacional de Chinji,680.009
Chinji National Park,680.009
Chumbi Surla Wildlife Sanctuary,754.38
Jardim Duque da Terceira,29.0
Duke of Terceira Garden,29.0
Escalante Petrified Forest State Park,1798.32
Flight Park State Recreation Area,1568.5
Frontier Homestead State Park Museum,1767.84
Great Indian Bustard Sanctuary),351.0
Gunlock State Park,1097.28
Huntington State Park,1780.03
Jordan River Off-Highway Vehicle State Recreation Area,1432.56
Lake Havasu State Park,177.089
Parc d'État de Millsite,1859.28
Millsite State Park,1859.28
Odessa-Meteor-Krater,930.0
Odessa Meteor Crater,930.0
Odessa (krater),930.0
奧德薩隕石坑,930.0
Odessa Meteor Crater,930.0
Palisade State Park,1767.84
Cataratas de Sitting Bull,1524.0
Sitting Bull Falls,1524.0
Spirit Mound Historic Prairie,390.144
Beltzville State Park,192.938
Bendigo State Park,455.066
Brenton Point State Park,7.9248
Cabwaylingo State Forest,302.971
Calvin Price State Forest,832.104
Coopers Rock State Forest,658.063
Dans Mountain State Park,672.998
Fort Adams State Park,2.1336
Greenbrier State Forest,965.911
Ice Mountain,459.943
Konza Prairie Biological Station,330.0
Millers Pond State Park,175.87
Millers Pond State Park,175.87
Salmon River State Forest,131.064
Salmon River State Forest,131.064
South Branch Wildlife Management Area,278.892
Talcott Mountain State Park,278.892
Talcott Mountain State Park,278.892
Archbald Pothole State Park,369.113
Bald Eagle State Park,291.998
Beavertail State Park,3.048
Brooks Memorial State Park,1186.89
Cuivre River State Park,167.03
Dinosaur State Park,56.9976
Arboreto y parque estatal Dinosaurio,56.9976
Dinosaur State Park and Arboretum,56.9976
Gathland State Park,292.913
Gay City State Park,175.87
Gay City State Park,175.87
Kent Falls State Park,242.011
Kent Falls State Park,242.011
Lehigh Gorge State Park,313.03
Leonard Harrison State Park,555.041
Parc d'État Leonard Harrison,555.041
Leonard Harrison State Park,555.041
Nantasket Beach,0.0
Nantasket Beach,0.0
October Mountain State Forest,561.137
Oliver Lee Memorial State Park,1329.84
Perryville Battlefield State Historic Site,262.128
Pillsbury State Park,529.133
Potholes State Park,324.002
Red Hills State Park,156.972
Reid State Park,17.9832
Stonewall Jackson Lake State Park,333.146
Parc d'État de Trail of Tears,148.133
Trail of Tears State Park,148.133
William Whitley House State Historic Site,285.902
Cross Creek Wildlife Management Area,245.364
Dead Horse Ranch State Park,1014.07
Greenwell State Park,9.144
Haystack Mountain State Park,506.882
Haystack Mountain (Connecticut),506.882
Calico Mountains Wilderness,2085.0
Coyote Creek State Park,2346.96
Five Islands Nature Reserve,16.0
Lewis and Clark State Park (Iowa),319.126
Lewis and Clark State Park (North Dakota),579.12
Lewis and Clark State Park (North Dakota),579.12
Painted Rocks State Park,1439.88
Steinaker State Park,1676.4
Chimney Rock State Park,877.824
Parc d'État de Chimney Rock,877.824
チムニー・ロック州立公園,877.824
Edness K. Wilkins State Park,1569.72
Edness K. Wilkins State Park,1569.72
Beaver Brook Reservation,28.0416
Beaver Brook Reservation,28.0416
Camp Creek State Park,620.878
Parque nacional El Rosario,150.0
El Rosario National Park,150.0
Cockaponset State Forest,131.064
Cockaponset State Forest,131.064
Red Rock State Park,1188.72
Steamboat Rock State Park,601.98
Pachaug State Forest,139.903
Pachaug State Forest,139.903
Villanueva State Park,1706.88
Parc provincial Aaron,382.0
Aaron Provincial Park,382.0
Doe Island State Park,10.9728
Holbrook Island Sanctuary State Park,17.9832
Lake St. George State Park,209.093
Lamoine State Park,18.8976
Popham Beach State Park,6.096
Popham Beach State Park,6.096
Range Ponds State Park,93.8784
Rangeley Lake State Park,462.991
Roque Bluffs State Park,6.096
Algonquin State Forest,170.078
Algonquin State Forest,170.078
American Legion State Forest,181.051
American Legion State Forest,181.051
Centennial Watershed State Forest,85.9536
Centennial Watershed State Forest,85.9536
Chapman State Park (Maryland),0.9144
Cheat Canyon Wildlife Management Area,187.757
Chester-Blandford State Forest,312.115
Enders State Forest,277.063
Enders State Forest,277.063
Fairfax Pond-Rehe Wildlife Management Area,548.64
Fort Stark,0.0
Fort Stark,0.0
Hampton Ponds State Park,75.8952
Housatonic State Forest,348.996
Housatonic State Forest,348.996
James L. Goodwin State Forest,196.901
James L. Goodwin State Forest,196.901
Lake Lorraine State Park,63.0936
Massacoe State Forest,106.07
Massacoe State Forest,106.07
Nassahegon State Forest,225.857
Nassahegon State Forest,225.857
Nathan Hale State Forest,170.993
Nathan Hale State Forest,170.993
Nehantic State Forest,86.868
Nehantic State Forest,86.868
Nepaug State Forest,177.089
Nepaug State Forest,177.089
Newtowne Neck State Park,3.9624
Holman State Forest,205.13
Nye-Holman State Forest,205.13
Paugnut State Forest,334.975
Paugnut State Forest,334.975
Paugussett State Forest,113.081
Paugussett State Forest,113.081
Peoples State Forest,260.909
Peoples State Forest,260.909
Pootatuck State Forest,333.146
Pootatuck State Forest,333.146
Quaddick State Forest,145.085
Quaddick State Forest,145.085
Tunxis State Forest,309.067
Tunxis State Forest,309.067
Upton State Forest,153.01
Westhaven State Park,0.9144
White Memorial Foundation,281.33
Whitehall State Park,107.899
Wyantenock State Forest,413.004
Wyantenock State Forest,413.004
Prairie Dog State Park,716.89
Prairie Dog State Park,716.89
Parc d'État Anasazi,2042.16
Anasazi State Park Museum,2042.16
Berlin-Ichthyosaur State Park,2125.98
Park stanowy Berlin-Ichthyosaur,2125.98
Berlin–Ichthyosaur State Park,2125.98
Briery Mountain Wildlife Management Area,573.024
Burches Run Wildlife Management Area,243.23
Cecil H. Underwood Wildlife Management Area,438.912
Center Branch Wildlife Management Area,358.14
Clyde Holliday State Recreation Site,875.995
Deer Creek State Park,1645.92
Mines of Spain State Recreation Area and E. B. Lyons Nature Center,228.905
Spread Eagle Barrens State Natural Area,341.986
Sugarite Canyon State Park,2118.36
Vietnam Veterans Memorial State Park,2590.8
Alexander 134,695.0
Alexander Indian Reserve No. 134,695.0
Pruntytown State Farm Wildlife Management Area,379.476
Ritchie Mines Wildlife Management Area,240.792
Shannondale Springs Wildlife Management Area,115.214
Sleepy Creek Wildlife Management Area,263.957
Stumptown Wildlife Management Area,223.723
Tate Lohr Wildlife Management Area,725.424
Teter Creek Lake Wildlife Management Area,566.928
Thorn Creek Wildlife Management Area,597.408
Tug Fork Wildlife Management Area,438.912
Upper Deckers Creek Wildlife Management Area,521.208
Upper Mud River Wildlife Management Area,226.466
Widmeyer Wildlife Management Area,210.312
Woodrum Lake Wildlife Management Area,224.028
Thomsons Lake,12.0
