http://dbpedia.org/ontology/Wrestler,http://dbpedia.org/ontology/height
Malia Hosaka,1.6256
マリア・ホサカ,1.6256
Matt Striker,1.778
Matt Striker,1.778
Matthew Kaye,1.778
Matt Striker,1.778
マット・ストライカー,1.778
Matthew Kaye,1.778
Matt Striker,1.778
ميشيل مكول,1.778
Michelle McCool,1.778
Michelle McCool,1.778
Michelle McCool,1.778
Michelle McCool,1.778
Michelle McCool,1.778
ミシェル・マクール,1.778
Michelle McCool,1.778
Michelle McCool,1.778
Michelle McCool,1.778
"Маккул, Мишель",1.778
Miguel Pérez (wrestler),1.8542
Moose (wrestler),1.9558
Quinn Ojinnaka,1.9558
El Pantera (luchador),1.71
エル・パンテーラ,1.71
Pantera (wrestler),1.71
Ramazan Şahin,1.7
Ramazan Şahin,1.7
Ramazan Şahin,1.7
Ramazan Şahin,1.7
"Шахин, Рамазан",1.7
Ramazan Şahin,1.7
Randy Anderson,1.7018
راندي سافاج,1.8542
Randy Savage,1.8542
Randy Savage,1.8542
Randy Savage,1.8542
Randy Savage,1.8542
Randy Savage,1.8542
ランディ・サベージ,1.8542
Randy Savage,1.8542
Randy Savage,1.8542
Randy Savage,1.8542
"Сэвидж, Рэнди",1.8542
蘭迪·沙瓦吉,1.8542
Raven (wrestler),1.8542
سكوت ليفي,1.8542
Raven (Wrestler),1.8542
Raven (luchador),1.8542
Scott Levy,1.8542
Raven (wrestler),1.8542
レイヴェン (プロレスラー),1.8542
Scott Levy,1.8542
Scott Levy,1.8542
Рэйвен (рестлер),1.8542
Ray (プロレスラー),1.62
Ray (wrestler),1.62
Reby Sky,1.651
Reby Sky,1.651
Road Warrior Hawk,1.905
Michael Hegstrand,1.905
Road Warrior Hawk,1.905
Michael Hegstrand,1.905
Road Warrior Hawk,1.905
ロード・ウォリアー・ホーク,1.905
Road Warrior Hawk,1.905
Road Warrior Hawk,1.905
Дорожный Воин Ястреб,1.905
Rodney (wrestler),1.8542
Rodney Leinhardt,1.8542
Rodney Leinhardt,1.8542
Ron Hutchison,1.778
Sapphire (wrestler),1.5748
Juanita Wright,1.5748
Juanita Wright,1.5748
Scotty 2 Hotty,1.7272
سكوتي تو هوتي,1.7272
Scott Garland,1.7272
Scott Garland,1.7272
Scotty 2 Hotty,1.7272
Scott Garland,1.7272
スコット・ガーランド,1.7272
Scott Garland,1.7272
Scott Garland,1.7272
Scotty Riggs,1.905
سيث رولينز,1.8542
Seth Rollins,1.8542
Seth Rollins,1.8542
Seth Rollins,1.8542
Seth Rollins,1.8542
コルビー・ロペス,1.8542
Seth Rollins,1.8542
Colby Lopez,1.8542
Seth Rollins,1.8542
Seth Rollins,1.8542
Сет Роллинс,1.8542
賽特·羅林斯,1.8542
Stanczo Kolew,1.68
"Колев, Станчо",1.68
Stancho Kolev,1.68
أولتيمت واريور,1.8796
The Ultimate Warrior,1.8796
Warrior (Wrestler),1.8796
The Ultimate Warrior,1.8796
The Ultimate Warrior,1.8796
The Ultimate Warrior,1.8796
アルティメット・ウォリアー,1.8796
James Hellwig,1.8796
The Ultimate Warrior,1.8796
Warrior (lutador),1.8796
Последний Воин (рестлер),1.8796
終極戰士 (摔角手),1.8796
The Warlord (wrestler),1.9558
Terry Szopinski,1.9558
The Warlord,1.9558
テリー・スゾピンスキー,1.9558
Tom Prichard,1.778
Tom Prichard,1.778
Tom Prichard,1.778
トム・プリチャード,1.778
Tom Prichard,1.778
Tom Prichard,1.778
Van Hammer,1.9812
Van Hammer,1.9812
Jamie Szantyr,1.6764
Velvet Sky,1.6764
Velvet Sky,1.6764
Velvet Sky,1.6764
Velvet Sky,1.6764
Velvet Sky,1.6764
Velvet Sky,1.6764
Velvet Sky,1.6764
Вэлвит Скай,1.6764
Wahoo McDaniel,1.8542
Wahoo McDaniel,1.8542
Wahoo McDaniel,1.8542
Wahoo McDaniel,1.8542
ワフー・マクダニエル,1.8542
Wahoo McDaniel,1.8542
William Miller (Australian athlete),1.778
Yoshinari Ogawa,1.8
Yoshinari Ogawa,1.8
小川良成,1.8
Yuji Hino,1.78
火野裕士,1.78
Yuji Hino,1.78
Arkangel de la Muerte,1.75
アルカンヘル・デ・ラ・ムエルテ,1.75
Arkangel de la Muerte,1.75
Curt Hennig,1.905
كيرت هينينج,1.905
Curt Hennig,1.905
Curt Hennig,1.905
Curt Hennig,1.905
Curt Hennig,1.905
カート・ヘニング,1.905
Curt Hennig,1.905
Curt Hennig,1.905
"Хенниг, Курт",1.905
柯爾提·漢尼格,1.905
Jumbo Tsuruta,1.97
Jumbo Tsuruta,1.97
Jumbo Tsuruta,1.97
ジャンボ鶴田,1.97
Larry Hennig,1.9558
Larry Hennig,1.9558
Larry Hennig,1.9558
ラリー・ヘニング,1.9558
Lollipop (wrestler),1.7018
Lonnie Mayne,1.8288
Lonnie Mayne,1.8288
ロニー・メイン,1.8288
Ox Baker,1.9558
Ox Baker,1.9558
オックス・ベーカー,1.9558
ターザン後藤,1.78
Tarzan Goto,1.78
Tarzan Goto,1.78
بيج دادي في,2.0574
Viscera (wrestler),2.0574
Nelson Frazier,2.0574
"Nelson Frazier, Jr.",2.0574
"Nelson Frazier, Jr.",2.0574
Viscera,2.0574
ネルソン・フレイジャー・ジュニア,2.0574
Nelson Frazier Jr.,2.0574
Nelson Frazier Jr.,2.0574
"Nelson Frazier, Jr.",2.0574
"Фрейзер, Нельсон",2.0574
尼尔森·佛雷瑟二世,2.0574
Agasi Manukián,1.65
"Манукян, Агаси Цолакович",1.65
Aghasi Manukyan,1.65
Jasmin Areebi,1.6002
Aliyah (wrestler),1.6002
Aliyah (wrestler),1.6002
Allie Morrison,1.651
Allie Morrison,1.651
Allie Morrison,1.651
Allie Morrison,1.651
"Моррисон, Элли",1.651
سيزارو (مصارع),1.9558
Claudio Castagnoli,1.9558
Antonio Cesaro,1.9558
Cesaro,1.9558
Claudio Castagnoli,1.9558
Antonio Cesaro,1.9558
クラウディオ・カスタニョーリ,1.9558
Claudio Castagnoli,1.9558
Cesaro (wrestler),1.9558
Antonio Cesaro,1.9558
"Кастаньоли, Клаудио",1.9558
安東尼奧·希薩羅,1.9558
Arvo Haavisto,1.72
Arvo Haavisto,1.72
Arvo Haavisto,1.72
Arvo Haavisto,1.72
"Хаависто, Арво",1.72
أوستن أرييس,1.7526
Austin Aries,1.7526
Austin Aries,1.7526
Austin Aries,1.7526
Austin Aries,1.7526
Austin Aries,1.7526
オースチン・エリーズ,1.7526
Austin Aries,1.7526
Austin Aries,1.7526
Austin Aries,1.7526
Bronco (wrestler),1.92
チーズバーガー (プロレスラー),1.7272
Cheeseburger (wrestler),1.7272
Daisuke Harada,1.68
原田大輔,1.68
Daisuke Harada,1.68
Daisuke Sekimoto,1.75
Daisuke Sekimoto,1.75
Daisuke Sekimoto,1.75
Daisuke Sekimoto,1.75
関本大介,1.75
Disco Inferno (wrestler),1.8542
Glenn Gilbertti,1.8542
Glenn Gilberti,1.8542
ディスコ・インフェルノ,1.8542
Glenn Gilbertti,1.8542
Doug Basham,1.8796
Doug Basham,1.8796
Doug Basham,1.8796
Doug Basham,1.8796
ダグ・バシャム,1.8796
Doug Basham,1.8796
エル・ソラール,1.73
El Solar,1.73
Emile Duprée,1.8288
Eric Young (wrestler),1.8034
Eric Young (Wrestler),1.8034
Eric Young,1.8034
Eric Young (wrestler),1.8034
Eric Young (catcheur),1.8034
エリック・ヤング (プロレスラー),1.8034
Eric Young (worstelaar),1.8034
Eric Young,1.8034
Erwin Caraballo,1.85
Erwin Caraballo,1.85
イーヴィー,1.6764
Evie (wrestler),1.6764
Fabulous Blitzkrieg,1.6764
Jay Ross,1.6764
Franco Benedetti,1.71
Franco Benedetti,1.71
Yoshito Sugamoto,1.7
Gamma (wrestler),1.7
Gamma,1.7
Garett Bischoff,1.8288
Garett Bischoff,1.8288
Garett Bischoff,1.8288
ギャレット・ビショフ,1.8288
Garett Bischoff,1.8288
Garett Bischoff,1.8288
Garett Bischoff,1.8288
Garett Bischoff,1.8542
Garett Bischoff,1.8542
Garett Bischoff,1.8542
ギャレット・ビショフ,1.8542
Garett Bischoff,1.8542
Garett Bischoff,1.8542
Garett Bischoff,1.8542
Gary Hart (wrestler),1.905
ゲーリー・ハート (プロレスラー),1.905
Germán Figueroa,1.9304
Germán Figueroa,1.9304
Hangman Hughes,1.9558
Jack Gallagher (wrestler),1.7272
Jamin Olivencia,1.778
Jamin Olivencia,1.778
ジェイミン・オリヴェンシア,1.778
Jamin Olivencia,1.778
ジャン・ウィルキンス,1.8288
Jan Wilkens,1.8288
Jerry Lawler,1.8288
جيري لولر,1.8288
Jerry Lawler,1.8288
Jerry Lawler,1.8288
Jerry Lawler,1.8288
Jerry Lawler,1.8288
ジェリー・ローラー,1.8288
Jerry Lawler,1.8288
Jerry Lawler,1.8288
"Лоулер, Джерри",1.8288
傑利·勞勒,1.8288
Joker (wrestler),1.8034
Jon Trosky,1.7272
Kenny Williams (wrestler),1.7526
Kevin Sullivan (wrestler),1.7272
Kevin Sullivan (Wrestler),1.7272
Kevin Sullivan,1.7272
Kevin Sullivan,1.7272
Kevin Sullivan (wrestler),1.7272
ケビン・サリバン,1.7272
Kevin Sullivan,1.7272
Kyoko Inoue,1.66
井上京子 (プロレスラー),1.66
Lady Victoria,1.6002
ليلى إل,1.524
Layla El,1.524
Layla El,1.524
Layla El,1.524
Layla El,1.524
Layla El,1.524
レイラ・エル,1.524
Layla El,1.524
Layla El,1.524
Layla El,1.524
"Эл, Лейла",1.524
蕾拉·埃爾,1.524
Mark Rocco,1.7272
Mark Rocco,1.7272
マーク・ロコ,1.7272
Mikel Scicluna,1.905
Baron Mikel Scicluna,1.905
Mikel Scicluna,1.905
マイケル・シクルナ,1.905
Mikel Scicluna,1.905
Mkhitar Manukyan,1.66
Mchitar Manukjan,1.66
Mjitar Manukián,1.66
Mkhitar Manukyan,1.66
ムヒタル・マヌキャン,1.66
Mychitar Manukian,1.66
"Манукян, Мхитар Размикович",1.66
Nobukazu Hirai,1.85
平井伸和,1.85
Nobukazu Hirai,1.85
Perro Aguayo,1.78
Perro Aguayo,1.78
ペロ・アグアヨ,1.78
Perro Aguayo,1.78
Rocco Rock,1.8796
Rocco Rock,1.8796
Rocco Rock,1.8796
Rocco Rock,1.8796
Roy Bevis,1.8034
Roy Bevis,1.8034
柳澤龍志,1.905
Ryūshi Yanagisawa,1.905
Savio Vega,1.8034
Savio Vega,1.8034
Savio Vega,1.8034
Savio Vega,1.8034
サビオ・ベガ,1.8034
Savio Vega,1.8034
Savio Vega,1.8034
Steve Lawler (wrestler),1.8542
Stuart Tomlinson,1.8288
Stuart Tomlinson,1.8288
ステュアート・トムリンソン,1.8288
Tiger Joginder Singh,1.778
Tony Rumble,1.9304
倉垣翼,1.62
Tsubasa Kuragaki,1.62
Al Green (wrestler),1.9304
Al Green (luchador profesional),1.9304
Araik Geworgjan,1.65
Arayik Guevorguian,1.65
"Геворгян, Ара Грачьевич",1.65
Arayik Gevorgyan,1.65
Bob Armstrong,1.8034
Bob Armstrong,1.8034
Bob Armstrong (catch),1.8034
ボブ・アームストロング,1.8034
Joseph James,1.8034
Bob Roop,1.8796
ボブ・ループ,1.8796
Bonnie Maxon,1.524
ボニー・マクソン,1.524
Edward Leslie,1.905
Brutus Beefcake,1.905
Edward Leslie,1.905
Brutus Beefcake,1.905
ブルータス・ビーフケーキ,1.905
Edward Leslie,1.905
Edward Leslie,1.905
Brutus Beefcake,1.905
Chastity (wrestling),1.6256
Denise Riffle,1.6256
Claude Giroux (wrestler),1.2192
Claude Giroux,1.2192
Dave Ruhl,1.7526
Dennis Condrey,1.8288
デニス・コンドリー,1.8288
Elina Vaseva,1.67
Elina Wasewa,1.67
Elina Vaseva,1.67
Eri Tōsaka,1.52
Eri Tosaka,1.52
Eri Tōsaka,1.52
Eri Tōsaka,1.52
登坂絵莉,1.52
Eri Tōsaka,1.52
Eri Tosaka,1.52
"Тосака, Эри",1.52
Eri Tosaka,1.52
Franco Columbo,1.73
Gypsy Joe,1.524
ジプシー・ジョー,1.524
Ilgar Abdulov,1.75
Isao Takagi,1.9
Isao Takagi,1.9
高木功,1.9
Iwan Sergejewitsch Jarygin,1.9
Ivan Yarygin,1.9
Iwan Jarygin,1.9
"Ярыгин, Иван Сергеевич",1.9
Ivan Yarygin,1.9
Jillian Hall,1.6764
Jillian Hall,1.6764
Jillian Hall,1.6764
Jillian Hall,1.6764
Jillian Hall,1.6764
ジリアン・フレッチャー,1.6764
Jillian Hall,1.6764
Jillian Fletcher,1.6764
Jillian Hall,1.6764
"Холл, Джиллиан",1.6764
Junji Hirata,1.83
Super Strong Machine,1.83
平田淳嗣,1.83
矢野啓太,1.81
Keita Yano,1.81
Kenneth Patera,1.87325
Ken Patera,1.87325
Ken Patera,1.87325
Ken Patera,1.87325
ケン・パテラ,1.87325
Ken Patera,1.87325
Kim Il-ong,1.58
Kim Il (wrestler),1.58
Kim Il (lutteur),1.58
Kim Il-ong,1.58
Ким Иль Ён,1.58
La Parka,1.8542
L. A. Park,1.8542
La Parka,1.8542
Adolfo Tapia,1.8542
ラ・パルカ,1.8542
La Parka,1.83
Jesus Escoboza,1.83
La Parka II,1.83
Lee Marshall (announcer),1.778
Lee Marshall,1.778
"Маршалл, Ли",1.778
Mogamed Ibragimov,1.8
Mogamed Ibraguimov,1.8
Mogamed Ibragimov,1.8
モガメド・イブラギモフ,1.8
Mogamed Ibragimow,1.8
"Ибрагимов, Магомед Ибрагимхалилович",1.8
Magomed Ibragimhalilovich Ibragimov,1.8
Manabu Murakami,1.74
卍丸 (プロレスラー),1.74
Manabu Murakami,1.74
Manabu Nakanishi,1.86
Manabu Nakanishi,1.86
Manabu Nakanishi,1.86
中西学,1.86
Manabu Nakanishi,1.86
マルセラ (プロレスラー),1.55
Marcela (wrestler),1.55
Mario Milano,1.9558
マリオ・ミラノ,1.9558
Mayumi Ozaki,1.55
尾崎魔弓,1.55
Michael Modest,1.778
マイケル・モデスト,1.778
Michael Modest,1.778
Mike Bucci,1.524
Mike Bucci,1.524
Mike Bucci,1.524
マイク・ブッチ,1.524
Michael Bucci,1.524
Mitsunobu Kikuzawa,1.7
Mitsunobu Kikuzawa,1.7
菊タロー,1.7
野崎渚,1.67
Nagisa Nozaki,1.67
Nicolae Martinescu,1.83
Nicolae Martinescu,1.83
Nicolae Martinescu,1.83
Nicolae Martinescu,1.83
"Мартинеску, Николае",1.83
尼古拉·马丁内斯库,1.83
Nicolae Martinescu,1.83
Otschirbatyn Burmaa,1.76
Ochirbatyn Burmaa,1.76
Oczirbatyn Burmaa,1.76
Очирбатын Бурма,1.76
Ochirbatyn Burmaa,1.76
Otschirbatyn Nasanburmaa,1.68
Oczirbatyn Nasanburmaa,1.68
Ochirbatyn Nasanburmaa,1.68
Pat Patterson (wrestler),1.8542
Pat Patterson,1.8542
Pat Patterson,1.8542
Pierre Clermont,1.8542
Pat Patterson,1.8542
パット・パターソン,1.8542
Pat Patterson,1.8542
Pat Patterson,1.8542
Pat Patterson,1.8542
派特·派特森,1.8542
Perry Saturn,1.778
Perry Saturn,1.778
Perry Saturn,1.778
Perry Satullo,1.778
Perry Saturn,1.778
ペリー・サターン,1.778
Perry Saturn,1.778
Perry Saturn,1.778
Perry Saturn,1.778
Rhett Titus,1.8796
Rhett Titus,1.8796
Rhett Titus,1.8796
Rhett Titus,1.8796
Rio Watari,1.63
渡利璃穏,1.63
Rio Watari,1.63
Rio Watari,1.63
Shiori Asahi,1.75
旭志織,1.75
Shiori Asahi,1.75
奥田朱理,1.56
Shuri Okuda,1.56
Stephanie Bellars,1.5748
Ramón Ibarra (wrestler),1.78
Super Parka,1.78
スペル・パルカ,1.78
Super Parka,1.78
Taleb Nariman Nematpour,1.81
タレブ・ネーマットプール,1.81
Taleb Nematpur,1.81
"Нематпур, Талеб",1.81
Taleb Nematpour,1.81
Tatsuya Kinugasa,1.8
Tetsuya Naitō,1.8
Tetsuya Naitō,1.8
内藤哲也,1.8
Tetsuya Naito,1.8
Tetsuya Naito,1.8
Thrasher (wrestler),1.8796
Glen Ruth,1.8796
Thrasher (wrestler),1.8796
Glenn Ruth,1.8796
تايتوس أونيل,1.9812
Thaddeus Bullard,1.9812
Titus O'Neil,1.9812
Titus O'Neil,1.9812
Titus O'Neil,1.9812
サデウス・バラード,1.9812
Thaddeus Bullard,1.9812
Titus O’Neil,1.9812
Titus O'Neil,1.9812
"О’Нил, Тайтус",1.9812
泰德斯·歐尼爾,1.9812
Titus O'Neil,1.9812
Tom Jenkins (wrestler),1.7907
スティーブ・テイラー,1.8034
Tommy Taylor (wrestler),1.8034
Tonya Verbeek,1.65
Tonya Verbeek,1.65
Tonya Verbeek,1.65
Tonya Verbeek,1.65
Tonya Verbeek,1.65
トーニャ・バービーク,1.65
Tonya Verbeek,1.65
Toru Yano,1.86
矢野通,1.86
Toru Yano,1.86
Trenesha Biggers,1.8796
Trenesha Biggers,1.8796
Trenesha Biggers,1.8796
トレネーシャ・ビガーズ,1.8796
Trenesha Biggers,1.8796
Trenesha Biggers,1.8796
Tsuyoshi Kikuchi,1.78
菊地毅,1.78
ヴィールス (プロレスラー),1.65
Virus (wrestler),1.65
Yutaka Yoshie,1.8
吉江豊,1.8
Yutaka Yoshie,1.8
Édouard Carpentier,1.778
Édouard Carpentier,1.778
Édouard Carpentier,1.778
エドワード・カーペンティア,1.778
Adolf Lindfors,1.77
Adolf Lindfors,1.77
Adolf Lindfors,1.77
"Линдфорс, Адольф",1.77
Black Warrior,1.75
ブラック・ウォリアー,1.75
Black Warrior (wrestler),1.75
Branislav Simić,1.8
Branislav Simić,1.8
"Симич, Бранислав",1.8
Branislav Simić,1.8
Edvard Vesterlund,1.74
Edvard Westerlund,1.74
Edvard Westerlund,1.74
"Вестерлунд, Эдвард",1.74
Hideaki Yanagida,1.59
柳田英明 (レスリング選手),1.59
"Янагида, Хидэаки",1.59
Hideaki Yanagida,1.59
Mr. Scott Wright,1.8288
Ron Fuller (wrestler),2.0574
ロン・フラー (プロレスラー),2.0574
Terry Taylor,1.8542
Terry Taylor,1.8542
テリー・テイラー,1.8542
Toscano (wrestler),1.78
Alex Koslov,1.7526
Alex Koslov,1.7526
Alex Sherman,1.7526
アレックス・シャーマン,1.7526
Alex Koslov,1.7526
Alex Koslov,1.7526
Artiom Surkov,1.77
Artiom Surkow,1.77
"Сурков, Артём Олегович",1.77
Artem Surkov,1.77
Atsushi Aoki,1.7
青木篤志,1.7
Atsushi Aoki,1.7
النمر المقنع (شخصية),1.74
Tigers Mask,1.74
丸山敦,1.74
Atsushi Maruyama,1.74
Chiho Hamada,1.6
浜田千穂,1.6
Chiho Hamada,1.6
"Хамада, Тихо",1.6
Chiho Hamada,1.6
Chris Nelson (wrestler),1.8288
ダーク・クエルボ,1.72
Dark Cuervo,1.72
Davit Chakvetadze,1.75
Davit Čakvetadze,1.75
Davit Chakvetadze,1.75
Dawit Czakwetadze,1.75
Davit Chakvetadze,1.75
"Чакветадзе, Давит Гочаевич",1.75
Davit Chakvetadze,1.75
Gene Kiniski,1.93
Gene Kiniski,1.93
Gene Kiniski,1.93
ジン・キニスキー,1.93
Gene Kiniski,1.93
Gene Kiniski,1.93
Ilana Kratysch,1.69
Ilana Kratysh,1.69
"Кратыш, Илана",1.69
Ilana Kratysh,1.69
Imam Baksh Pahalwan,1.905
Joseph Warren (Ringer),1.6764
Joe Warren,1.6764
ジョー・ウォーレン,1.6764
Joseph Warren (zapaśnik),1.6764
Joe Warren (lutador),1.6764
Joe Warren (fighter),1.6764
جون لورينايتس,1.9304
John Laurinaitis,1.9304
John Laurinaitis,1.9304
John Laurinaitis,1.9304
John Laurinaitis,1.9304
John Laurinaitis,1.9304
ジョン・ロウリネイティス,1.9304
John Laurinaitis,1.9304
John Laurinaitis,1.9304
"Лауринайтис, Джон",1.9304
約翰·勞倫奈提斯,1.9304
Kelly Kiniski,1.905
ケリー・キニスキー,1.905
Kyösti Lehtonen,1.66
Kyösti Lehtonen,1.66
Kyösti Lehtonen,1.66
"Лехтонен, Кюёсти",1.66
مارك هنري,1.9304
Mark Henry,1.9304
Mark Henry,1.9304
Mark Henry,1.9304
Mark Henry,1.9304
Mark Henry,1.9304
マーク・ヘンリー,1.9304
Mark Henry,1.9304
Mark Henry,1.9304
Mark Henry,1.9304
"Хенри, Марк",1.9304
馬克·亨利,1.9304
Mark Lewin,1.8796
マーク・ルーイン,1.8796
Mirko Englich,1.85
Mirko Englich,1.85
Mirko Englich,1.85
Mirko Englich,1.85
Mirko Englich,1.85
Mirko Englich,1.85
Renato Sobral,1.8288
Renato Sobral,1.8288
レナート・ババル,1.8288
Renato Sobral,1.8288
Renato Sobral,1.8288
"Собрал, Ренату",1.8288
براين جيرارد جيمس,1.8796
Road Dogg,1.8796
Brian Gerard James,1.8796
Brian Gerard James,1.8796
Road Dogg,1.8796
Brian Gerard James,1.8796
ブライアン・ジェイムス,1.8796
Road Dogg,1.8796
Road Dogg,1.8796
Дорожный Пёс,1.8796
洛德·道格,1.8796
Roadkill (wrestler),1.905
Michael DePoli,1.905
マイケル・デポリ,1.905
Sanshiro Takagi,1.75
Sanshiro Takagi,1.75
高木三四郎,1.75
スウェード・ハンセン,1.9558
Swede Hanson (wrestler),1.9558
Yvon Cormier,1.778
بيغ شو,2.1336
Big Show,2.1336
Big Show,2.1336
The Big Show,2.1336
Big Show,2.1336
Big Show (catcheur),2.1336
ビッグ・ショー (プロレスラー),2.1336
Paul Wight,2.1336
Big Show,2.1336
Big Show,2.1336
Биг Шоу,2.1336
Big Show,2.1336
Bill DeMott,1.8796
Bill DeMott,1.8796
Bill DeMott,1.8796
Bill DeMott,1.8796
ビル・デモット,1.8796
Bill DeMott,1.8796
Bill DeMott,1.8796
比爾·迪馬特,1.8796
Man Mountain Dean,1.8034
マン・マウンテン・ディーン,1.8034
Antonino Rocca,1.8288
Antonino Rocca,1.8288
Antonino Rocca,1.8288
Antonino Rocca,1.8288
アントニオ・ロッカ,1.8288
Antonino Rocca,1.8288
Antonino Rocca,1.8288
Chris Kanyon,1.9304
Chris Kanyon,1.9304
Chris Kanyon,1.9304
Christopher Klucsaritis,1.9304
Chris Kanyon,1.9304
クリス・キャニオン,1.9304
Chris Kanyon,1.9304
Chris Kanyon,1.9304
Chris Kanyon,1.9304
إد فرحات,1.8034
Ed Farhat,1.8034
The Sheik (Wrestler),1.8034
Ed Farhat,1.8034
Ed Farhat,1.8034
Ed Farhat,1.8034
ザ・シーク,1.8034
Ed Farhat,1.8034
Ed Farhat,1.8034
Elix Skipper,1.8288
Elix Skipper,1.8288
Elix Skipper,1.8288
Elix Skipper,1.8288
Elix Skipper,1.8288
エリックス・スキッパー,1.8288
Erik Watts,1.9558
Ivan Putski,1.73
Ivan Putski,1.73
Ivan Putski,1.73
Ivan Putski,1.73
イワン・プトスキー,1.73
Ivan Putski,1.73
Ivan Putski,1.73
جيري جاريت,1.7018
Jerry Jarrett,1.7018
Jerry Jarrett,1.7018
ジェリー・ジャレット,1.7018
Jerry Jarrett,1.7018
Jerry Jarrett,1.7018
Johnny Hotbody,1.778
Johnny Hotbody,1.778
Johnny Weiss,1.778
ジョニー・ホット・ボディ,1.778
Johnny Weiss,1.778
Kerry Von Erich,1.8796
Kerry Von Erich,1.8796
Kerry Von Erich,1.8796
Kerry Von Erich,1.8796
ケリー・フォン・エリック,1.8796
Kerry Von Erich,1.8796
Kerry Von Erich,1.8796
Koko B. Ware,1.7018
Koko B. Ware,1.7018
Koko B. Ware,1.7018
ココ・B・ウェア,1.7018
Koko B. Ware,1.7018
Koko B. Ware,1.7018
Ole Anderson,1.8542
Ole Anderson,1.8542
Ole Anderson,1.8542
Ole Anderson,1.8542
Ole Anderson,1.8542
オレイ・アンダーソン,1.8542
Tammy Lynn Sytch,1.6256
Tammy Lynn Sytch,1.6256
Tammy Lynn Sytch,1.6256
Tammy Lynn Sytch,1.6256
Tammy Lynn Sytch,1.6256
タミー・リン・シッチ,1.6256
Tammy Lynn Sytch,1.6256
Tammy Lynn Sytch,1.6256
"Ситч, Тэмми Линн",1.6256
Tommy Rich,1.8288
Tommy Rich,1.8288
Tommy Rich,1.8288
トミー・リッチ,1.8288
Tony Mamaluke,1.8034
Tony Mamaluke,1.8034
Charles Spencer,1.8034
Tony Mamaluke,1.8034
トニー・ママルーク,1.8034
Tony Mamaluke,1.8034
Aaron Aguilera,1.9812
Aaron Aguilera,1.9812
Aaron Aguilera,1.9812
ゾディアック (プロレスラー),1.9812
Aaron Aguilera,1.9812
Aaron Aguilera,1.9812
بوب أورتن الابن,1.8542
Bob Orton Jr.,1.8542
Cowboy Bob Orton,1.8542
"Bob Orton, Jr.",1.8542
"Bob Orton, Jr.",1.8542
Bob Orton Jr.,1.8542
ボブ・オートン・ジュニア,1.8542
Bob Orton Jr.,1.8542
Bob Orton,1.8542
"Bob Orton, Jr.",1.8542
"Ортон, Боб (младший)",1.8542
小巴布·歐頓,1.8542
Bobby Duncum Jr.,1.9812
ボビー・ダンカン・ジュニア,1.9812
Chris Von Erich,1.651
クリス・フォン・エリック,1.651
Chris Von Erich,1.651
Christopher Daniels,1.8288
Christopher Daniels,1.8288
Christopher Daniels,1.8288
Christopher Daniels,1.8288
Christopher Daniels,1.8288
ダニエル・コベル,1.8288
Christopher Daniels,1.8288
Christopher Daniels,1.8288
"Ковелл, Дениель Кристофер",1.8288
David Von Erich,2.0066
デビッド・フォン・エリック,2.0066
David Von Erich,2.0066
Dino Bravo,1.8542
Dino Bravo,1.8542
Dino Bravo,1.8542
Dino Bravo,1.8542
Dino Bravo,1.8542
ディノ・ブラボー,1.8542
Dino Bravo,1.8542
Дино Браво,1.8542
Don Muraco,1.905
Don Morrow,1.905
Don Muraco,1.905
Don Muraco,1.905
Don Muraco,1.905
ドン・ムラコ,1.905
Don Muraco,1.905
Don Muraco,1.905
Дон Мурако,1.905
Gholamreza Takhti,1.8
Gholamreza Takhti,1.8
Gholamreza Tajtí,1.8
Gholamreza Takhti,1.8
Gholam Reza Takhti,1.8
ゴラムレザ・タクティー,1.8
Gholam Reza Tachti,1.8
Gholam Reza Takhti,1.8
"Тахти, Голамреза",1.8
Giant Baba,2.09
Shōhei Baba,2.09
Giant Baba,2.09
Shōhei Baba,2.09
Shohei Baba,2.09
ジャイアント馬場,2.09
Shohei Baba,2.09
巨人馬場,2.09
غوريلا مونسون,2.0066
Gorilla Monsoon,2.0066
Gorilla Monsoon (Wrestler),2.0066
James Marella,2.0066
Gorilla Monsoon,2.0066
Gorilla Monsoon,2.0066
ゴリラ・モンスーン,2.0066
Robert Marella,2.0066
Gorilla Monsoon,2.0066
Haystacks Calhoun,1.8542
William Calhoun,1.8542
ヘイスタック・カルホーン,1.8542
Haystacks Calhoun,1.9304
William Calhoun,1.9304
ヘイスタック・カルホーン,1.9304
Hillbilly Jim,2.0066
Hillbilly Jim,2.0066
ヒルビリー・ジム,2.0066
Hillbilly Jim,2.0066
Hillbilly Jim,2.0066
John Tenta,2.0066
John Tenta,2.0066
John Tenta,2.0066
John Tenta,2.0066
ジョン・テンタ,2.0066
John Tenta,2.0066
John Tenta,2.0066
Joy Giovanni,1.6256
Joy Giovanni,1.6256
Joy Giovanni,1.6256
Joy Giovanni,1.6256
Joy Giovanni,1.6256
"Джиованни, Джой",1.6256
كمالا,1.9304
Kamala (wrestler),1.9304
Kamala (Wrestler),1.9304
Kamala (luchador),1.9304
Kamala (catcheur),1.9304
Kamala,1.9304
カマラ (プロレスラー),1.9304
James Harris (worstelaar),1.9304
لانس هويت,2.0574
Lance Hoyt,2.0574
Lance Hoyt,2.0574
Lance Hoyt,2.0574
Lance Hoyt,2.0574
ランス・ホイット,2.0574
Lance Hoyt,2.0574
Lance Hoyt,2.0574
