http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Allied Irish Banks,10210
Днепроэнерго,9978
Luxottica,83310
Acme United Corporation,325
Surrey Satellite Technology,414
Restaurant Brands,5030
Berkshire Hathaway,288090
Equistone Partners Europe,47
Avant (company),723
Benetton,7712
Koninklijke Luchtvaart Maatschappij,28564
Üstra,1831
Studio Hibari,96
Nissan,134545
Vidant Health,8456
Mitre 10,15595
Nortel,34
Rolls-Royce Motor Cars,1112
Ericsson,118062
Riot Games,961
Pennon Group,4827
DialAmerica,4874
Honda,196166
شركة نفط باز,2403
Bremer Woll-Kämmerei,236
Riot Games,1007
OneClimate,5
Politico (periódico),270
Denel Aerospace Systems,8108
Morrison Facilities Services,3684
Bankinter,4
DB AutoZug,424
AVG Technologies,1938
Вагоноремонтный завод Карлово,242
雙匯集團,67861
ペガサス航空,4025
Schneider Electric,144707
Sunwing Airlines,1448
Co-operatives UK,30
R. J. Reynolds Tobacco Company,4031
Nude Maker,11
Philippine Postal Corporation,9430
Banco Itaú,67419
Porsche,24056
Integrated Device Technology,1242
Rīgas Autobusu Fabrika,3689
CNP Assurances,4945
格力,42559
JTEKT,11596
The Co-operators,4557
Toronto Coalition for Active Transportation,1
Aras Corp,147
United Airlines,104190
Haemimont Games,42
Kapsch,7031
ThyssenKrupp,153346
Volkswagen,643
Unique Development Studios,32
Egon Zehnder,435
Philippine Bank of Communications,1402
Paon,150
Groupon,10658
Metallwarenfabrik Marktoberdorf,157
Hidroconstrucția,8290
DeCODE Genetics,177
Santa Cruz AIDS Project,4
Moritz (bier),101
Fukui Railway,213
TicketForce,18
Mattel,28906
Roland Corporation,2758
Doğuş Holding,41
The Manitowoc Company,16847
Automobile Dacia,15577
Sivensa,2861
Seamless (company),301
Actel,433
هانيويل الفضائية,33900
Ulster Bank,3189
サービスコーポレーションインターナショナル,30918
Phase One (azienda),263
Mercedes-Benz U.S. International,4236
Disqus,51
Skip Ltd.,31
樂天百貨,8763
百慕達滙豐銀行,985
Buhler Group,11
Groupe SEB,24143
T-Hrvatski Telekom,4919
Iron Mountain Incorporated,20896
NouvEON,86
RCN Corporation,1152
IGS Energy,365
Nihon Bussan,31
RADET,4851
British Columbia Ambulance Service,4518
Foursquare,201
Dongfeng,170598
Franz Haniel & Cie.,50
100% Banco,374
Brocade Communications Systems,4549
Sun Microsystems,38408
مارفيلوس إنترتنمنت,167
ポーゲンポール,491
General Electric,302102
Kubicek Balloons,32
Qt发展框架,238
Vidyo,288
Peugeot,169596
Sedus,868
Pirelli,36375
Schneider Electric,186664
Claas,10417
Frontier Communications,15171
トッズ,2814
Lycos,79
Shenhua Group,179349
United Airlines,83870
索尼互動娛樂日本工作室,384
Gotec Group,939
هوندا,187020
Native Instruments,492
Zamperla,429
Caterpillar,107439
Indigo Books and Music,6809
エウスカルテル,375
Wiggle,0
Delta Holding (Serbie),4024
Politico,314
Eclipse Aerospace,53
Motomel,826
イタウサ,120729
Kao,37608
Latham & Watkins,1904
Glencore,100989
Global Adjustments,57
Gedeon Richter,11056
فايرفلاي ستوديوز,24
EF Education,38048
Arctic S.A.,2435
Martha Stewart Living Omnimedia,487
Spangler Candy Company,596
Metrovías,4653
Western Union,6622
Maroc Telecom,13032
Zastava Arms,2577
IMG (company),3176
Quattor,2042
Groupalia,242
迪生創建,2982
TowerBrook Capital Partners,37
Sowind Group,282
Hyundai Motor Company,119079
Advanced Micro Devices,7295
State Street,25553
Yahoo! Japan,5957
SemGroup,680
Stäubli,5256
Hygenic Corporation,282
Rado (Uhrenmarke),481
Kraft Foods,21349
Saputo,11403
Aluminum Corporation of China Limited,111079
TrippNT,20
GigaMedia Limited,525
Carlson Wagonlit Travel,19538
Liverpool University Press,14
Uttam Galva Steels,22338
Takumi,22
Anglo-Eastern Group,1139
Banco Portugués de Investimento,7389
Fortumo,78
Kamensk-Uralsky Metallurgical Works,4182
Kodak,5491
MannanLife,82
樂蘭公司,2973
Boeing,154398
T-Hrvatski Telekom,5395
Amerigroup,7996
Brooks Instrument,554
مصرف قطر الإسلامي,495
Tōhō,2124
Lycos,69
Altri,622
Z8Games,48
Yamato Transport,213204
Aero Controls,284
滙豐中國,5596
Dods (Group) PLC,223
Netscape Communications,2741
ラッシュ・アンド・キャッシュ,1810
Hybrid Television Services,34
OpenDNS,195
微软,105573
Jako (Unternehmen),144
Boyd Gaming,16858
Catamaran Corporation,1268
Lotte Department Store,9561
Mopeds India Limited,498
Tri-Crescendo,31
SAF Tehnika,166
Metaswitch,810
Sindicatum,94
Gemalto,15268
Municipal Property Assessment Corporation,1289
Thales Rail Signalling Solutions,1912
Wera-Werk,700
MECON (company),1584
Raven Software,168
Viacom,9906
Taylors of Harrogate,1701
BDO International,49003
Fox Entertainment Group,10294
Article One Partners,16
Open Cascade,120
フォルクスワーゲングループ,480770
ゾディアック・エアロスペース,35351
Intuit,7658
Gruppo Editoriale L’Espresso,3151
SCEベンドスタジオ,105
2 Sisters Food Group,21765
China Three Gorges Corporation,19769
Anglesey Aluminium,569
Amway,20846
Kaō,30031
Crystal-Eizou,23
Whirlpool Corporation,95707
Wizet,88
Benetton (azienda),7620
Grupo Andrade Gutierrez,248135
China Airlines,10371
Hickory Farms,463
Mashable,114
Seibu Holdings,301
Bank Mendes Gans,133
AXS (ticket merchant),55
Assa Abloy,57209
IKEA,175327
Eastman Chemical Company,12847
Galp,7191
Pegasus Airlines,3695
كوليكو,548
Weston Presidio,24
SimilarWeb,331
アルスター銀行,3381
FireEye,3272
Id Software,184
博通有限,7919
أبل,118120
Sony Corporation,131
Mexican American Legal Defense and Educational Fund,52
モトローラ,48166
CyberLink,483
