http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Pedro e Inês,12
Rizzoli & Isles,92
包青天 (1993年電視劇),234
De Smurfen (televisieserie),285
BoJack Horseman,37
Man of the People (TV series),13
Kung Mamahalin Mo Lang Ako,132
Iron Chef,15
Heartbeat (serie de TV),9
Asar Talo Lahat Panalo!,57
The Bridge (serie televisiva 2013),23
Air City,17
The Beast (2009 TV series),11
Jhansi Ki Rani (TV series),557
The Killing (Forbrydelsen),39
Morderca z Whitechapel,20
Traveler,9
The Man from Snowy River (TV series),51
Harry (TV series),23
檀島警騎,318
Timothy va a la escuela,28
تالا (مسلسل),157
明成皇后 (電視劇),126
皇家反千組,13
Zeke and Luther,70
Britain from Above,6
Documentary '60,27
Rebelde (telenovela brasileira),408
Piżamiaki,44
Samson & Goliath,13
Comedy Slapdown,14
Бедная Настя,126
Provaci ancora prof,30
Parenthood (Fernsehserie),98
Sunburn (TV series),14
Réunion : Destins brisés,14
Los Fruittis,55
The City (1999 TV series),33
"Flash Gordon (Fernsehserie, 2007)",18
Sleepers (TV series),4
Click (Philippine TV series),280
The Cube - La sfida,86
Batman (serial animowany 2004),67
Impact Wrestling,692
Trust Me (serie televisiva),13
Alcatraz (serial telewizyjny),15
April Kiss,24
Stargate Atlantis,101
Nastoletnia Maria Stuart,56
Monday Night Golf,8
Galactica 1980,12
Conquest of Space (TV series),5
Moving On,35
Extreme Trains,7
Gawayn,113
Rainbow Brite,4
تابالوغا التنين الأخضر,78
Hot Wheels Battle Force 5,49
Shark Tank,153
Salem's Lot,2
Scorpion (serial telewizyjny),57
FNS Music Festival,44
Rainbow Brite,2
Nummer 6,15
Osbournes Reloaded,6
The Andy Griffith Show,223
Hum Dono Hain Alag Alag,33
Легенда о Корре,55
Standoff,18
Mes trois fils,377
Papi Ricky,136
El Show de los Muppets,143
救命医ハンク セレブ診療ファイル,121
Falcon Crest,200
與媒體見面,18468
Objection!,37
猫狗,63
Zafalowani,49
The Yellow Rose,25
Addicted to Love (TV series),30
Single Father (televisieserie),4
In casa Lawrence,91
El Privilegio de Mandar,79
The Troop,35
California Dreams,68
Mysterious Incredible Terminator,19
Land Girls,14
One Summer,5
The Last Scandal of My Life,18
Above Suspicion (TV series),12
Kaettekita Ultraman,50
Australia's Greatest Athlete,21
Росомаха и Люди Икс,26
Dark Matter (TV series),21
Kakasa Ka Ba Sa Grade 5?,38
Observatório da Imprensa,546
Empty Nest,173
Dolce Valentina,164
Flashpoint (TV series),70
Beat the Star (Australia),4
Brüder (Fernsehserie),44
Alcatraz (telessérie),13
Head over Heels (TV series),7
Aquarius (Fernsehserie),25
Pacific Palisades (TV series),12
The Lost Dream,120
Timeless (série télévisée),3
Kirk (série de televisão),34
Reign,65
Джеронимо Стилтон (мультсериал),71
Доктор Плюшева,121
Stoked: Locos por las olas,62
Dark Shadows (1966),1118
!Oka Tokat,281
Baggy Pants and the Nitwits,12
فوفر,24
The New Adventures of Zorro (1981),11
Anne of Green Gables: The Animated Series,26
Speechless: Silencing the Christians,14
El Gran Show (season 1),14
Raw (TV series),34
Struggle (TV series),33
Pop Pixie,56
La Chica de Ayer (TV series),7
When the Levees Broke,2
Scorpion (televisieserie),56
"Мелроуз-Плейс (телесериал, 2009)",21
Amores cruzados,148
Teens in the Wild,4
Income Property,185
Eye Candy (TV series),8
Doctors (serie de televisión),20
恐龙战队 (第一季),71
探險時光,215
鸦林镇,9
御用閒人,21
Rahe Bipayan,31
4 gegen Z,40
Savitri (TV series),174
People in Parties,2
Quinceañera (telenovela),102
Avatar: De Legende van Aang,63
Medicina generale (serie televisiva),39
القنفذ سونيك ( سلسلة كرتون) 1993,30
Scorpion (série télévisée),54
Action Man (série télévisée d'animation),22
ECW on TNN,51
RIS Delitti Imperfetti,163
Daredevil (serie televisiva),24
Nature's Great Events,6
Боб-строитель,402
U.E. (TV series),7
Keeping Up Appearances,38
Флорисьента,299
Scriptum – Der letzte Tempelritter,2
كيلر كاريوكي - غني لو تقدر,6
Soldier Soldier,81
Spice Goddess,11
Uno di noi (TV series),12
Hrvatski Top Model,24
Laguna Beach MTV,47
The Janice Dickinson Modeling Agency,48
Professor Balthazar,59
Les Popples,48
Melrose Place,268
Life (serie televisiva),26
New Adam-12,48
Ned ou Comment survivre aux études,53
McGee and Me!,13
بريزون بريك,75
BrzydUla,238
Jayce and the Wheeled Warriors,58
Through the Bible with Les Feldick,997
Fargo (série),20
スーパーロボット マッハバロン,20
Charity Lords of the Ring,4
Ape Escape (animated TV series),16
سحر الحب,86
Blossom,134
Los Oblongs,11
Cyberchase,104
Drei Engel für Charlie,101
Nach Baliye,133
リトルモンスター,51
Auld Ones,26
Xuan-Yuan Sword: Scar of Sky,32
Teletubbies,469
La signora in giallo,283
Make-up und Pistolen,69
Taxi (Amerikaanse televisieserie),105
The Blonde Bombshell,2
The Commish,88
Loving (TV series),3337
Ciudad Bendita,232
Romanzo criminale (série télévisée),19
Banshee – Small Town. Big Secrets.,41
Ilha da Sedução,23
The Brian Conley Show,58
Bad Guy (TV series),16
Samantha oups !,317
La que no podía amar,166
The Loop,17
Geronimo Stilton (serie animata),83
Eliot Kid,55
Alergia Monstra,46
Please Like Me,26
Iron Chef,12
Princesses (TV series),8
Baby Bonus (TV series),25
Amiche mie,12
Zapytaj Harriet,12
Liwanag Ng Hatinggabi,16
Doctor on the Go,25
Beast Wars: Transformers,63
Aniołki Charliego,102
NY-LON,7
名車再生!クラシックカー・ディーラーズ,183
The Stranger (1973),1
Ravenswood (série télévisée),8
The Middleman (TV series),12
The Charm Beneath,34
Eye Candy,8
Broken Arrow (TV series),74
Sasural Simar Ka,1474
Era Uma Vez... o Planeta Terra,23
حديقة المرح,85
المضحكون,12
Happy Valley (serial telewizyjny),10
Érase una vez... los exploradores,26
Команда «А»,105
Aly & AJ: Sister Act,1
Save Me (série télévisée),7
Kyle XY,43
Yongzheng Dynasty,40
"Malibu, CA (TV series)",41
Wikingowie (serial telewizyjny),47
Bajo la misma piel,86
Batman: Odważni i bezwzględni,72
Rainbow Brite,2
Cannonball (TV series),41
فتيات القوة,64
Boys and Girls Alone,4
Остаться в живых (телесериал),113
Dave and Steve's Video Game Explosion,2
دليلك ملك,86
Come Fly with Me (série télévisée),6
Drake i Josh,69
Stuart Little: The Animated Series,14
A Gifted Man,15
Honour and Passion,23
Mako Mermaids: Syreny z Mako,67
La antorcha encendida,78
Bad Guy,16
My Secret Identity,69
"Заключённый (телесериал, 1967)",15
Sokole Oko (serial telewizyjny),20
Zabranena Lyubov,346
Devi (TV series),146
Psych,135
Space Ghost Coast to Coast,108
Polònia,191
Skunks Fu,28
Food Jammers,40
My Alibi,20
Adventures of Sonic the Hedgehog,59
Lasciate in pace i koala,25
La niñera (Mexican TV series),22
Deep in the City,33
Some Mothers Do 'Ave 'Em,22
Expo This Week,25
MTV Made,325
Eye in the Sky (TV series),23
Puso ng Pasko: Artista Challenge,19
The Gates,13
Trudis Liit,90
Przystanek dżungla,43
Shasta McNasty,24
Silver Spoons,130
Life (televisieserie),29
Star Magic Presents,107
Paris Hilton's British Best Friend,7
Hasta que el dinero nos separe,190
Action Man (serie animata),24
Sangnyusahoe,15
A Lei e o Crime,28
A Kind of Magic (televisieserie),25
Kick Kasskoo,100
無邪気な関係,12
Baantjer,112
Un trésor dans votre maison,536
Jinx - Fornelli e magie,13
"Флэш Гордон (телесериал, 2007)",21
Cuffs (TV series),9
Texas Ranch House,7
Ekipa z Newcastle,106
Alegrijes y rebujos,111
Kancelaria adwokacka,173
Dr. Slippery,6
Mrs. Columbo,12
Ben 10: Supremacía Alienígena,52
Batman (serie de televisión),100
Baggy Pants and the Nitwits,13
Squadra antimafia - Palermo oggi,77
Dark Kingdom: The Dragon King,2
My Queen,19
Romance Zero,19
談判專家 (電視劇),30
Doctors,2945
League of Super Evil,65
Scream Queens (telerrealidad),13
Norma e Felice,18
Total Wipeout,56
Una mujer marcada,20
In Harm's Way (reality show),8
Il cane di papà,154
Highland Emergency,1
Pop-Up Video,178
Adventure Time,222
State of Mind (TV series),8
Tough Love (TV series),61
Pepper Anderson agente speciale,76
Wonder Woman (serie televisiva),63
Kick Buttowski: Suburban Daredevil,116
Ozzy & Drix,24
East Coast Sessions,10
Canavial de Paixões,133
الإمام علي (مسلسل),22
Das Leiden Christi (Fernsehserie),4
Deal or No Deal (Tunisia),32
Glue (série télévisée),8
Orphan Black,43
Oh Happy Band!,6
Alvin and the Chipmunks (1983 TV series),90
I Cuordileone,12
Brewster Place,12
Forever Knight,77
Martha (TV series),1152
Z Rock (TV series),11
PopPixie,47
The Trouble with Tracy,149
Sport Billy,22
Powerpuff Girls,81
Bang Goes the Theory,66
Rock & Chips,3
Embraced – Clan der Vampire,7
College (TV series),15
W klatce czasu,33
Heartbeat (série télévisée),12
Personne n'y avait pensé !,147
Mi pecado,137
Full English,6
فايكنغز (مسلسل),32
La città in controluce,102
Roar (UK TV series),18
Verbotene Liebe,4797
軒轅劍之天之痕,31
Iron Man (animatieserie),21
CHAOS (TV series),12
"Dude, What Would Happen",33
Big Ang,9
Every Witch Way,76
Big Sexy,3
Alphas,20
ChuckleVision,248
Take Care of the Young Lady,15
スティーヴン・キング 8つの悪夢,7
Picchiarello (serie animata),59
Sanctuary (serie de televisión),62
Chand Ke Paar Chalo (TV series),76
Amorcito corazón (telenovela),218
The Facts of Life,230
Ironside (1967 TV series),185
الدببة الطائرة,43
"V, la Bataille finale",3
Chuggington,157
The Gates: Za bramą tajemnic,11
Alphas,26
In the Realm of Fancy,21
Orphan Black,47
فيردي (مسلسل),52
Zorro (Philippines TV series),106
Il était une fois… l'Homme,27
Super Hero Squad,52
Charm School with Ricki Lake,12
Nikki (TV series),43
Bouli,110
Kaya ng Powers,17
The Adventures of Ozzie and Harriet,348
Master Raindrop,24
Hipertensão (season 1),4
La quiero a morir (telenovela),124
Qui veut partir ?,23
信約：動盪的年代,37
Peg + Gato,49
"Dire, fare, baciare",62
Barracuda (serie),4
Prison Break,68
Fourways Farm,21
Wallace e Gromit,1
Es war einmal … der Mensch,26
The Road We Have Taken,55
Charlie’s Angels (Fernsehserie),8
Уоллес и Громит,1
J.J. Starbuck,14
The Story Makers,4
House (TV series),207
Kick Kasskoo,46
Believe (serie de televisión),13
Four on the Floor (Canadian TV series),13
Junior pianta mordicchiosa,11
Parenthood (série télévisée),116
The Adventures of Chuck and Friends,37
Polònia,196
Billy the Cat,45
Hunters,15
The A-Team,82
Dorothy (TV series),4
Hero 108,41
Drôle de chance,16
Rebelde (Brazilian telenovela),431
Ned's Newt,35
Skyll inte på mig!,5
Принцесса Сисси,46
Save Me (serie de televisión),7
Era Uma Vez... os Exploradores,23
飛天小女警,71
スポーツレンジャー,31
Honey West,33
オルトロスの犬,8
MasterChef (Australie),90
Don Bosco (telenovela),53
E.U. (TV series),32
Un filo nel passato,27
1 vs. 100 (Chinese game show),16
Kittie Party,372
"Los Angeles, années 30",12
The Real World: D.C.,17
Intelligence - Servizi & segreti,6
