http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
National Mining University of Ukraine,16772
Universidad Johnson & Wales,16663
"Alexander-von-Humboldt-Gymnasium, Neuss",909
Institut d'optique Graduate School,250
ワーナー・パシフィック大学,1272
"Università degli Studi ""Mediterranea"" di Reggio Calabria",10
Bukovinian State Medical University,4529
Universidade de Paris X - Nanterre,31036
Toronto Japanese School,544
Carlucci American International School of Lisbon,677
Heller School for Social Policy and Management,530
Heights High School,2954
プリモルスカ大学,5507
Hildegardis-Schule Bochum,1103
Донецкий государственный университет управления,7910
Université de Bulacan,29538
University of South Florida,49015
DuVal High School,1678
Universität der Balearen,19656
Government College for Women Dhoke Kala Khan,494
Edmonds Community College,12370
Gateway High School (San Francisco),459
Universidad de Concepción,23531
Spectrum Community School (British Columbia),1113
Universidade de Colombo,11343
Royal College of Surgeons in Ireland,4332
Tuscola High School,1005
Barrington Municipal High School,668
Escuela Preparatoria Worthing (Houston),626
セルソ・スコヴ・ダ・フォンセカ連邦技術教育センター,10023
St. Thomas Aquinas High School (Florida),2223
"Concord High School (Elkhart, Indiana)",1611
Hochschule für Musik und Darstellende Kunst Frankfurt am Main,915
Europäische Universität von Lefke,5
エドモンズコミュニティカレッジ,12448
马耳他大学,11485
Russische Akademie für Theaterkunst,1505
Madison High School (Kansas),120
Universidad Cristiana de Abilene,4243
Catholic University of the Most Holy Conception,5271
Universidade do Estado do Arizona,4062
Paul Cézanne University,22001
Comilla Government College,6157
国立応用科学院レンヌ校,1723
Université de la Caraïbe du nord,5887
Foreign Trade University,17291
Ione Community Charter School,149
Northern Lehigh High School,565
Lycée International de Saint-Germain-en-Laye,3008
馬禮遜美國學校,207
Chittagong University of Engineering & Technology,4546
Staatsuniversiteit van Linguïstiek Jerevan,3897
Little Village Lawndale High School Campus,408
Royal Palm Beach High School,2272
