http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
FC Msida Saint Joseph,18718
Frederikssund IK,1160
Football Club Fastav Zlín,6352
Club Atlético Ituzaingó,4309
Red Bull Ghana,984
OFK Grbalj,2
Club Deportivo As Pontes,1939
نادي لوغو,8363
Sampaio Corrêa Futebol Clube,38311
Nui (voetbalclub),1440
1. FC Aschersleben,5161
AD Cerro de Reyes Badajoz Atlético,3581
Midia Navodari,5085
FC Chomutov,9536
Steve Biko FC,5084
Kubań Krasnodar,32404
Сэгята,4933
CA San Martín de Tucumán,29548
Club Deportivo Arturo Fernández Vial,29537
Esentepe S.K.,1539
Jeunesse Sportive Baco,1
Asociación Deportiva Huracán (Las Palmas),3142
CE L’Hospitalet,6860
Ängelholms FF,3832
CD Cuarte,1971
Yeni Malatyaspor,13497
Estrella Beira,8
FC Martigny-Sports,2466
Cardiff City Football Club,31956
Club Sportif Duguwolofila,8237
Hangzhou Greentown Football Club,51226
北京国安足球倶楽部,68909
Chaco Petrolero,41048
SV Grödig,4043
S.S. Lazio,73313
泰國皇家海軍足球會,13001
نادي السيلية,25966
Базель (футбольный клуб),39616
FC Salyut Belgorod,11913
نادي القطن الرياضي,22695
Botafogo Futebol Clube (PB),26688
Manado United,10
نادي الطائي,12837
Novelda Club de Fútbol,4779
Swieqi United Football Club,2987
HHC Hardenberg,4553
Juan Aurich,21886
UD Puertollano,8060
Real Colorado Cougars,4076
El Mokawloon SC,35817
نادي ميلوز,11746
Al-Mokawloon Al-Arab,34565
FC Herisau,2084
Наджаф (футбольный клуб),12055
CD Guijuelo,1457
KS卡姆薩,4585
安多拉足球俱乐部,2855
Gombe United FC,12507
USアレッサンドリア・カルチョ1912,5948
Al-Hedood FC,9656
FCスパルタキ・ツヒンヴァリ,1606
SV Wilhelmshaven,7859
Botafogo Futebol Clube (Kap Verde),15
Эпиналь (футбольный клуб),7700
Ajax Kapsztad,54976
IK Sirius FK,6097
Ethnikos Olympiakos Volos FC,9049
CDコブレサル,19796
Club Atlético Rentistas,10087
Valencia Club de Fútbol Femenino,3149
FK Mladost Lučani,8220
FC Narva Trans,2174
AD Dili Oeste,5163
Olympique Safi,15364
