http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
بانغكا (جزيرة),960692
Nukufetau,536
Tematangi,58
Katergo,0
Mangere Island,0
Ummanz,274
奧尻島,3343
Сандвип,350000
Hayling Island,17379
南アンダマン島,209602
バウンティ諸島,0
بالتروم,505
Apasa (Echinades),0
Isola di Hamilton,1208
Île Floreana,100
Fernando de Noronha,2718
Inishmurray,0
Island of the Cross (Quebec),0
Остров Анциферова,0
Anholt (Denmark),145
Seychellen,92000
波特梅斯岩,0
Танегасима,33000
Lošinj,9587
Coron (isola),2649
Luna Island,0
Minamidaitō-jima,2107
揚馬延,0
Prvić,403
Bikar,0
Wyspa Vancouver,759366
拉斯托沃島,792
Namu,801
Rajkoke,0
Lopud,220
Îles Amirante,300
Isla Mansel,0
Isle Royale,0
Okinawa Island,1301462
Akuseki-jima,59
赫瓦爾島,11103
Île aux Oiseaux (Seychelles),38
屈里厄斯島,7
Isla de Hindmarsh,1233
Irlande (île),6378000
Gaua,2491
Sardaigne,1656003
Cargados-Carajos-Inseln,63
Анейтьюм,915
Outer Islands (Seychellen),0
Иль-де-Бреа,400
Aldermen-eilanden,0
Trachilos,0
Île de Ré,17723
La Palma,85225
Trindade i Martim Vaz,32
Iriomote,2347
Île Baccalieu,0
القرم,2284000
Karga (island),0
ヴェガ島,0
جزيرة شيلوي,154775
Maiana,2027
Ajon,440
Great Andaman,315540
Hrísey,172
Грейам (остров),4475
Isla Floreana,100
Litlekalsøy,26
Ilha Portsea,147088
Galapagosinseln,26640
埃瓦島,5016
Bounty Islands,0
Lifou,10151
Aneityum,915
Daebudo,7114
Aride Island,8
Saltholm,5
セントローレンス島,1352
Pampus,2
Santa Catarina (Insel),421203
Isla Signy,5
Krapanj,237
伊尼希爾島,249
普拉兰岛,7553
Krapanj,237
سيبورا,17557
Barren Island (Andaman Islands),0
弗雷里安納島,100
"Бивер (остров, Мичиган)",657
Rose-Atoll,0
Durrat Al Bahrain,1000
Wyspy Na Wietrze,194623
蒙特利尔岛,1886481
Siberut,35091
Geografia do Sri Lanka,20277597
帕邁拉環礁,4
Lord-Howe-Insel,360
Fora Islet,1
جزيرة هشيمة,0
伯德島 (塞舌爾),38
塔納島,28799
Skúvoy,52
Mallorca,859289
格尔贝尼岛,4526
Маиана,2027
Ронгелап,19
Nowa Brytania,513926
Misima,19330
Lopud,220
Saint Vincent (Antilles),100000
Авадзи (остров),157000
Triboldingerbohl,0
Norderney,5866
Roque del Este,0
Asuncion-eiland,0
迪維爾島,52
Hindmarsh Island,1233
Chuginadak,0
West Island (Andaman and Nicobar Islands),0
Alor,145299
Norfolk (eiland),2210
Peng Chau,5000
Isole Pelagie,6066
Sicília,5077487
Eddystone Rocks (South Shetland Islands),0
Babuyan,1423
Namorik,814
Mili (Islas Marshall),1032
貝里琉州,571
Porto Santo,5483
Sao Tomé (eiland),157000
Mellum,0
Islas Chatham,600
Dolin,0
Sumbawa,1391340
Jolo,447700
惠德比島,58211
Beuchel,0
Kalsoy,147
"Beaver Island (Charlevoix County, Michigan)",657
Pitti,0
Carriacou,8000
Guadalcanal,109382
比亞德納雷島,3
McIntyre Island,0
Isle La Motte,471
Hiiumaa,8582
Айи-Теодори,0
Kuria,980
Isola Bousquet,0
Megalonisi (Crète),0
Skorpios,5
Dek Deset,4816
Sandwip,350000
Valentia Island,665
Cornwallis Island (Kanada),229
Lambay,6
Penisola iberica,53000000
安蒂科斯蒂島,240
Rangiroa,2567
Вентотене (город),708
Rømø,650
Tematangi,58
اونكوتان,0
Île-de-Bréhat,400
Werd (Lake Constance),9
El Hierro,10162
Dahlak Kebir,2500
Бангарам,40
Süderoog,2
Западный Шпицберген,2642
Værøy,748
トゥブアイ島,2170
Rasshua,0
Asuncion Island,0
Futuna (Vanuatu),532
Fatu Hiva,587
Elafonissos (Kreta),0
Vanua Lava,2623
赫馬島,4500
Anaa,497
Isla del Cabo Bretón,135974
Las Hermanas (Chatham),0
Île Mocha,800
