http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Сен-Сиприен (Восточные Пиренеи),10185
"Faraday, Ontario",1433
"Ksour, Bordj Bou Arreridj",11728
马尔萨克 (克勒兹省),725
"Saint-Martin-des-Champs, Yonne",273
Ajos Epifanios,332
Valle de Matamoros,416
L'Épinay-le-Comte,180
Dobrin (Roemenië),1742
Costești (Vâlcea),3458
Saint-Sauveur (Oise),1675
Bernal (Mexiko),3048
Steinfeld (Caríntia),2195
Lapeyrouse-Fossat,2670
Stare Biskupice,103
Aceguá (Brasilien),4066
Königsfeld (Nadrenia-Palatynat),632
Sassen (Alemanha),78
San Antonio de Padua,42326
Paska,136
"Municipio de Pleasant (condado de Fairfield, Ohio)",5432
"Parava, Bacău",3014
Dragomirești (Vaslui),4636
Le Plessis-Bouchard,7999
Březnice (Zlín),1076
Saint-Jouin-de-Marnes,670
"Municipio de Cedar (condado de Calhoun, Iowa)",441
Boissy-Fresnoy,872
بانيبيد (مقاطعة دالاهو),319
霍赫格山麓奥伯多夫,755
ميله لسليس (كيبك),1520
Juan Díaz (Panama),2400
زيوية (نمة شير),601
Ouro (Santa Catarina),7695
拉马尔恩,1245
Bory (Žďár nad Sázavou District),897
Markt Sankt Martin,1072
Aappilattoq (Kujalleq),129
"Nowa Karczma, Gmina Nowa Karczma",796
Amphoe Bang Pakong,84076
Conflans-sur-Anille,634
Fara (Bloke),56
Krishnanagar (Nepal),19806
Curran (Illinois),265
Provincia de Yungay,51646
"Schönwald, Brandenburg",1234
"Wojnowo, Warmian-Masurian Voivodeship",209
"Campana, Haute-Corse",25
Hussein Dey District,233684
Saint-Saturnin-du-Limet,482
Saint-Sauveur-de-Peyre,252
"Lignerolles, Orne",166
Ozoir-le-Breuil,402
"Delta, Minas Gerais",5962
"Rope, Cheshire",2274
Montastruc-de-Salies,269
Amphoe Bang Pakong,87714
Abbéville-lès-Conflans,222
Bonneuil (Charente),275
Marcinowa Wola,239
Southill (Bedfordshire),1100
La Plata (Kolumbien),65214
Krauschwitz (Saksen),3623
勒特朗布莱,305
Huerta de Rey,1179
拉布拉多,24942
"Bistra, Vrhnika",47
Soto y Amío,972
Artyomovsky District,23495
Dompierre-sous-Sanvignes,71
Saint-Maximin (Isère),601
Rivera TI,1831
Morašice,227
La Celle (Var),1315
Luzino,6224
ميدينيا (آبلة),146
Dompierre-sur-Charente,435
Saint-Sauveur-de-Pierrepont,156
"Ramin, Zanjan",1123
Nandgaon (Uttar Pradesh),10990
Campana (Korsika),24
Saint-Cyprien (Pirineos Orientales),10112
穆瓦西穆兰奥 (涅夫勒省),29
埃里河畔东皮耶尔,74
Вердер (Любц),493
Saint-Sauveur-lès-Bray,306
Amphoe Phan,133355
"Akbarabad, Nain",25
Luján de Cuyo,98103
Bhildi,4778
Marey,61
Saint-Sauveur-d'Émalleville,1122
Viry (Saona i Loara),254
Kalabrien,2168338
Taillebourg (Lot e Garonna),87
Steinheim am Albuch,8279
Mées,1513
Saint-Saturnin-du-Limet,546
"Pleasant Township, Grant County, Indiana",7532
Qomsheh-ye Lor Zanganeh,254
Баница (гмина Усьце-Горлицке),240
Ramin,676
Boquerón (Chiriquí),3739
Ombrie,834039
جنوب تانغيرانغ,1564631
Rivera (Svizzera),1397
Bassa (Plateau),171068
Sindh,59996240
Saint-Saturnin (Puy-de-Dôme),944
Boissy-lès-Perche,495
Solncevo (quartiere di Mosca),107190
"Kandal, Kurdistan",73
Podunajské Biskupice,19001
Kosakowo (Poméranie),755
Quincy-Voisins,5256
Raz Rural District,6746
Dolní Hořice,816
"Aldergrove, Edmonton",6087
Orville (Côte-d'Or),186
Saint-Cyrille-de-Lessard,704
Moritz (Zerbst/Anhalt),318
Olmedo (Italia),3089
Trnávka (okres Dunajská Streda),415
Saint-Cyprien-sur-Dourdou,876
Saint-Sauveur (Vienne),1113
Aija (distrito),2708
Мала-Ремета,147
Seyssel (Haute-Savoie),2137
"Krzęcin, West Pomeranian Voivodeship",1267
Dommartin (Ródano),2745
Hranice (powiat Czeskie Budziejowice),219
Tamazula,2179
بيت ليد,5071
Neuenkirchen (Diepholz),1142
Tremblay-les-Villages,2100
"Wesenberg, Schleswig-Holstein",1156
Orville (Indre),120
特格尔恩湖畔格蒙德,6174
"Janów, Warmian-Masurian Voivodeship",366
"Municipio de Pleasant (condado de Appanoose, Iowa)",746
Neuenkirchen (Rügen),373
"Saint-Brice, Manche",110
Oden (Míchigan),390
Neuenkirchen (Stade),743
东河畔马尔萨克 (大西洋卢瓦尔省),1440
Mikulovice (Olomouc),2791
De Smet (Idaho),191
伊圖薩因戈 (科連特斯省),20132
Cristóbal (Repubblica Dominicana),6292
Samborowo,1596
Agios Epiktitos,5320
"Altenburg, Lower Austria",834
獨立區 (瓦拉斯省),65382
Stanbridge (Bedfordshire),812
Dommartin-aux-Bois,375
Hořice (okres Pelhřimov),204
Le Plessis-Grammoire,2061
Kirchdorf an der Iller,3131
Villedieu (Cantal),579
Boulogne (Vendeia),702
Rückersdorf (Niederlausitz),1821
Hořice (Vysočina),207
Сен-Совёр (Верхняя Сона),2264
圣索弗拉瓦莱埃 (洛特省),40
Boulogne,709
Beauregard (Lot),223
Karos,513
Bartow (Mecklenburg),516
"Sulzbach, Rhein-Lahn",199
Sierakowice,7668
Barranca de Upía,3801
Acatlán,18805
Trient,155
Saint-Cyprien-sur-Dourdou,713
"Mineral Township, Barry County, Missouri",980
"Oui, Burkina Faso",915
Koura District,67806
Dommartin-sous-Amance,282
Naval (Huesca),271
Soisy-sur-Seine,7726
Итусаинго,707
Saix,214
Фара-Вичентино,4031
Рюкерсдорф (Нижняя Лужица),1746
Corvera de Toranzo,2171
Barrancas (Colômbia),23446
Labrador (Canada),28655
Bischheim (Donnersberg),772
Morašice (district de Svitavy),701
Perreux (Yonne),303
Oberdorf im Burgenland,1034
Le Plessis-Sainte-Opportune,245
Jussy (Moselle),521
Viry (Saône-et-Loire),266
Sainte-Blandine (Isère),997
Асмат (округ),86662
"Municipio de Cedar (condado de Cherokee, Iowa)",422
Dommartin-sous-Hans,50
Stockland Bristol,170
Tremblay,1552
"Pleasant Township, Johnson County, Indiana",50829
Marey,73
"Akbarabad, Tonekabon",212
Plaisance (Dordogne),474
Beauregard-de-Terrasson,739
"Königsfeld, Mecklenburg-Vorpommern",430
シティ・オブ・ボタニー・ベイ,42024
"Rouse, California",2014
"Merlo, Buenos Aires",257049
Němčice (okres Strakonice),105
Al-Mazra’a (As-Suwajda),2678
Paint Creek (Texas),356
Biskupice (powiat poznański),1146
"Lansing Township, Allamakee County, Iowa",1360
Sono Department,6508
Jelen Do,161
Saint-Sauveur-de-Puynormand,419
Le Plessis-Sainte-Opportune,266
"Montagny, Savoie",618
Perthes-lès-Brienne,84
Dáli (Chypre),10608
Cueto (Cuba),31570
"Balgowan, South Australia",294
Kuik-e Majid,211
Veneto,4691348
Sunyer,298
Беверн (Гольштейн),594
Abra Pampa,10130
سالم (نابلس),4785
Lez (Alta Garonna),59
"Gorica, Puconci",352
Bonneuil-en-Valois,1102
Biskupice (województwo lubelskie),979
"Wörth, Upper Bavaria",4468
La Floresta (Uruguay),1451
Saint-Sauveur (Finistère),757
Arauco (Cile),36502
Rzeczyca (powiat bialski),855
Dompierre-sur-Héry,75
"Pleasant Township, Cass County, Iowa",1132
"Suba, Jerusalem",659
Bad Grund (Samtgemeinde),9513
Montastruc-de-Salies,256
Traiskirchen,14847
Igal (Ungheria),1246
Nawabganj (Unnao),9402
Leménil-Mitry,3
巴尔里,126
Golubka,1254
Luján de Cuyo,103386
Saint-Thibault-des-Vignes,6361
Lichnowy (powiat de Malbork),906
Río Segundo,22304
Oberdorff,364
La Tourette,383
Lapeyrouse (Puy-de-Dôme),579
Saint-Sauveur-la-Pommeraye,320
Municipio Tila,75416
Perthes (Haute-Marne),669
Saint-Brice (Orne),160
Noisy-sur-Oise,656
Bobangui,14699
Saint-Brice-sur-Vienne,1491
Soto de la Vega,1667
Scheidt (Saarbrücken),4162
Lapeyrouse-Mornay,987
Chwaszczyno,2607
Bożepole Wielkie,2088
Berka vor dem Hainich,839
Biskupice-Pulkov,303
Vila (Andorra),1385
Dargobądz,356
Dahlem (Berlin),14036
Coin-lès-Cuvry,670
Andon,528
Jussy (Yonne),480
Санкт-Мартин-бай-Лофер,1171
"Krishnanagar, Nepal",20302
Weißkirchen an der Traun,3191
Saint-Martin-des-Champs (Mancha),2204
"Balsas, Ecuador",3559
Mikulovice (district de Znojmo),549
Oldendorf (Schleswig-Holstein),1109
Moulineaux,903
دالماسيا,841140
Perthes (Ardenne),310
Raïon de Gagarine,128927
圣格拉蒂安,351
阿勞西縣,39434
Ayios Theodoros/Çayırova,382
Villedieu-le-Château,377
Karsin,2167
Saint-Gratien (Somme),358
Azur,559
Sankt Martin (Nadrenia-Palatynat),1960
Brando (Alta Córsega),1489
La Campana (Sevilla),5727
Le Plessis-Brion,1524
Войново (Варминьско-Мазурское воеводство),212
Saint-Gratien-Savigny,138
"Janów, Turek County",248
Lagny,518
Montagny-en-Vexin,643
Lány (Vysočina),57
东皮耶尔迪谢曼,558
Saint-Martin-des-Champs (Manche),1952
"Saint-Cyprien, Pyrénées-Orientales",9426
Dompierre-aux-Bois,44
Barranca de Upía,3839
Daniel Hernández (distrito),9570
Saint-Saturnin (Lozère),79
Okres Hodonín,16134
Barranca de Upía,4228
La Villedieu (Creuse),42
Fara Olivana con Sola,1259
"Minas Department, Neuquén",6613
Gmina Lansing (Iowa),1546
Saint-Sauveur (Vienne),1007
Sind,56088523
Königsfeld im Schwarzwald,6300
Oliva de Mérida,1830
Les Mées (Alpes-de-Haute-Provence),3371
Traisen (Niemcy),622
Бродфорд (Австралия),3501
Марсак-сюр-л’Иль,2610
Dalmatien,825640
Maranoa Region,12821
"Fara, Burkina Faso",9210
Le Plessis-Feu-Aussoux,459
"Saint-Cyprien, Bas-Saint-Laurent, Quebec",1189
Marey,63
Stare Pole,1696
Mée,207
Arborio,984
Departamento Minas (Córdoba),4525
Biskupice Podgórne,184
Le Plessis-Pâté,3522
"Dali, Izeh",78
利贝瑙 (奥地利),1938
Stockland Bristol,170
"Orville, Loiret",122
Красное (Турковский район),481
Aalbeke,3019
Neuenkirchen (Rügen),374
Podole Wielkie,272
Němčice (district de Prachatice),178
Belleau (Meurthe-et-Moselle),792
Gozdowice,141
"Jazan, Alborz",362
Saint-Sauveur-Gouvernet,200
Seehausen am Staffelsee,2232
"Quiroga, Michoacán",15442
"Taranga, Nepal",3915
Beauregard-Vendon,1179
La Villedieu (Charente Marittima),242
Mermet,38
Saint-Gratien (Somme),333
Němčice u Volyně,110
Trou-Bonbon,6652
Trient,2058
Сен-Совёр (Дордонь),709
Loria,7698
Miroslava (Romênia),10750
チュスト,59284
Saint-Cyprien (Pireneje Wschodnie),10600
Coolamon Shire Council,4271
"Traisen, Germany",550
Alto (California),738
Trnávka (district de Dunajská Streda),444
カザレッジョ・ノヴァーラ,954
塞南 (塔拉戈纳省),50
Кирхдорф (Гриммен),639
Villedieu (Cantal),558
Saint-Placide,1795
Campello (Tessin),58
Phan District,122309
Recologne (Górna Saona),34
La Vallée,662
"Lignerolles, Eure",314
Drage (Frisia Settentrionale),581
Saint-Sauveur-de-Pierrepont,138
Viry (Haute-Savoie),3486
サン＝シプリアン (コレーズ県),335
Salim Beyg,234
Akrotiri (wieś),654
貝爾加拉 (烏拉圭),3504
Svoboda nad Úpou,2228
"Sassen, Germany",85
Kunaparaju Parava,6032
Whidbey Island,54853
Dawu (Garzê),49389
Xinjiang,20954368
Seyssel (Alta Saboya),2079
Distrito de Independencia (Pisco),11704
Aqsu (Almaty),917
Janów (gmina Wolbórz),42
Winsen (Holstein),371
Gimel-les-Cascades,692
Boulogne Sur Mer (Argentina),74263
Nasavrky (okres Ústí nad Orlicí),136
"Stężyca, Pomeranian Voivodeship",2215
惠德比島,52657
Akbarabad-e Hejri,357
Montagny (Loire),1127
"Municipio de Grand Meadow (condado de Clayton, Iowa)",544
Saint-Maximin (Oise),3066
Tarur-II,7994
Boissy-Fresnoy,850
Damery (Marne),1549
Steinen (Westerwald),225
Svoboda nad Úpou,2399
"Ganjeh, Hamadan",153
萨森,87
Lignerolles (Eure),284
Kowale Oleckie,2159
Campello,58
Мирабелло,2947
Coin-sur-Seille,296
La Villedieu (Charente-Maritime),206
Lignerolles (Allier),787
Huerta (gmina),319
Heydar Kar,17
Liebenau (Opper-Oostenrijk),1687
Tangerang Selatan,1498143
"Ljubija, Mozirje",451
"Cedar Township, Cowley County, Kansas",41
Nasavrky (okres Tábor),67
Biskupice Ołoboczne,1467
Dobromilice,956
Boissy-aux-Cailles,286
"Lor, Armenia",325
"Sangha, Mali",35462
Lolme,131
Le Mée,253
Romont (Vosges),371
Cantagallo (Colombia),8271
Merlo (Buenos Aires),266481
Le Mée,257
Malla (Barcelona),272
Dommartin-lès-Toul,1431
"Ganjeh, Ilam",167
Traisen (Germania),526
蒙塔尼圣费利西泰 (瓦兹省),384
"Les Angles, Gard",8365
Damery (Marne),1499
Grandfontaine (Doubs),1460
Saint-Sauveur-la-Pommeraye,277
Tlacolula de Matamoros,15418
Saint-Sauveur-la-Vallée,38
Dommartin-Varimont,136
Umbría (Italia),843624
Lignerolles (Allier),704
Montastruc (Tarn-et-Garonne),204
"Municipio de Ridge (condado de Shelby, Illinois)",418
Dříteň,1676
Wiscasset (Maine),3622
كيتاهيروشيما (هوكايدو),56677
Stare Pole,1966
Lora del Río,18493
Raión de Gagarin,132834
"Municipio de Blackbird (condado de Thurston, Nebraska)",1158
Ribera d'Ondara,455
Rosta,4848
La Celle-sous-Montmirail,112
Ла-Сель (Алье),433
Dompierre-en-Morvan,211
Königsfeld im Schwarzwald,6083
Mory-Montcrux,102
Orville (Indre),130
"Avilla, Arkansas",835
"Lundby, Vordingborg",884
Les Angles (Gard),8024
Naval,237
Saint-Sauveur (Isère),1953
Janów (powiat kielecki),427
ميرابيلو مونفيراتو,1341
Saint-Sauveur (Côte-d'Or),186
Błuskajmy Wielkie,64
Quincy-Voisins,5057
Arue,333
Трайзен (Наэ),592
Horka,2133
Sangha (departament),75497
Zhong (Chongqing),790668
利斯尔河畔马尔萨克 (多尔多涅省),2714
Jussy (Mosela),541
"Comanche, Montana",24
Les Anses-d’Arlet,4046
Montagny-lès-Buxy,221
Liman (Azerbejdżan),12796
Peringottukurissi-II,12920
Saint-Martin-des-Champs (Yonne),320
"Senan, Tarragona",55
Roșiori (Bacău),2102
Arriaga Municipality,37906
St. Martin am Tennengebirge,1423
Orville (Côte-d'Or),212
Wojciechy (Bartoszyce),557
Нойенкирхен (Бассум),1330
Ла-Флореста (Уругвай),1519
Morašice (Svitavy District),672
Viry-Noureuil,1897
Несса (Германия),974
Cugnasco-Gerra,2476
Épinay-Champlâtreux,71
Newcastle (Utah),268
Wilkowo Nowowiejskie,187
塔里,14331
"Esper, Iran",205
比斯特拉乡,5165
Conflans-sur-Loing,404
Dříteň,1631
Фара-Оливана-кон-Сола,1207
Leroy (Alabama),838
Stare Pole (village),1891
Hagen (Holstein),357
Bemowo Piskie,1296
Bourguignon-lès-Conflans,111
Маре-сюр-Тий,313
Queensland du Sud-Est,3337869
"Landser, Haut-Rhin",1568
拉夫尼茨谷地海利根克罗伊茨,1306
Calabria,1977039
Merville (Nord),8196
Pemba (Tanzânia),399283
"Abbecourt, Oise",775
Conflans-en-Jarnisy,2755
马雷 (孚日省),69
Les Mées (Alpes-de-Haute-Provence),4018
Rafah,158084
"Krasne, Lubartów County",576
Сигет (община Нови-Кнежевац),243
Kabupaten d'Asmat,93189
Heiligenkreuz am Waasen,1643
Kleine afgelegen eilanden van de Verenigde Staten,338
Fuente-Olmedo,43
Igal,1226
Cristóbal (Panama),55360
Avot (plaats),164
Sankt Martin an der Raab,1927
塔莱斯,815
Saint-Leu-d’Esserent,5048
Lapeyrouse-Mornay,1145
Němčice (Domažlice District),126
