http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
بانغكا (جزيرة),930701
Nukufetau,526
Tematangi,59
Katergo,0
Mangere Island,0
Ummanz,242
奧尻島,3651
Сандвип,376340
Hayling Island,18404
南アンダマン島,194957
バウンティ諸島,0
بالتروم,541
Apasa (Echinades),0
Isola di Hamilton,1285
Île Floreana,98
Fernando de Noronha,2813
Inishmurray,0
Island of the Cross (Quebec),0
Остров Анциферова,0
Anholt (Denmark),147
Seychellen,91172
波特梅斯岩,0
Танегасима,32695
Lošinj,8477
Coron (isola),2426
Luna Island,0
Minamidaitō-jima,1897
揚馬延,0
Prvić,424
Bikar,0
Wyspa Vancouver,732362
拉斯托沃島,838
Namu,686
Rajkoke,0
Lopud,205
Îles Amirante,325
Isla Mansel,0
Isle Royale,0
Okinawa Island,1237518
Akuseki-jima,64
赫瓦爾島,11843
Île aux Oiseaux (Seychelles),37
屈里厄斯島,7
Isla de Hindmarsh,1229
Irlande (île),5622857
Gaua,2648
Sardaigne,1683931
Cargados-Carajos-Inseln,60
Анейтьюм,819
Outer Islands (Seychellen),0
Иль-де-Бреа,367
Aldermen-eilanden,0
Trachilos,0
Île de Ré,16031
La Palma,82090
Trindade i Martim Vaz,29
Iriomote,2312
Île Baccalieu,0
القرم,2166118
Karga (island),0
ヴェガ島,0
جزيرة شيلوي,152038
Maiana,2157
Ajon,461
Great Andaman,308008
Hrísey,162
Грейам (остров),4473
Isla Floreana,100
Litlekalsøy,23
Ilha Portsea,154625
Galapagosinseln,25282
埃瓦島,5128
Bounty Islands,0
Lifou,9466
Aneityum,885
Daebudo,6944
Aride Island,8
Saltholm,5
セントローレンス島,1302
Pampus,2
Santa Catarina (Insel),378662
Isla Signy,5
Krapanj,249
伊尼希爾島,251
普拉兰岛,7374
Krapanj,225
سيبورا,17511
Barren Island (Andaman Islands),0
弗雷里安納島,104
"Бивер (остров, Мичиган)",601
Rose-Atoll,0
Durrat Al Bahrain,962
Wyspy Na Wietrze,182427
蒙特利尔岛,2021594
Siberut,35455
Geografia do Sri Lanka,20631900
帕邁拉環礁,4
Lord-Howe-Insel,333
Fora Islet,1
جزيرة هشيمة,0
伯德島 (塞舌爾),35
塔納島,28765
Skúvoy,56
Mallorca,870481
格尔贝尼岛,4427
Маиана,2027
Ронгелап,18
Nowa Brytania,532318
Misima,21604
Lopud,237
Saint Vincent (Antilles),96824
Авадзи (остров),139350
Triboldingerbohl,0
Norderney,5506
Roque del Este,0
Asuncion-eiland,0
迪維爾島,57
Hindmarsh Island,1248
Chuginadak,0
West Island (Andaman and Nicobar Islands),0
Alor,146699
Norfolk (eiland),2418
Peng Chau,4726
Isole Pelagie,5376
Sicília,4857838
Eddystone Rocks (South Shetland Islands),0
Babuyan,1517
Namorik,861
Mili (Islas Marshall),1038
貝里琉州,577
Porto Santo,5423
Sao Tomé (eiland),159609
Mellum,0
Islas Chatham,629
Dolin,0
Sumbawa,1415606
Jolo,464304
惠德比島,54993
Beuchel,0
Kalsoy,158
"Beaver Island (Charlevoix County, Michigan)",685
Pitti,0
Carriacou,9041
Guadalcanal,111119
比亞德納雷島,3
McIntyre Island,0
Isle La Motte,447
Hiiumaa,8541
Айи-Теодори,0
Kuria,1000
Isola Bousquet,0
Megalonisi (Crète),0
Skorpios,5
Dek Deset,4639
Sandwip,361929
Valentia Island,715
Cornwallis Island (Kanada),225
Lambay,6
Penisola iberica,51144156
安蒂科斯蒂島,270
Rangiroa,2582
Вентотене (город),736
Rømø,723
Tematangi,63
اونكوتان,0
Île-de-Bréhat,373
Werd (Lake Constance),9
El Hierro,9050
Dahlak Kebir,2686
Бангарам,42
Süderoog,2
Западный Шпицберген,2349
Værøy,767
トゥブアイ島,2172
Rasshua,0
Asuncion Island,0
Futuna (Vanuatu),465
Fatu Hiva,616
Elafonissos (Kreta),0
Vanua Lava,2937
赫馬島,4947
Anaa,520
Isla del Cabo Bretón,132815
Las Hermanas (Chatham),0
Île Mocha,762
