http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
WA Tlemcen,16715
Real Estelí Fútbol Club,4560
Kossa FC,22437
HSV Hoek,3482
ナディFC,17795
Villa Sports Club,4535
Club Deportivo Colonia Moscardó,12828
Forest City London,933
バンコク・ユナイテッドFC,23353
SC Young Fellows Juventus,2744
Al-Ahly SC (Tripoli),81225
Union Böckingen,11171
Paradou AC,14572
Santa Pola Club de Fútbol,3083
Trujillanos FC,26833
Clube Desportivo Travadores,7564
第聶伯斯摩棱斯克足球會,12785
聖馬田大學體育會,19043
Lupo Martini Wolfsburg,1460
AD San Juan,1496
London Gryphons,3244
メルボルン・ビクトリーFC,28747
CD Aves,5027
UE Llagostera,4160
Club Real Potosí,32898
Sapekhburto K'lubi Samt'redia,2982
ハートリプール・ユナイテッドFC,7658
UE Llagostera,3301
Siderurgistul Galați,5916
莫雷洛斯美洲獅,14433
FC Zimbru Chișinău,10577
Clube Nacional de Benguela,10501
الرابطة كوستي,2947
Corporación Social Deportiva y Cultural de Pereira,29734
Bogotá Fútbol Club,8440
FC Callatis Mangalia,5046
Olympiacos Volou 1937 F.C.,8811
Sint-Truidense VV (vrouwen),536
Montedio Yamagata,17955
アル・カルフSC,5707
Centro Deportivo Bezana,2856
نادي الاتفاق (السعودية),28649
马拉巴老鹰足球俱乐部,4256
نادي فاقوس,9230
Sport Lisboa e Benfica B,2420
Булонь (футбольный клуб),15057
Futbol'nyj Klub Tekstil'ščik Kamyšin,9971
Gaborone United SC,23406
California Victory,9882
Football Club Niutao,1449
FK Wizebsk,7758
Persela Lamongan,14203
Prone Lugo AD,2258
رامبلا جونيورز,6515
Hertha Berliner Sport Club,79308
إيرغوتيليس,24601
"Ривер Плейт (футбольный клуб, Кармополис)",2353
Ferroviário Esporte Clube (Serra Talhada),5255
Club Deportivo Irapuato,27279
KS Delvina,2563
Ethnikós Le Pirée,3
Краснодар-2 (футбольный клуб),3430
Associação Atlética Coruripe,2168
IFK Hässleholm,6046
Union sportive Créteil-Lusitanos,12936
Al-Sailiya,25368
Sportverein Höngg,1010
Кайруан (футбольный клуб),26050
Turan İK,8990
Mogas 90 FC,15990
Football Club Progrès Niederkorn,5042
FCウラル・スヴェルドロフスク・オブラスト,11370
FC Tyumen,13424
Bathgate Thistle F.C.,1975
Titanes de Tulancingo,2566
FK Mažeikiai,2590
FCミルサミ・オルヘイ,2325
Associação Olímpica de Itabaiana,14857
VfL Oldenburg,3625
フェイエノールト,47345
Tarbes Pyrénées Football,2881
SV Höngg,978
Конинклейке ХФК,1012
CSD Comunicaciones,17922
Grupo Desportivo Cruz Vermelha,6798
Football Club Déifferdeng 03,2385
Al-Hala,9077
Córdoba CF B,2760
FK Jezero Plav,4683
Tacuarembó F.C.,12047
Unión Club Ceares,1348
Red Bull Brasil,19194
مونتيديو ياماغاتا,18001
FC Blauw-Wit Amsterdam,1971
RB Leipzig,46816
Kabuscorp SC,11647
Камза (футбольный клуб),4947
FC Fastav Zlín,6076
El Gawafel Sportives de Gafsa,10690
アルトナ93,8
نادي جيرونا,9929
Grêmio Atlético Sampaio,5621
Società Sportiva Acqui Calcio 1911,1616
Dinamo Batoum,5612
FC Blau-Weiß Linz,2096
Chimia Râmnicu Vâlcea,8836
Llanidloes Town F.C.,4073
Flota Świnoujście,3418
Indios de Ciudad Juárez,19327
Ethnikos Piraeus F.C.,3
SC Opel Rüsselsheim,8380
FC Penzberg,846
União Desportiva Oliveirense,4229
Gloria Buzău,17910
Luparense F.C.,729
JK Trans Narva,1956
Piteå IF,3614
La Roda CF,2978
Amsterdamsche Football Club,7672
Kilwinning Rangers F.C.,2443
Deportes Quindío,21740
Freetown City,30528
Kristianstads FF,6474
Cabinteely Football Club,1516
卡迪夫城足球俱乐部,33917
FKクルオヤ・パクルオイス,2147
Кастриоти (футбольный клуб),9818
CD Palestino,10861
Futbol'nyj Klub Žemčužina-Soči,10804
Mohammedan SC Dhaka,37424
AD Torrejón CF,1342
FC Stade Nyonnais,7943
"Неман (футбольный клуб, Мосты)",2368
Brisbane Roar,48248
Gazovik Orenburg,7010
Asociación Deportiva Ceuta,6151
"Олимпик (футбольный клуб, Сафи)",14133
ローイエット・ユナイテッドFC,2120
Salahaddin FC,9489
"Локомотив (футбольный клуб, Мездра)",4733
Clubul Sportiv Pandurii Lignitul Târgu Jiu,18413
Football Club de Gueugnon,14252
ASV Cham,10360
Esporte Clube Itaúna,6
FC VSS Košice,8626
PFCナフバホール・ナマンガン,20739
Club Deportivo Educación de Abancay,9300
IF Älgarna,2437
Associação Desportiva Perilima,35612
Juventud Escuintleca,3125
Futbol'nyj Klub Dinamo Vologda,9119
Спортинг Вильянуэва Промесас,2705
Stal Sanok,2
Club Deportivo Iruña,2235
Universidad San Martín de Porres,16927
St Andrews F.C.,1101
Football Inter Club Association,7133
Segesta Sisak,7577
نادي أشانتي جولد,32262
Hardenberg Heemse Combinatie,4344
UD Lanzarote,5903
FK Inter Bakoe,9015
FCシオニ・ボルニシ,3086
Al-Ahly Trypolis,73310
戴納瓦足球俱樂部,3788
كاليدونيا إي آي إي,20799
Yaracuyanos FC,10933
FC Narva Trans,2241
CD Guijuelo,1636
Maritzburg United Football Club,12659
Carrick Rangers,5249
FK Belasica Strumica,6764
Club Deportivo Getxo,3564
Брайтенрайн,1483
Stade Tunisien,17797
Club athlétique bizertin (football),20159
FC Vysočina Jihlava,3593
نادي ملبورن فيكتوري,47509
Forfar Athletic F.C.,710
Playford City Patriots SC,4875
Racing Club Vichy football,4570
FC Rattana Bundit,990
Glenrothes F.C.,5311
FC Spartak Plovdiv,3294
Army United Football Club,19736
KS Shkumbini Peqin,4677
Associação Olímpica de Itabaiana,12427
TSG Backnang 1919,5481
FK BSK Borča,3866
Алванд Хамедан,7638
Águia de Marabá Futebol Clube,4647
SD Leioa,3627
Selangor FA,83106
نادي فان,9280
Ashanti Gold SC,27618
Associazione Sportiva Cesenatico Chimicart Associazione Dilettantistica,10002
Стад Тунизьен,20062
União São João Esporte Clube,21983
A.C.D. Guidonia Montecelio,1957
نادي البحر الأحمر الإرتري,19562
Pego Club de Futbol,1007
Hertha BSC,76317
Maccabi Ironi Jatt F.C.,12750
SpVgg Landshut,10279
FC Neman Mosty,2678
FC Samtredia,3329
Győri Egyetértés Torna Osztály Football Club,16537
Southern Myanmar United Football Club,13502
Al-Arabi Sports Club,14387
FC Tofaga,1354
FB Gulbene,1505
Club Atlético Bucaramanga Corporación Deportiva,28262
FK Makedonija Gjorče Petrov,3124
Batuque FC,4873
FK Neman Grodno,9122
Football club bassin d'Arcachon,1019
博亞卡捷高足球會,17729
FK Mladost Podgorica,1931
Gloria Buzău,18659
Atlabara FC,11285
Newcastle United F.C.,47011
Unión Deportiva San Sebastián de los Reyes,3238
Deportivo Pereira,28819
FKスティエスカ・ニクシッチ,5548
SC Binningen,1243
Unión Huayllaspanca,21798
AS Tempête Mocaf,20945
Football Club Avenir Beggen,4696
Orihuela CF,5950
Perseru Serui,10423
Joensuun Iloiset Peli-Pojat,2092
Coton Sport Football Club de Garoua,20834
FK Shoʻrtan Guzar,7963
"Динамо (футбольный клуб, Тирана)",10138
Пудун Зобон,16930
Fudbalski Klub Jezero Plav,5406
FC La Chaux-de-Fonds,13181
Al-Arabi Kuwait,29172
Associação Atlética Coruripe,2095
CD Puerta Bonita,3723
VfL Oldenburg,3384
Hereford United F.C.,4602
Sporting Clube Farense,15257
Nacional de Benguela,9580
新波洛茨克足球俱樂部,5040
FK Rostow,16644
Timbaúba Futebol Clube,5471
FK Liepājas Metalurgs,5366
墨尔本胜利足球俱乐部,27696
SV Horn,3266
ED Moratalaz,2581
Патриотас (футбольный клуб),21952
Vikingur Ólafsvík,1060
Società Sportiva Lazio,74052
Briton Ferry Llansawel A.F.C.,1801
Grulla Morioka,4626
Kastamonu Spor Kulübü,3980
Sport Huancayo,20868
Playas de Castellón FS,6391
AS Bantous,32929
Melita FC,507
Câu lạc bộ bóng đá Hà Nội T&T,23313
Delfines de Coatzacoalcos,5142
CDC Moscardó,13197
Futbol'nyj Klub Saljut,12175
FC Ameri Tbilisi,1100
Corporación Deportiva Patriotas Fútbol Club,21111
FC Lokomotiv-2 Moscú,9614
拉密根吉夫阿塔伊姆夏普爾足球會,41329
Самтредиа (футбольный клуб),3236
Defensa y Justicia,10691
阿斯塔納足球俱樂部,28962
Clube Ferroviário do Recife,5318
نادي بيريكوم تشيلسي,9362
Real Valladolid B,1641
Челябинск (футбольный клуб),14925
ASV Cham 1863,9368
Дифаа,15732
SV Wienerberg,3
FC Dinamo II București,1977
FC Nanumaga,1534
Mangotsfield United F.C.,2288
MŠK Púchov,6565
卡巴拉足球會,1830
Club Deportivo Beniel,4189
Ulaanbaatar Mazaalai,3506
Club Deportivo Irapuato,25458
Жирона (футбольный клуб),8644
Agrosport,6211
Universidad SC,5258
Skellefteå FF,1344
نادي النجوم,18697
Indios de Ciudad Juárez,19199
Al-Fateh,19573
FK Zvezda Irkutsk,4126
阿波羅利馬素,12958
Bears FC,14539
Kozakken Boys,2312
Inuit Timersoqatigiiffiat-79,1986
Deportivo Galicia,13400
伊萬尼察楓樹足球俱樂部,4328
Такуарембо (футбольный клуб),13374
Оренбург (футбольный клуб),7872
アーセナルFC.リザーブ,4135
FC TVMK Tallinn,4748
Al-Karkh SC,6160
Klubi Sportiv Flamurtari Vlorë,8559
伊蒂法克足球俱乐部,24773
Agrupación Deportiva Alcorcón,6004
Paulínia Futebol Clube,9774
Karvan Yevlax,5566
Santiago Futsal,6161
AS Bantous,33789
CR Caála,10727
FK Mladost Lučani,8719
Альбирекс Ниигата,41074
Varzim Sport Club,10028
Kazma SC,20584
FC Nitra,5113
Portimonense SC,9174
Clube Do Bilene Quelimane,10
Associação Atlética Ferroviária (Botucatu),3281
Novelda Club de Fútbol,5132
Ankara Demirspor,34844
Unión Deportiva San Sebastián de los Reyes,2794
FCダラス,20508
Club Deportivo Teguise,1588
Hapoel Rishon LeZion F.C.,6463
Deportes Colchagua,6557
آلبيركس نيغاتا,47688
Centre d'Esports L'Hospitalet,6663
Rangers F.C. (South Africa),26244
Kastamonuspor 1966,4157
Clubul Sportiv Turnu Severin,20976
Independiente del Valle,8729
Qviding FIF,4
CDバスコニア,8820
Borussia Mönchengladbach,51321
Hakoah Berlin,5056
Adlershofer BC 08,4577
Шуртан (футбольный клуб),8513
Futbol'nyj Klub Fakel Voronež,27896
1. FC Aschersleben,5349
Волочанин-Ратмир,5137
Chonburi Blue Wave Futsal Club,2808
Associação Desportiva Recreativa e Cultural Icasa,19856
نادي تور,16282
FK Tioumen,14512
Power Dynamos Football Club,12190
Aberystwyth Town,5006
Adelaide United FC,18453
نادي يزد لوله,5787
ケンブリッジ・ユナイテッドFC,8441
نادي هبوعيل بئر السبع,17423
Malleco Unido,2
Enköpings Sportklubb,4331
グルージャ盛岡,4948
Killymoon Rangers F.C.,732
Ballspielverein Borussia 1909 e. V. Dortmund,87992
Mogas 90 FC,15052
Westwacht Aachen,1830
Club de Deportes Regional Atacama,11299
Africa Sports National,19643
ENTO Aberaman Athletic FC,2851
CD Linares,11116
Vasas Budapest,20336
Palmeiras Nordeste Futebol,17130
FC Iskra-Stal Rîbnița,4804
نادي بلدية مقديشو,16044
CD Giner Torrero,540
Koninklijke HFC,904
Red Sea FC,19868
MFK Zemplín Michalovce,4297
Сибиряк (футбольный клуб),8658
Igreja Nova Futebol Clube,5249
Carpi Football Club 1909,3898
Montedio Yamagata,20761
1. HFC Humenné,4491
Southill Alexander F.C.,3275
AD Casar de Cáceres,506
Tampereen Pallo-Veikot,4931
Lakena United,1586
SKディナモ・チェスケー・ブジェヨヴィツェ,6546
Paradou Athletic Club,15898
Red Bull Brasil,21062
CD Villegas,802
Asociación Deportiva Municipal de Pérez Zeledón,6634
FC Chernomorets Novorossiysk,13283
Granada CF,23880
A.C. Bastia 1924,1673
FK Mažeikiai,2368
Associazione Calcio Bellinzone,5360
SD Órdenes,2847
KS Kastrioti Krujë,9078
Unión Deportiva Vall de Uxó,4169
Torslanda IK,1495
Stade Centrafricain,18639
Asociación de Fútbol Calahorra,4450
Mouloudia Oujda,38216
U.S. Russi,2554
Aiglon du Lamentin,9135
Гостивар (футбольный клуб),939
FC Dallas,20174
唐卡士打流浪百麗絲女子足球會,16771
Аль-Батин (футбольный клуб),2806
Clubul Sportiv Turnu Severin,20805
Moghreb Athlétic de Tétouan,13393
Unión Coquimbo,20
Klubi Sportiv Apolonia Fier,6936
Savanne SC,1937
FC Zug 94,5343
Futbolniy Klub Tekstilshchik,9566
Club Deportivo Zuera,2260
AS Korofina,34485
FC Lugano,5735
Grulla Morioka,5069
FC Aarau,10147
乔治维尔斯特尔曼俱乐部,38763
FC Vysočina Jihlava,4488
Club Deportivo Beniel,4038
ACルガーノ,6361
Hapoel Kfar Saba,5753
Clube Recreativo da Caála,9314
AS Tempête Mocaf,22259
Сет (футбольный клуб),8394
Íþróttafélagið Höttur,495
Guarany Sporting Club,15875
Profesionalen Futbolen Klub Černomorec-Burgas-Bălgarija,1923
BV Cloppenburg,5514
"Викингур (футбольный клуб, Гота)",1788
1461 Trabzon,6190
Floridsdorfer AC,2772
FKゼムン,10101
Santos FC de Angola,17758
AZS PWSZ Biała Podlaska,1495
雅丹纳博足球俱乐部,15732
نادي كراسنودار,36356
Rampla Juniors Fútbol Club,6390
Райо Вальекано B,947
FCシャフハウゼン,6452
Лацио (футбольный клуб),69444
Hibernians FC,4266
Jantra Gabrowo,14698
Ankara Demirspor,36782
Suwon FC,12583
Rot-Weiß Lüdenscheid,19796
FK Velež Mostar,6552
サラブリーFC,5707
SpVgg Aidlingen,3204
FC Basel,39830
AmaZulu Football Club,11109
Suwaiq Club,12474
Postel 2000 FC,30009
瓦讷奥林匹克俱乐部,10205
VFC Anklam,10422
SV Feldkirchen,2042
Flekkerøy IL,1555
FC Kuban Krasnodar,32579
FC Chomutov,10897
Drogheda United,2262
Astres FC,27547
Универсидад де Консепсьон,29830
Al Tadamon Tyr,6489
FC Tsjepinets Velingrad,8555
JIPPO,1840
FC Puente Tocinos,886
KS Kamza,4918
Stade Tunisien,16222
Apollon Limassol,12801
FK Belasica Strumica,6139
SpVgg 03 Neu-Isenburg,9660
Sorrento FC,4679
CD Cenicero,1165
Грёдиг (футбольный клуб),4295
Kalmar AIK,8570
Boulevard Blazers,7477
Печ (футбольный клуб),7690
AD Dili Leste,5389
FC Dila Gori,5322
Club Nalón,301
Clube Recreativo Desportivo do Libolo,9919
FK BSK Borča,3580
スポルト・ボーイズ,15686
Santiago Futsal,4977
FC Differdange 03,2169
Kickers Emden,7407
FK Smederevo,16526
Kapaz PFK,29952
Вильянди (футбольный клуб),2479
Nogometni Klub Iskra Bugojno,12847
Fudbalski Klub Mladost Podgorica,1893
Ashton Athletic F.C.,577
Maranatha Fiokpo,4987
Don Bosco SC,945
TSV Hartberg,4319
Moghreb Athletic Tétouan,15950
梁贊足球會,27786
Carabobo Fútbol Club,9727
Association Football Club de Compiègne,16449
Nest-Sotra Fotball,1955
نادي السد (قطر),12221
Arema Malang,48702
ヘレフォード・ユナイテッドFC,5227
Deportivo Cañaña,7602
"Факел (футбольный клуб, Воронеж)",28035
Caravaca Club de Fútbol,1961
Club Deportivo Unión Criptanense,2742
Lombard-Pápa TFC,5601
Club Social y Deportivo Coatepeque,19
Forces Armées Royales de Rabat,45374
福岡黃蜂,23368
GBK Kokkola,2821
Oeste Futebol Clube,17940
جمعية اسنيم,5274
迪費爾丹格足球俱樂部,2292
Sport Club Kriens,5393
NAC Breda,19761
CD Ñublense,10552
Cetatea Suceava,13233
SC Apolda,7670
Sportivo Huracán Arequipa,20608
インテルFS,2877
KF Këlcyra,1006
Football Club Tofaga,1380
SV Alsenborn,7925
巴伦西亚足球俱乐部,52481
ASO Buhuși,3069
Union Sportive Rumelange,2805
Emirates Club,4882
Wuhan Zall FC,23404
Club de Deportes Malleco Unido,2
MKS Kluczbork,2226
Эспаньол B,5801
نادي سيستاو ريفر,9936
Werder Bremen,40982
Club Atlético River Plate (Uruguai),5593
GBK,3045
KF Apolonia Fier,7090
電力巨擘足球會,11559
Al-Wakrah Sport Club,10871
Islanders FC,1856
奧斯迪足球會,18319
Associazione Calcio Dilettantistica Nardò,4937
Kalamata FC,4310
FC Basel,32765
Karacabey Birlikspor,1778
Astur CF,2016
FCスラヴィア＝マズィル,5316
Unione Sportiva Fiumana,8101
FC Narva Trans,2130
Stade Poitiers,12555
DFK Dainava Alytus,4049
CD Getxo,3064
MŠK Rimavská Sobota,4860
阿普朗尼亞足球會,7596
Spartaki Tsinvali,1394
FC Diepoldsau-Schmitter,1112
Deportivo Coatepeque,22
Berekum Chelsea,9723
拿薩夫足球會,15473
US Yatenga,4915
Melbourne Victory FC,31505
Royal Thai Navy F.C.,12492
United Petrotrin F.C.,10577
Vinaròs CF,9357
卡阿拉娛樂俱樂部,10137
HNK Šibenik,7859
