http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Pontifical Catholic University of Puerto Rico School of Law,601
Handelshochschule Stockholm,1592
St. Dominic Savio Catholic High School,365
Katholieke Universiteit Leuven,56796
Universität für Umwelt- und Biowissenschaften,5080
Lucknow College of Arts and Crafts,609
المدرسة الأمريكية الدولية (الرياض),1676
Nationale Bergbauuniversität der Ukraine,15494
聖奧古斯丁天主教中學,1381
Università di Ankara,42061
Universidad de Valladolid,30745
St. Charles North High School,2175
Monipur High School,38684
Alleyn's School,1171
Woodbridge High School (New Jersey),1520
Uniwersytet Edynburski,36453
North Hills School District,4298
Time Squared Academy,652
Tring Park School for the Performing Arts,315
Sohar University,6484
Saugus High School (California),2628
Мессинский университет,22743
St. John's High School (Massachusetts),949
Donaldson's School,32
"Braeside School, Buckhurst Hill",191
Friends Select School,582
Universität Fukushima,4700
Greater Latrobe School District,4176
Portage Northern High School,1408
キエフ大学,19226
Hebron High School (Texas),3152
St. Michael's Choir School,230
Mount St. Mary Academy,362
R S McLaughlin Collegiate and Vocational Institute,1121
University of Wisconsin Law School,840
Escuela Preparatoria Ball,2349
Cy-Fair High School,3652
巴黎第二大学,17303
Universität Karthago,47088
Sealy High School,840
Center for Entrepreneurship and Innovation,2598
盧布林醫科大學,6198
Shenzhen Foreign Languages School,1507
Bait-Ul-Ilm School,517
Western Beaver County School District,789
Kingsway Regional High School,1662
Pinecrest Public School,302
Università di Richmond,493
Itchen College,1411
ストックホルム大学,66989
"Bethel High School (Spanaway, Washington)",1680
Collège d'ingénierie de Pune,3689
Prairie City School,158
"Coronado High School (El Paso, Texas)",3340
ヒロ高等学校,1214
American School for the Deaf,167
Colston's Girls' School,837
National Pedagogic University (Mexico),24662
Escuela Superior de Comercio Carlos Pellegrini,2416
جامعة برنو للتكنولوجيا,24206
"Carroll High School (Dayton, Ohio)",745
South Plainfield High School,1055
"Rogers High School (Toledo, Ohio)",793
Near East University,25348
Université d'État de Virginie,6009
Lacey Township High School,1489
Ann Arbor Public Schools,16097
Escola jurídica da Universidade Howard,418
Griffith High School (Indiana),826
Saint Petersburg State University of Service and Economics,36316
Pine Richland Middle School,724
Kingston Business School,4543
Lutheran High School East,154
Warrior Run School District,1788
Canterbury High School (Ottawa),1317
冰島藝術學院,469
Lost River Jr./Sr. High School,290
IT-Universität Kopenhagen,1939
The John Henry Newman School,1507
Bucharest Academy of Economic Studies,21553
Cuyamaca Community College,8297
Westhill Senior High School,711
Bedales School,751
Universidad de los Llanos,5568
Pacific Crest Community School,77
University of Montenegro,22264
Al-Beroni University,4836
C. S. Lewis Academy,236
"Northwest High School (Cincinnati, Ohio)",1240
Université du Rwanda,31927
Северо-Западный университет (ЮАР),62406
武夷学院,10209
École de l'air,499
Clinton School of Public Service,92
Orchard Park High School,1693
École orthogénique,42
University of St. Francis,3373
Walter-Sisulu-Universität,22509
North Carolina Central University,9659
Universidade de Chieti-Pescara,28876
Royal College of Surgeons in Ireland,4120
Libera Università Internazionale degli Studi Sociali,7303
Jesse C. Carson High School,1135
DuBois Area School District,3962
Hodges University,2106
University of Nebraska–Lincoln College of Law,317
Horizon Christian School,192
Southern Illinois University School of Medicine,271
Université nationale d'Ouzbékistan,10129
Kantonsschule Küsnacht,513
Nebraska Indian Community College,91
Украинский физико-математический лицей,313
Harvard Graduate School of Design,186
Boonsboro High School,1022
Kingswood College (Sri Lanka),4755
Fuzhou No.1 Middle School,2012
Monterey Bay Academy,211
"St. Stephen's Episcopal School (Austin, Texas)",674
Universität Ioannina,14468
Hebrew High School of New England,68
Universidade do Estado do Arizona,14034
Arizona State University,3754
El Colegio de México,466
ペルー・カトリカ大学,17466
Brimmer and May School,397
Eastern Montgomery High School,309
Universidade de Deusto,2150
University of Algarve,8917
Charleston Southern University,3501
Government Saadat College,15597
American Hebrew Academy,131
South High School (Denver),1459
Université de Mossoul,30429
Longcroft School,1513
Lewis and Clark High School,1945
"Liberty Charter High School (La Mesa, California)",332
Universidad del Algarve,8750
Chisholm High School,320
Nyack College,2888
UWC-USA,221
Bozeman High School,1911
Highcliffe School,1383
Valdosta High School,2203
Dunmore School District,1721
Hostos Community College,6647
台北市立建国高級中学,3606
UC Berkeley School of Public Health,406
El Toro High School,3070
Cedar Key School,248
Rydens Enterprise School,1130
マドリード工科大学,37579
جامعة كولومبيا,27800
Santa Fe Indian School,696
布尔诺理工大学,23819
隆德大学,42316
Lac Courte Oreilles Ojibwa Community College,239
"Mayfield High School (Mayfield, Ohio)",1761
"St Columba's College, St Albans",846
"Notre Dame High School, Glasgow",694
Universidade Nacional do Laos,25793
马克维尔高级中学,1236
EU Business School,3
Minnetonka High School,2891
"Bloomfield High School (Bloomfield, New Mexico)",812
Woldingham School,582
Frank Sinatra School of the Arts,880
Philippine Science High School Western Visayas Campus,471
Bingley Grammar School,1967
Court Moor School,1078
Bridgwater College Academy,1190
University of Chieti-Pescara,30205
Winterhill School,1233
T. H. Williams High School,1122
Universidade de Bréscia,13332
Liaocheng University,28
Université de Naples - Frédéric-II,81711
Università degli Studi di Modena e Reggio Emilia,19763
Gayaza High School,1056
Coral Way Bilingual K-8 Center,1554
Heinrich-von-Gagern-Gymnasium,959
Comenius-Universität Bratislava,26346
Bear Creek Secondary School,1577
North Branford High School,664
ハーバード大学デザイン大学院,186
Conewago Valley School District,4001
Chaffey High School,3507
Zhejiang Sci-Tech University,27036
Universidad Católica de la Santísima Concepción,5468
University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,5945
Geneva Academy,38
Universidad Nacional de San Luis,12793
St John's Business and Enterprise College,139
Campolindo High School,1256
Open University of Hong Kong,16566
Universidade de Magallanes,6
Université du Monténégro,20807
Connellsville Area School District,4624
Harvard Business School,1997
Harper College,55843
St Andrews Lutheran College,1142
Université Petru Maior,3598
Eddyville Charter School,240
كلية رويال ناشونال كوليدج للمكفوفين,202
Academie voor Muzikale Kunsten Praag,1605
Escuela de Música St Mary,85
湖北美术学院,6233
布达佩斯考文纽斯大学,14185
Redondo Union High School,2780
Cambridge House Grammar School,1411
Pine Crest School,2691
Wilmington Grammar School for Girls,747
United College (Hong Kong),2911
Sullivan County School District,627
Kansas State University,24314
Madeley High School,656
Waltham High School,1395
جامعة إيجة,51193
State College Area High School,1976
"Potomac High School (Oxon Hill, Maryland)",1030
The Bear Creek School,755
Universiteti i Prishtinës,42
Université du Costa Rica,44
Arts and Technology High School,80
Universidad Demócrito de Tracia,27595
Kielce University of Technology,9571
Evangelische Hochschule Nürnberg,779
Williston State College,1042
University of Arkansas – Fort Smith,7567
Elon University School of Law,306
École des beaux-arts de Bezalel,2050
Christian Academy in Japan,459
福州格致中学,1940
Università tecnica statale di Novosibirsk,13831
Koninklijke Academie van Beeldende Kunsten,954
مدرسة طب سان دييغو (جامعة كاليفورنيا),780
"Columbia Graduate School of Architecture, Planning and Preservation",642
莱姆顿学院,3442
Sydney Law School,3360
Broadoak Mathematics and Computing College,936
New York University School of Law,1622
Nuclear Power School,2486
内モンゴル大学,23078
Bellaire High School (Ohio),508
Universidad de Playa Ancha de Ciencias de la Educación,10552
Beacon College,290
The Khaitan School,3347
Noadswood School,1086
Central University of Technology,15
"National Institute of Technology, Rourkela",5844
広西師範大学,24695
Бернский университет,17474
Universität Stavanger,10312
Maple Hill Elementary School,1177
Ledford Senior High School,1113
Archbishop Spalding High School,1196
Université des îles Baléares,18810
Centaurus High School,1036
University of Deusto,2232
スウェーデン王立工科大学,14703
Birmingham Conservatoire,614
Winchester Thurston School,669
Nardin Academy,892
Bucerius Law School,538
Far Brook School,226
Frederica Academy,420
St. John's College (Harare),548
Trinity Washington University,2177
Clarion-Limestone Area School District,936
Université de Mongolie-Intérieure,22279
Waynflete School,241
臺北市立松山高級中學,2872
Kalapuya High School,170
Institut Supérieur de Logistique Industrielle,118
國立彰化女子高級中學,1829
Robert S. Farrell High School,184
New Valley Continuation High School,176
Collège de Maisonneuve,5455
J. W. Mitchell High School,1944
Umpqua Valley Christian Secondary School,108
Ridgewood High School (Florida),1848
College Aiglon,366
Universidad Estatal de Arizona,11840
County Line High School,248
Erasmus Universiteit Rotterdam,25705
University of Washington School of Dentistry,244
The Hermitage Academy,1073
Walden Grove High School,949
The Wellington School,685
Michigan City High School,1696
Universität Teramo,9531
Tamkang University,26652
Institut d'optique Graduate School,250
Centralia College,4621
North Chicago Community High School,757
Putnam City North High School,1993
Istituto europeo di design,8358
Charles Carroll High School,419
"Overton High School (Memphis, Tennessee)",1465
聖方濟大學,3466
The Green School,891
Hochschule Mittweida,5481
Вальядолидский университет,32002
Derry Township School District,3515
Llantarnam School,1332
"Department of Business Management, University of Calcutta",33
Universidad Metropolitana de Ciencias de la Educación,6116
Harvard Business School,2037
Academia de Arte e Design - Bezalel,2119
University of Aberdeen School of Law,937
Transcona Collegiate Institute,621
Technische Universiteit Kaiserslautern,14
Hanover Public School District,1644
Axtell High School (Texas),184
North Forney High School,990
Universidad Anyang,5361
Ohio State University,57950
大阪府立清水谷高等学校,971
达喀尔大学,59560
Päpstliche Katholische Universität von Santo Domingo,4800
Universidad de Acadia,4454
جامعة الروح القدس - الكسليك,8108
Universiteit Rijsel I,21217
EARTH University,400
Norfolk Academy,1190
Blue Mountain High School,877
Chalmers University of Technology,10775
Silver Lake Regional High School,1148
Pavol Jozef Šafárik Universität in Košice,5783
Kwantlen Park Secondary School,1496
Saint Francis Central Coast Catholic High School,250
Stuart Country Day School,406
Gateway High School (San Francisco),435
Selinsgrove Area High School,842
Peters Township School District,4354
Galt Collegiate Institute and Vocational School,998
Zionsville Community High School,1882
جامعة ويك فوريست مدرسة الطب,156
South Hills High School (Texas),1569
San Benito High School (Texas),2008
Smoky Mountain High School,812
Noble High School (Maine),993
順德聯誼總會李兆基中學,1151
Gorno-Altaisk State University,5563
North Sichuan Medical University,10596
T. H. Rogers School,778
Life Christian School,360
The International School of Penang (Uplands),596
Фрайбергская горная академия,4966
"Evangelical Christian School (Fort Myers, Florida)",623
厦门外国语学校,3868
Mount Miguel High School,1454
"Pleasant View School (Milton-Freewater, Oregon)",104
Saddleback College,25212
Antioch Community High School,1311
Libera Università Internazionale degli Studi Sociali Guido Carli,7549
Lumen Christi Junior/Senior High School,88
Institut national des sciences appliquées de Toulouse,2113
Nootka Elementary School,438
諾汀罕大學,43571
Grombalia Secondary School,2450
Instituto Tecnológico de Karlsruhe,25509
Lumberton High School,1036
École nationale supérieure d'ingénieurs de constructions aéronautiques,489
Escuelas Públicas de Arlington,25745
Universidad de Deusto,2225
DuBois Area School District,3934
Wake Forest School of Medicine,480
"North Star Academy (Redwood City, California)",513
Heights High School,2856
Tascosa High School,2193
University of La Réunion,12063
Ranelagh School,931
Brookings-Harbor High School,540
North London Collegiate School,1016
Polk State College,19983
Bayside High School (Virginia),1997
Università Politecnica delle Marche,17795
Renaissance High School,971
Appalachia High School,211
Université normale du Zhejiang,25466
Archbishop Ryan High School,1405
Koninklijke Academie van Beeldende Kunsten,971
Sistema Universitario de Indiana,107048
Dixie Grammar School,325
Южно-Флоридский университет,48377
Burrell School District,1981
Universidade de Perúgia,27673
Universidade de Havana,25155
Militärische Universität Nueva Granada,24
Libera Università degli Studi Per l'Innovazione e le Organizzazioni,1900
Northampton Area High School,3086
Northlands College,610
Salisbury High School (Pennsylvania),576
Comenius University,26154
The Kurt Hahn Expeditionary Learning School,371
Faculte de Theologie Evangelique de Boma,62
Charles E. London Secondary School,861
Université Stanford,15636
Bucerius Law School,555
东北财经大学,19786
"Pacific High School (Port Orford, Oregon)",86
里斯本新大學,19823
曼谷大學,27066
Panthéon-Assas University,18089
Pennsylvania State System of Higher Education,115709
La Pine Senior High School,527
"UIUC College of Agriculture, Consumer, and Environmental Sciences",3621
Francis Tuttle Technology Center,3093
Ludlow High School,917
"Jefferson High School (Jefferson, Oregon)",323
"Pontificia università ""San Tommaso d'Aquino""",1057
Nationale Oles-Hontschar-Universität Dnipro,19654
Universidade Internacional do Mónaco,573
Irondale High School,1578
Haywood Early College High School,152
Университет Николая Коперника,30062
Universität Chieti-Pescara,31337
French National School for the Judiciary,546
Rockdale County High School,1350
Universität für Bodenkultur,12212
"East High School (Columbus, Ohio)",1047
École cathédrale de Viborg,1019
Point University,1650
Universidad Metropolitana de Ciencias de la Educación,6431
Doña Lourdes Institute of Technology,204
J.P. Stevens High School,2096
Seattle Jewish Community School,94
"Coronado High School (Colorado Springs, Colorado)",1555
Antioch College,274
New Castle Area School District,3343
Wilcox Central High School,594
Университет штата Аризона,48257
Chilton High School (Texas),474
Universität Salerno,32767
Outwood Academy Danum,1894
Alliance Academy International,418
Universidade de Concepción (Chile),22510
Universität Kalabrien,33782
Basic Education High School No. 2 Sanchaung,4725
Natomas Unified School District,13125
Universidade Nacional de San Luis,12905
Université d'État de Kent,30728
St. Charles West High School,699
University of Tsukuba,15721
Underdale High School,775
Roosevelt College,5168
Hueytown High School,1147
Technische Universität Kaunas,10893
Columbia University,28536
الجامعة الأوروبية,3
Diamond Jubilee Higher Secondary School,2527
Glenmuir High School,1755
Purdue University,40407
WWA Cossipore English School,9915
Universität Kagoshima,10523
Valentine Independent School District,49
Université Paris-Sorbonne-Abou Dabi,803
Gateway High School (Zimbabwe),603
"Covington High School (Covington, Virginia)",260
Pierce College,20289
University of Santo Tomas College of Commerce and Business Administration,3741
Platteville High School,481
Universität Singidunum,10281
Roundwood Park School,1203
Haverstock School,1271
Western Canada High School,2095
Stillwater Area High School,2508
Wickersley School and Sports College,1958
مدرسة أكسفورد (تريفاندروم),1354
Portledge School,471
Centro de Música Hugo Lambrechts,486
University of Colombo,11487
City University of New York,513784
Kunming International Academy,62
Universiteit van Nordland,5656
Oak Hill Academy (New Jersey),394
Lees–McRae College,1023
Collinwood High School (Tennessee),362
Universität Damaskus,213892
جامعة مالطا,11738
Meadville Lombard Theological School,73
Universität Palermo,48
Lawrence Free State High School,1493
كلية الطب التقويمي في تورو,504
Universität Göteborg,37345
Lycée français de Shanghai,1242
Universität Bremen,20901
Алтайский государственный технический университет имени И. И. Ползунова,29849
Universidad de Salzburgo,17258
Gairloch High School,161
臺北市立建國高級中學,3713
Charlestown High School,945
Watertown High School (Massachusetts),722
Innisfree House School,728
Greenford High School,0
Birmingham Conservatoire,593
Vienna International School,1403
Shahrekord University,5806
"University of Technology, Mauritius",4532
St. Marys High School,221
Trinity Catholic High School (Connecticut),411
"Bridgeport High School (Bridgeport, Michigan)",528
Eau Gallie High School,2330
Georgia State University College of Law,470
Zamora Memorial College,482
Донбасский государственный технический университет,9613
Universidade de Lérida,10113
崇貞学園,2412
Bury Church of England High School,1
Escuela Universitaria de Ålesund,2161
Highgate School,1505
Millwoods Christian School,940
Macquarie University Faculty of Business and Economics,14751
جامعة القلعة,23922
Students United,50214
East Boston High School,1415
École Samuel-de-Champlain,706
Mechanicsburg Area Senior High School,1193
Гаванский университет,24030
Ware County High School,1811
Myrtle Point High School,357
Томский политехнический университет,21899
Ohio State University,56871
Red Cliffs Secondary College,695
Court Fields School,793
Sistema Universitario Texas A&M,149214
Azerbaijan State Agricultural University,4911
卡塔尼亚大学,68357
University of Nice Sophia Antipolis,25855
Universidad de La Rioja,7564
Таджикский национальный университет,23913
Central Greene School District,2114
Bethany College (Saskatchewan),0
Bethel High School (Connecticut),1037
Harvard Graduate School of Arts and Sciences,4141
Meerut Institute of Engineering and Technology,2558
"The Castle School, Taunton",1275
École supérieure d'études cinématographiques,414
Universidad de Módena y Reggio Emilia,19013
Instituto Real de Tecnologia,14767
Elizabeth Ziegler Public School,428
Bedford Area School District,2195
McAllen High School,2161
Manatee High School,2452
جامعة شالمر للتكنولوجيا,11152
Meoncross School,374
Henry Sibley High School,1561
South Shore High School (Chicago),603
Great Marlow School,1206
Grayson County High School (Kentucky),1247
Glyn School,1714
"Clearview High School (Lorain, Ohio)",611
Weifang Medical University,12683
Laguna Hills High School,1667
Minot High School,2064
West York Area High School,944
"Staatliche Universität für Informationstechnologien, Mechanik und Optik Sankt Petersburg",12337
