http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Pedro e Inês,13
Rizzoli & Isles,105
包青天 (1993年電視劇),246
De Smurfen (televisieserie),262
BoJack Horseman,37
Man of the People (TV series),12
Kung Mamahalin Mo Lang Ako,140
Iron Chef,14
Heartbeat (serie de TV),10
Asar Talo Lahat Panalo!,55
The Bridge (serie televisiva 2013),25
Air City,16
The Beast (2009 TV series),13
Jhansi Ki Rani (TV series),522
The Killing (Forbrydelsen),40
Morderca z Whitechapel,18
Traveler,8
The Man from Snowy River (TV series),62
Harry (TV series),21
檀島警騎,282
Timothy va a la escuela,25
تالا (مسلسل),172
明成皇后 (電視劇),125
皇家反千組,15
Zeke and Luther,73
Britain from Above,6
Documentary '60,26
Rebelde (telenovela brasileira),408
Piżamiaki,53
Samson & Goliath,13
Comedy Slapdown,12
Бедная Настя,129
Provaci ancora prof,31
Parenthood (Fernsehserie),107
Sunburn (TV series),14
Réunion : Destins brisés,13
Los Fruittis,55
The City (1999 TV series),33
"Flash Gordon (Fernsehserie, 2007)",22
Sleepers (TV series),4
Click (Philippine TV series),292
The Cube - La sfida,77
Batman (serial animowany 2004),62
Impact Wrestling,654
Trust Me (serie televisiva),13
Alcatraz (serial telewizyjny),13
April Kiss,23
Stargate Atlantis,102
Nastoletnia Maria Stuart,64
Monday Night Golf,8
Galactica 1980,10
Conquest of Space (TV series),5
Moving On,38
Extreme Trains,8
Gawayn,102
Rainbow Brite,4
تابالوغا التنين الأخضر,78
Hot Wheels Battle Force 5,54
Shark Tank,153
Salem's Lot,2
Scorpion (serial telewizyjny),49
FNS Music Festival,45
Rainbow Brite,2
Nummer 6,17
Osbournes Reloaded,6
The Andy Griffith Show,244
Hum Dono Hain Alag Alag,32
Легенда о Корре,52
Standoff,18
Mes trois fils,387
Papi Ricky,138
El Show de los Muppets,120
救命医ハンク セレブ診療ファイル,107
Falcon Crest,224
與媒體見面,17738
Objection!,39
猫狗,68
Zafalowani,51
The Yellow Rose,23
Addicted to Love (TV series),31
Single Father (televisieserie),4
In casa Lawrence,88
El Privilegio de Mandar,76
The Troop,40
California Dreams,81
Mysterious Incredible Terminator,16
Land Girls,15
One Summer,5
The Last Scandal of My Life,16
Above Suspicion (TV series),11
Kaettekita Ultraman,53
Australia's Greatest Athlete,22
Росомаха и Люди Икс,25
Dark Matter (TV series),26
Kakasa Ka Ba Sa Grade 5?,47
Observatório da Imprensa,512
Empty Nest,163
Dolce Valentina,174
Flashpoint (TV series),74
Beat the Star (Australia),4
Brüder (Fernsehserie),41
Alcatraz (telessérie),13
Head over Heels (TV series),8
Aquarius (Fernsehserie),26
Pacific Palisades (TV series),13
The Lost Dream,104
Timeless (série télévisée),3
Kirk (série de televisão),32
Reign,59
Джеронимо Стилтон (мультсериал),79
Доктор Плюшева,101
Stoked: Locos por las olas,50
Dark Shadows (1966),1251
!Oka Tokat,259
Baggy Pants and the Nitwits,13
فوفر,25
The New Adventures of Zorro (1981),13
Anne of Green Gables: The Animated Series,27
Speechless: Silencing the Christians,14
El Gran Show (season 1),13
Raw (TV series),31
Struggle (TV series),32
Pop Pixie,53
La Chica de Ayer (TV series),8
When the Levees Broke,2
Scorpion (televisieserie),51
"Мелроуз-Плейс (телесериал, 2009)",18
Amores cruzados,124
Teens in the Wild,4
Income Property,149
Eye Candy (TV series),10
Doctors (serie de televisión),20
恐龙战队 (第一季),62
探險時光,225
鸦林镇,10
御用閒人,20
Rahe Bipayan,27
4 gegen Z,39
Savitri (TV series),157
People in Parties,2
Quinceañera (telenovela),100
Avatar: De Legende van Aang,59
Medicina generale (serie televisiva),39
القنفذ سونيك ( سلسلة كرتون) 1993,27
Scorpion (série télévisée),51
Action Man (série télévisée d'animation),25
ECW on TNN,58
RIS Delitti Imperfetti,148
Daredevil (serie televisiva),25
Nature's Great Events,6
Боб-строитель,326
U.E. (TV series),8
Keeping Up Appearances,44
Флорисьента,357
Scriptum – Der letzte Tempelritter,2
كيلر كاريوكي - غني لو تقدر,6
Soldier Soldier,84
Spice Goddess,11
Uno di noi (TV series),12
Hrvatski Top Model,24
Laguna Beach MTV,44
The Janice Dickinson Modeling Agency,41
Professor Balthazar,61
Les Popples,45
Melrose Place,237
Life (serie televisiva),31
New Adam-12,53
Ned ou Comment survivre aux études,52
McGee and Me!,12
بريزون بريك,78
BrzydUla,232
Jayce and the Wheeled Warriors,68
Through the Bible with Les Feldick,968
Fargo (série),19
スーパーロボット マッハバロン,25
Charity Lords of the Ring,4
Ape Escape (animated TV series),19
سحر الحب,96
Blossom,114
Los Oblongs,13
Cyberchase,106
Drei Engel für Charlie,114
Nach Baliye,142
リトルモンスター,50
Auld Ones,25
Xuan-Yuan Sword: Scar of Sky,36
Teletubbies,446
La signora in giallo,262
Make-up und Pistolen,88
Taxi (Amerikaanse televisieserie),118
The Blonde Bombshell,2
The Commish,97
Loving (TV series),3149
Ciudad Bendita,217
Romanzo criminale (série télévisée),21
Banshee – Small Town. Big Secrets.,37
Ilha da Sedução,27
The Brian Conley Show,51
Bad Guy (TV series),17
Samantha oups !,318
La que no podía amar,164
The Loop,17
Geronimo Stilton (serie animata),80
Eliot Kid,54
Alergia Monstra,50
Please Like Me,31
Iron Chef,14
Princesses (TV series),8
Baby Bonus (TV series),24
Amiche mie,12
Zapytaj Harriet,13
Liwanag Ng Hatinggabi,17
Doctor on the Go,27
Beast Wars: Transformers,50
Aniołki Charliego,112
NY-LON,7
名車再生!クラシックカー・ディーラーズ,168
The Stranger (1973),1
Ravenswood (série télévisée),10
The Middleman (TV series),12
The Charm Beneath,29
Eye Candy,10
Broken Arrow (TV series),72
Sasural Simar Ka,1641
Era Uma Vez... o Planeta Terra,26
حديقة المرح,97
المضحكون,13
Happy Valley (serial telewizyjny),12
Érase una vez... los exploradores,26
Команда «А»,101
Aly & AJ: Sister Act,1
Save Me (série télévisée),7
Kyle XY,44
Yongzheng Dynasty,45
"Malibu, CA (TV series)",50
Wikingowie (serial telewizyjny),40
Bajo la misma piel,97
Batman: Odważni i bezwzględni,68
Rainbow Brite,2
Cannonball (TV series),40
فتيات القوة,81
Boys and Girls Alone,4
Остаться в живых (телесериал),122
Dave and Steve's Video Game Explosion,2
دليلك ملك,79
Come Fly with Me (série télévisée),6
Drake i Josh,59
Stuart Little: The Animated Series,13
A Gifted Man,16
Honour and Passion,20
Mako Mermaids: Syreny z Mako,67
La antorcha encendida,69
Bad Guy,17
My Secret Identity,69
"Заключённый (телесериал, 1967)",17
Sokole Oko (serial telewizyjny),22
Zabranena Lyubov,310
Devi (TV series),118
Psych,123
Space Ghost Coast to Coast,109
Polònia,201
Skunks Fu,26
Food Jammers,42
My Alibi,19
Adventures of Sonic the Hedgehog,62
Lasciate in pace i koala,26
La niñera (Mexican TV series),19
Deep in the City,33
Some Mothers Do 'Ave 'Em,22
Expo This Week,25
MTV Made,278
Eye in the Sky (TV series),20
Puso ng Pasko: Artista Challenge,19
The Gates,13
Trudis Liit,92
Przystanek dżungla,47
Shasta McNasty,21
Silver Spoons,118
Life (televisieserie),31
Star Magic Presents,105
Paris Hilton's British Best Friend,8
Hasta que el dinero nos separe,220
Action Man (serie animata),27
Sangnyusahoe,16
A Lei e o Crime,24
A Kind of Magic (televisieserie),27
Kick Kasskoo,100
無邪気な関係,13
Baantjer,122
Un trésor dans votre maison,589
Jinx - Fornelli e magie,13
"Флэш Гордон (телесериал, 2007)",22
Cuffs (TV series),8
Texas Ranch House,8
Ekipa z Newcastle,97
Alegrijes y rebujos,132
Kancelaria adwokacka,170
Dr. Slippery,6
Mrs. Columbo,13
Ben 10: Supremacía Alienígena,52
Batman (serie de televisión),116
Baggy Pants and the Nitwits,13
Squadra antimafia - Palermo oggi,74
Dark Kingdom: The Dragon King,2
My Queen,22
Romance Zero,16
談判專家 (電視劇),29
Doctors,3165
League of Super Evil,52
Scream Queens (telerrealidad),16
Norma e Felice,19
Total Wipeout,57
Una mujer marcada,20
In Harm's Way (reality show),8
Il cane di papà,177
Highland Emergency,1
Pop-Up Video,206
Adventure Time,227
State of Mind (TV series),8
Tough Love (TV series),59
Pepper Anderson agente speciale,88
Wonder Woman (serie televisiva),61
Kick Buttowski: Suburban Daredevil,103
Ozzy & Drix,25
East Coast Sessions,9
Canavial de Paixões,117
الإمام علي (مسلسل),23
Das Leiden Christi (Fernsehserie),4
Deal or No Deal (Tunisia),29
Glue (série télévisée),8
Orphan Black,41
Oh Happy Band!,6
Alvin and the Chipmunks (1983 TV series),104
I Cuordileone,13
Brewster Place,11
Forever Knight,68
Martha (TV series),1167
Z Rock (TV series),10
PopPixie,53
The Trouble with Tracy,134
Sport Billy,26
Powerpuff Girls,79
Bang Goes the Theory,65
Rock & Chips,3
Embraced – Clan der Vampire,8
College (TV series),14
W klatce czasu,34
Heartbeat (série télévisée),10
Personne n'y avait pensé !,128
Mi pecado,115
Full English,6
فايكنغز (مسلسل),38
La città in controluce,101
Roar (UK TV series),20
Verbotene Liebe,4696
軒轅劍之天之痕,35
Iron Man (animatieserie),25
CHAOS (TV series),13
"Dude, What Would Happen",37
Big Ang,10
Every Witch Way,85
Big Sexy,3
Alphas,24
ChuckleVision,300
Take Care of the Young Lady,16
スティーヴン・キング 8つの悪夢,8
Picchiarello (serie animata),54
Sanctuary (serie de televisión),59
Chand Ke Paar Chalo (TV series),81
Amorcito corazón (telenovela),200
The Facts of Life,219
Ironside (1967 TV series),194
الدببة الطائرة,40
"V, la Bataille finale",3
Chuggington,159
The Gates: Za bramą tajemnic,13
Alphas,24
In the Realm of Fancy,21
Orphan Black,39
فيردي (مسلسل),53
Zorro (Philippines TV series),102
Il était une fois… l'Homme,26
Super Hero Squad,52
Charm School with Ricki Lake,11
Nikki (TV series),39
Bouli,111
Kaya ng Powers,17
The Adventures of Ozzie and Harriet,429
Master Raindrop,26
Hipertensão (season 1),4
La quiero a morir (telenovela),116
Qui veut partir ?,27
信約：動盪的年代,31
Peg + Gato,49
"Dire, fare, baciare",66
Barracuda (serie),4
Prison Break,82
Fourways Farm,24
Wallace e Gromit,1
Es war einmal … der Mensch,27
The Road We Have Taken,49
Charlie’s Angels (Fernsehserie),8
Уоллес и Громит,1
J.J. Starbuck,16
The Story Makers,4
House (TV series),176
Kick Kasskoo,53
Believe (serie de televisión),13
Four on the Floor (Canadian TV series),13
Junior pianta mordicchiosa,13
Parenthood (série télévisée),107
The Adventures of Chuck and Friends,40
Polònia,196
Billy the Cat,51
Hunters,13
The A-Team,97
Dorothy (TV series),4
Hero 108,50
Drôle de chance,17
Rebelde (Brazilian telenovela),417
Ned's Newt,39
Skyll inte på mig!,5
Принцесса Сисси,50
Save Me (serie de televisión),7
Era Uma Vez... os Exploradores,27
飛天小女警,81
スポーツレンジャー,33
Honey West,30
オルトロスの犬,9
MasterChef (Australie),94
Don Bosco (telenovela),53
E.U. (TV series),29
Un filo nel passato,25
1 vs. 100 (Chinese game show),16
Kittie Party,420
"Los Angeles, années 30",13
The Real World: D.C.,14
Intelligence - Servizi & segreti,6
