http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
بانغكا (جزيرة),960155
Nukufetau,553
Tematangi,58
Katergo,0
Mangere Island,0
Ummanz,262
奧尻島,3455
Сандвип,365650
Hayling Island,16970
南アンダマン島,209045
バウンティ諸島,0
بالتروم,527
Apasa (Echinades),0
Isola di Hamilton,1169
Île Floreana,102
Fernando de Noronha,2723
Inishmurray,0
Island of the Cross (Quebec),0
Остров Анциферова,0
Anholt (Denmark),149
Seychellen,88464
波特梅斯岩,0
Танегасима,32290
Lošinj,9201
Coron (isola),2597
Luna Island,0
Minamidaitō-jima,2067
揚馬延,0
Prvić,413
Bikar,0
Wyspa Vancouver,765012
拉斯托沃島,772
Namu,762
Rajkoke,0
Lopud,213
Îles Amirante,296
Isla Mansel,0
Isle Royale,0
Okinawa Island,1311025
Akuseki-jima,59
赫瓦爾島,11593
Île aux Oiseaux (Seychelles),38
屈里厄斯島,7
Isla de Hindmarsh,1224
Irlande (île),6160134
Gaua,2588
Sardaigne,1683282
Cargados-Carajos-Inseln,61
Анейтьюм,906
Outer Islands (Seychellen),0
Иль-де-Бреа,381
Aldermen-eilanden,0
Trachilos,0
Île de Ré,17441
La Palma,86983
Trindade i Martim Vaz,31
Iriomote,2310
Île Baccalieu,0
القرم,2198663
Karga (island),0
ヴェガ島,0
جزيرة شيلوي,147744
Maiana,2073
Ajon,445
Great Andaman,305408
Hrísey,171
Грейам (остров),4324
Isla Floreana,99
Litlekalsøy,25
Ilha Portsea,150596
Galapagosinseln,25546
埃瓦島,5161
Bounty Islands,0
Lifou,10023
Aneityum,930
Daebudo,7320
Aride Island,8
Saltholm,5
セントローレンス島,1419
Pampus,2
Santa Catarina (Insel),409139
Isla Signy,5
Krapanj,242
伊尼希爾島,260
普拉兰岛,7800
Krapanj,231
سيبورا,17132
Barren Island (Andaman Islands),0
弗雷里安納島,104
"Бивер (остров, Мичиган)",628
Rose-Atoll,0
Durrat Al Bahrain,1011
Wyspy Na Wietrze,189208
蒙特利尔岛,1909901
Siberut,35182
Geografia do Sri Lanka,21130318
帕邁拉環礁,4
Lord-Howe-Insel,368
Fora Islet,1
جزيرة هشيمة,0
伯德島 (塞舌爾),38
塔納島,28590
Skúvoy,52
Mallorca,843295
格尔贝尼岛,4466
Маиана,1975
Ронгелап,19
Nowa Brytania,522339
Misima,20204
Lopud,223
Saint Vincent (Antilles),100691
Авадзи (остров),150128
Triboldingerbohl,0
Norderney,5675
Roque del Este,0
Asuncion-eiland,0
迪維爾島,52
Hindmarsh Island,1184
Chuginadak,0
West Island (Andaman and Nicobar Islands),0
Alor,143077
Norfolk (eiland),2250
Peng Chau,5148
Isole Pelagie,5775
Sicília,5289708
Eddystone Rocks (South Shetland Islands),0
Babuyan,1472
Namorik,807
Mili (Islas Marshall),1019
貝里琉州,582
Porto Santo,5294
Sao Tomé (eiland),162305
Mellum,0
Islas Chatham,607
Dolin,0
Sumbawa,1409715
Jolo,464339
惠德比島,55458
Beuchel,0
Kalsoy,152
"Beaver Island (Charlevoix County, Michigan)",647
Pitti,0
Carriacou,8258
Guadalcanal,107814
比亞德納雷島,3
McIntyre Island,0
Isle La Motte,493
Hiiumaa,8565
Айи-Теодори,0
Kuria,941
Isola Bousquet,0
Megalonisi (Crète),0
Skorpios,5
Dek Deset,4697
Sandwip,340436
Valentia Island,682
Cornwallis Island (Kanada),229
Lambay,6
Penisola iberica,54329926
安蒂科斯蒂島,247
Rangiroa,2447
Вентотене (город),716
Rømø,660
Tematangi,60
اونكوتان,0
Île-de-Bréhat,390
Werd (Lake Constance),9
El Hierro,9862
Dahlak Kebir,2547
Бангарам,39
Süderoog,2
Западный Шпицберген,2561
Værøy,758
トゥブアイ島,2152
Rasshua,0
Asuncion Island,0
Futuna (Vanuatu),509
Fatu Hiva,613
Elafonissos (Kreta),0
Vanua Lava,2688
赫馬島,4499
Anaa,508
Isla del Cabo Bretón,142084
Las Hermanas (Chatham),0
Île Mocha,821
