http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
ウィーン美術アカデミー,1304
Lionel Hampton Fine & Performing Arts School,657
圣地尼尔中学,1233
Staatliche Technische Universität für Nuklearenergie Obninsk,2955
Midwest City High School,1616
Uniwersytet Techniczny w Warnie,7125
Colton High School (California),3264
Crestwood High School (Pennsylvania),1098
Albertville-Realschule,608
Клаустальский технический университет,1
George Washington University Law School,1378
Южно-Флоридский университет,48388
"Indian Institute of Information Technology and Management, Gwalior",748
North Carolina Central University,9338
R S McLaughlin Collegiate and Vocational Institute,1063
Universität Split,25664
Bradley Stoke Community School,1071
Hochschule für Musik Carl Maria von Weber,1
Coudersport Area School District,779
Redcar Academy,709
Universidad de las Indias Occidentales,37408
Millis High School,387
Bromley High School,880
Loxford School of Science and Technology,1530
Nokomis Regional High School,727
La Salle University (Ozamiz),4884
Mainland High School,1901
Oviedo High School,2504
Johnston Senior High School (Rhode Island),870
"Carson High School (Carson, California)",3418
Islamic Azad University South Tehran Branch,114700
Trachtenberg School of Public Policy and Public Administration,435
"Royal Academy of Art, The Hague",973
Tunis University,28772
Maumee Valley Country Day School,488
Shaker Heights High School,1910
Antietam School District,1079
Souhegan High School,906
Pontifical Catholic University of Puerto Rico School of Law,576
Blackheath High School,690
Institut national des sciences appliquées de Toulouse,2127
National University of Advanced Legal Studies,440
Lyman School for Boys,413
Universidad Estatal de Ingeniería de Armenia,10473
Bodindecha (Sing Singhaseni) School,5027
"St Paul's High School, Hyderabad",2873
Captain John L. Chapin High School,1916
台北市立松山高級中学,2729
韓國放送通訊大學,172552
Armstrong School District (Pennsylvania),5663
Aiyas Matriculation Higher Secondary School,206
カルヴィン神学校,391
St Ambrose College,936
Universidad de Salerno,35503
浙江师范大学,20474
Universidade de Kent (Estados Unidos),29489
Académie des beaux-arts de Vienne,1247
Freedom High School (Pennsylvania),1791
Universidad de Macquarie,40989
Little Village Lawndale High School Campus,271
Edsel Ford High School,1557
漢堡法學院,554
Texas A&M International University,7369
Instituto de Tecnologia da Geórgia,25877
University School,828
ミシュコルツ大学,14770
"Mulberry High School (Mulberry, Florida)",1142
国防科学技術大学,14931
Hatch End High School,1238
Meharry Medical College School of Dentistry,210
Berkley High School,1362
Lincoln County School District (Georgia),1387
Università Campus Bio-Medico,1657
Saint Francis College,2795
Ware County High School,1681
Jackson College,5627
Cobblestone School,60
Garden City High School (Kansas),2241
Marygrove College,2599
John H. Francis Polytechnic High School,3561
Blue Mountain High School,785
Terry College of Business,3425
高等科学技术学院,1534
Gorsebrook Junior High School,202
St. Martin's Engineering College,3445
Innisfree House School,745
Rapid City Area Schools,13198
Sophia-Universität,12461
Fredonia High School (New York),498
Red Oak High School (Texas),1821
Chatham High School (Virginia),691
Universidad de Guanajuato,31268
École Normale de Musique,1053
Schreiner University,1106
Hallmoor School,236
جامعة مودينا وريدجو إميليا,20246
ハーバード大学デザイン大学院,895
UC San Diego School of Medicine,305
Christian Academy in Japan,480
جامعة كولومبيا,28075
Moorpark College,13726
"International College of Management, Sydney",1255
Conservatorium Maastricht,626
Avondale School District,3868
Université d'État du Kansas,24407
Riverton Parke Junior-Senior High School,464
J. A. Fair Systems Magnet High School,867
جامعة البوليتكنيك في ميلانو,39024
Penn State Greater Allegheny,813
Bulacan State University,31384
Jarvis Christian College,767
Digital Media Arts College,329
Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu,8202
Ponderosa High School,1810
Mersin Üniversitesi,26
University of Chieti-Pescara,29307
Thomas Jefferson Arts Academy,815
Maurice J. McDonough High School,1357
Saint Petersburg State University of Service and Economics,39276
Godolphin and Latymer School,744
La Vergne High School,1670
"Rye High School (Rye, Colorado)",274
Maria Carrillo High School,1578
Instituto Politécnico Nacional,167988
Truro School,1074
Sioux Falls Christian Schools,827
"San Pasqual High School (Escondido, California)",2520
Oxon Hill High School,1301
Newcastle School for Boys,398
Колледж Святого Креста,2799
Drexel University,25657
"Delhi Private School, Dubai",3404
Prince Rupert School,1007
Pisgah High School,1008
Reidsville High School,816
弗莱贝格工业大学,5005
Ashford School,860
Busan Arts College,789
Gateway High School (San Francisco),421
Hampton Township School District (Pennsylvania),3166
Hangzhou High School,1711
Jeju National University,53675
Université de Mongolie-Intérieure,23599
Antioch Community High School,1309
国家与世界经济大学,21716
福建省福州第一中学,2096
Pacific Grove High School,617
Durham Johnston Comprehensive School,1468
Universidad Estatal Belarusa de Informática y Radioelectrónica,17845
Universität Lund,39654
Monterey College of Law,119
Lake Travis Independent School District,8603
Penn State Wilkes-Barre,552
Claflin University,1731
Bangladesh Air Force Shaheen College,10384
Kasetsart University Laboratory School,4576
国立雲林科技大学,9446
Robert S. Farrell High School,180
Citadel High School,1277
Bethany College (Saskatchewan),0
Battlefield High School,2975
Kingswood Secondary Academy,1272
Linz International School Auhof,385
Universidad de Piura,6563
ハバナ大学,23870
Albanian School of Magistrates,28
Université de la République,79849
Universiteit van Piura,6431
King Charles I School,1155
University of Nottingham,42701
Universidad de Princeton,8407
مدرسة طب جامعة جونز هوبكنز,495
New Smyrna Beach High School,2135
Fort Worth Country Day School,1107
Cordon bleu (Kochschule),19416
Thornton Academy,1445
Eastview High School,2174
Universität Camerino,9507
Saint Petersburg Art and Industry Academy,1436
American School of Dubai,1661
Siskiyou Union High School District,760
Uniwersytet w Hamburgu,40122
Newport High School (Pennsylvania),389
Carmi-White County High School,374
School for Ethics and Global Leadership,23
Line Mountain Jr./Sr. High School,298
Hanley Castle High School,994
Колледж Лисгар,1144
Bernice MacNaughton High School,808
جامعة غراتس الطبية,3930
"University of Dental Medicine, Mandalay",843
Journeys School,203
المدرسة الأمريكية في الدوحة,2107
Université de Reggio de Calabre,10
Montgomery County Community College,12225
Patcham High School,1050
Johnson College,479
United World College–USA,46
Birmingham Blue Coat School,1
Chalmers University of Technology,11279
Athens Technical College,3968
Center for Transnational Legal Studies,61
Deer Park High School (Texas),4161
جامعة ستكهولم,65840
Miramar High School,2730
West Jefferson Hills School District,2841
El Toro High School,2978
Hingham High School,1085
Eagle High School,1434
Hochschule für Musik Karlsruhe,573
Valdez High School,234
KIIT Law School,884
Collège Montmorency,7136
Universidad Azteca,15750
Institut d'études politiques d'Aix-en-Provence,1871
Université nationale d'Ouzbékistan,10026
Haughton High School,1144
"Queen Elizabeth's School, Crediton",1526
Plantsbrook School,1314
Shri Ramdeobaba College of Engineering and Management,4796
Sunningdale School,102
Российско-таджикский (славянский) университет,3190
張祝珊英文中學,876
Universidade Carlos III de Madrid,17953
College Prep International,149
荷语天主教鲁汶大学,56260
Uniwersytet Pavla Jozefa Šafárika w Koszycach,5860
"Lamar School (Meridian, Mississippi)",551
Accademia degli studi economici di Bucarest,23219
Stephen Perse Foundation,777
Glenbard South High School,1407
Columbia High School (New Jersey),1799
Университет Софии (Токио),11445
ハーバード・ビジネス・スクール,1983
Jessore University of Science & Technology,2870
North Paulding High School,2401
Financial University under the Government of the Russian Federation,82805
Universität Göteborg,36328
Appleton North High School,1541
Emerson School for Visual and Performing Arts,628
Escuela Universitaria de Ålesund,2206
Zhejiang A & F University,18138
جامعة 9 ايلول,49469
Royal National College for the Blind,204
Far Hills Country Day School,423
オハイオ州立大学,58716
Boricua College,1182
Brunswick (Brittonkill) Central School District,1306
Silverton Independent School District,223
Our Lady of the Lake University,3182
Mount Royal Collegiate,943
Universidad de Orán,26562
Universität Regensburg,21537
Bethany College (Kansas),736
フェリックス・メンデルスゾーン・バルトルディ音楽演劇大学ライプツィヒ,821
Queen Margaret Academy,660
Charlestown Senior High School,726
Sam Barlow High School,1788
York Suburban Senior High School,864
"Coronado High School (Coronado, California)",963
Morningside College,2003
Davis High School (Utah),3308
Fitch Senior High School,1360
جامعة لينيوس,15080
Université norvégienne pour les sciences de la vie,4885
University of Oran,26049
Marymount International School Barranquilla,1294
Astronaut High School,1143
Universidad Tecnológica Nacional,73318
Sarasota High School,2319
Framingham High School,2097
Allegan High School,719
馬里蘭藝術學院,1964
George Rogers Clark High School (Kentucky),1630
スワジランド大学,5802
"Mulberry High School (Mulberry, Florida)",9
"Sainik School, Korukonda",531
Alberto Hurtado University,4428
Uniwersytet Republiki,79088
Will Rogers High School,1138
Coastal Pines Technical College,2397
Marietta City Schools (Georgia),7491
"Southern High School (Durham, North Carolina)",1650
Albany High School (Georgia),938
McClellan Magnet High School,906
Universiteti i Prishtinës,41
Open University of Hong Kong,16491
Peter the Great St. Petersburg Polytechnic University,30731
Universidade de Perúgia,27626
Universidad Johnson & Wales,15518
School of Health Professions,557
North Gwinnett High School,2873
兵庫県立大学,6061
Tinago National High School,619
Croatan High School,940
"Cleveland High School (Los Angeles, California)",3906
Universidade da Suazilândia,6019
Escuela de cine Marubi,0
奧蘭治中學 (俄亥俄州),742
Roger Williams University,4517
Cumbernauld College,3104
جامعة تويو,29344
College Avenue Secondary School,838
Università degli Studi di Messina,21669
مدرسة النرويجية الدولية,198
Universidade do Estado do Arizona,4326
Woodstock North High School,962
Blue Mountain High School,945
Kaneland High School,1409
湖南中医药大学,3
University of Eastern Finland,14959
Uzhhorod Gymnasium,825
Эрфуртский университет,5387
Università di Edimburgo,35280
The Key School,719
"Wayland Academy, Wisconsin",72
Glasgow High School (Kentucky),556
McIntosh High School,1684
Universidad de Gabès,23438
Baden-Württemberg Cooperative State University,32368
Osaka Prefecture University,7775
Melbourne Law School,1189
Staniland Academy,339
Amphitheater Public Schools,16419
Bloomington Jefferson High School,1750
Institut d'Administration des Entreprises,42833
Université de Rome « La Sapienza »,113940
Università Tecnica Ceca di Praga,23844
أكاديمية الغابة السوداء,303
Carlisle Area School District,4995
Transcona Collegiate Institute,667
Université Panthéon-Assas,18514
Frederick Gent School,881
Saint Paul American School,299
Holy Cross Catholic Academy,908
International School of Kraków,246
Hayes Mission School,152
Waynflete School,250
Millard North High School,2516
Akureyri Junior College,779
Universidad de Tecnología y Economía de Budapest,20261
National University of San Luis,12620
Russische Akademie für Theaterkunst,1464
Liberty Middle School (Virginia),1075
معهد كارلسروه للتكنولوجيا,25596
"Friends' School, Lisburn",980
Université FON,5083
Collège Ahuntsic,9855
Università degli Studi di Bari Aldo Moro,50538
Watkinson School,282
Forest Hill High School,1128
Kwantlen Park Secondary School,1468
Webster County High School (West Virginia),523
UCL Institute of Archaeology,676
Mars Hill Bible School,554
Universidad Técnica de Creta,3277
American School in Taichung,175
Mars Hill University,1372
University of Applied Sciences Wedel,1026
Redmond High School (Oregon),819
Roger Williams University,4320
"Hudson Catholic High School (Hudson, Massachusetts)",123
Haywood Academy,1178
"St Edward's School, Oxford",663
Escuela Nacional de Educación Secundaria Wen-Hua,2410
Diamond Bar High School,4484
Bellerive FCJ Catholic College,925
Wren Hollow Elementary School,431
BUITEMS,8501
Universiteit van Modena en Reggio Emilia,20427
كلية المكسيك,442
东芬兰大学,15415
DePaul University College of Law,738
Kelso High School,1898
Universidade Joseph Fourier,16844
Universität für Chemie und Technologie in Prag,3722
Instituto Tecnológico de Ciudad Juárez,5658
Blountstown High School,407
Lynnwood High School,1626
University of National and World Economy,21949
CCC Heep Woh College,1173
Seisen International School,734
Université technique d'Eindhoven,6757
Avon Old Farms,424
Universidade da República,82623
浙江中医药大学,5601
Longyan University,8344
Russian Academy of Theatre Arts,1554
The Rodillian Academy,1363
Nelson Marlborough Institute of Technology,3047
Monroe County School District (Georgia),3722
Mangotsfield School,1297
Bridgeport Academy,119
Plashet School,1412
Instituto Químico-Tecnológico de Praga,3431
Chippewa Secondary School,690
KIIT International School,94
Blacklick Valley School District,676
Стокгольмский университет,68261
Trevor G. Browne High School,3238
Backwell School,1695
深圳中学,4046
"New Tech High School, Coppell",369
Clarke Central High School,1324
The Chantry School,687
Normanhurst School,244
Uniwersytet Edynburski,36563
Institut national des sciences appliquées de Toulouse,2165
Shenyang International School,226
Microsoft's School of the Future,612
Клаустальский технический университет,4
Université de L'Aquila,20664
École secondaire de Par-en-Bas,385
Bentley Wood High School,1040
The Fallibroome Academy,1497
Akademie der musischen Künste in Prag,1519
Palmview High School,2398
Colonial High School,3382
جامعة مالطا,11183
Université Nice-Sophia-Antipolis,24902
Tigard High School,2002
Oak Creek High School,2207
Somerset County Vocational and Technical High School,367
Sylvia Young Theatre School,237
جامعة أكاديا,4176
Universität Bangkok,27043
Forest Hills Central High School,1243
Moon Area High School,1102
Université de Nottingham,42777
American School of Doha,2198
Baltic Film and Media School,432
Woodberry Forest School,399
Томский политехнический университет,22968
Uniwersytet w Göteborgu,38826
High School for Recording Arts,209
Giles County High School,999
New College Berkeley,197
Doss High School,937
Maria Curie-Skłodowska University,25834
Pacific Northern Academy,132
Школа права Новой Англии,1114
光启学校,4022
Università degli Studi di Cagliari,30185
Lucknow College of Arts and Crafts,621
Universidad de San Francisco,10719
Full Sail University,16131
Universidad de Argel,105500
"Oak Grove High School (Jefferson County, Alabama)",909
جامعة رايت للولاية مدرسة طب بونشوفت,419
Phoenix High School (Oregon),836
Campbell County Comprehensive High School,1300
Cedarburg High School,1145
Piscataway Township High School,2303
Tuscarora School District,2561
Оснабрюкский университет,10659
National Polytechnic University of Armenia,10281
Instituto Tecnológico de Ciudad Juárez,5562
Sophia University,11684
Academy for Information Technology,256
Palisades Charter High School,2779
Universidade de Seul,12129
Foothills Academy (Arizona),412
Ohio University Southern Campus,2185
Salesian Secondary College,525
South Umpqua High School,578
Suor Orsola Benincasa University of Naples,8579
Poynton High School,1619
Peebles High School (Ohio),464
Lost River Jr./Sr. High School,281
NMBU,5038
"Stratford High School (Goose Creek, South Carolina)",2316
Harmony High School,1845
The Elizabethan Academy,1255
Ch. Brahm Prakash Government Engineering College,770
Mt. Lebanon School District,5280
Sentinel High School,1179
Williamstown High School (New Jersey),1795
The Branson School,310
Cove School (Oregon),253
聊城大学,30
Connellsville Area School District,4188
Национальный университет Сан-Антонио Абад,14487
"Downtown High School (Columbus, Ohio)",656
Bramcote Hills Sport and Community College,744
معهد جورجيا التقني,24154
台中美國學校,174
Università degli Studi di Brescia,14100
Franklin Heights High School,1064
"Andrews High School (Andrews, Texas)",859
中華基督教會協和書院,1221
University of Mons,5902
Institut national des sciences appliquées de Toulouse,2230
Pacific College of Oriental Medicine,73
"Wah Engineering College, Wah Cantt",574
Universiteit van Göteborg,37151
St. Mark's High School,845
Osceola High School (Wisconsin),527
Charlestown High School,928
Lake Forest College,1640
Dominican College of Tarlac,3016
Therfield School,982
Blackhawk School District,2638
Uniwersytet Technologii i Ekonomii w Budapeszcie,21418
Interdenominational Theological Center,257
Cégep André-Laurendeau,5293
Macquarie University Faculty of Human Sciences,5740
CSU–Global Campus,12512
Savannah State University,5081
"Università degli Studi di Napoli ""Parthenope""",14306
Benenden School,568
Frazier School District,1232
Dame Elizabeth Cadbury Technology College,610
"Cotter High School (Winona, Minnesota)",307
A&M Consolidated High School,2772
Universität Ankara,42185
浙江理工大学,26226
Westtown School,626
Freetown Elementary School,566
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,10460
Widener University School of Law,713
Bacone College,939
Antioch College,281
Wake Forest University School of Law,510
North-West University,61879
江原大学,36603
Universität Karthago,46838
Sir John Cass Redcoat School,1822
Longcroft School,1496
Yamhill Carlton High School,417
戴尔豪斯大学,19195
جامعة ماركي التقنية,16678
Hortonville High School,1060
SIM-Universität,13536
Olentangy Liberty High School,1806
Universität Nizza Sophia-Antipolis,25347
羅傑威廉姆斯大學,4442
Evangelische Hochschule Nürnberg,769
Delaware Technical Community College,23649
Sankt-Petersburski Państwowy Instytut Górniczy,16430
University Centre in Svalbard,515
Bear River High School,1115
Takoma Park Middle School,810
Le Cordon Bleu,19555
"Pickering High School, Ajax",2063
Parks Junior High School,1006
Denis Morris Catholic High School,1154
Athens Area School District,2451
Malibu High School,1203
Белорусский государственный университет,44916
Abbotsholme School,297
Collège Ahuntsic,9641
Universität Catania,68283
Saint Peter-Marian High School,687
Will C. Crawford High School,1571
